,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,37160000.000,62155000.000,75132000.000,45787000.000
AccountsReceivableNet,4670000.000,5973000.000,5469000.000,5750000.000
AccruedIncomeTaxesCurrent,600000.000,,,
AccumulatedDistributionsInExcessOfNetIncome,167901000.000,214703000.000,239062000.000,262508000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-30863000.000,-27932000.000,-21475000.000,-19853000.000
AdditionalPaidInCapitalCommonStock,2339074000.000,2343581000.000,2348567000.000,2354398000.000
AllowanceForDoubtfulAccountsReceivable,,,1000000.000,
Assets,3426453000.000,3848116000.000,3857984000.000,3857633000.000
CashAndCashEquivalentsAtCarryingValue,901897000.000,16146000.000,23685000.000,4819000.000
CommonStockCapitalSharesReservedForFutureIssuance,,,150000.000,
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesOutstanding,46369391.000,46396450.000,46454606.000,46496065.000
CommonStockValue,464000.000,464000.000,464000.000,465000.000
DebtInstrumentCarryingAmount,1200000000.000,1400000000.000,1400000000.000,1400000000.000
DebtInstrumentUnamortizedDiscount,3318000.000,3235000.000,3152000.000,3069000.000
DeferredFinanceCostsNet,,,9323000.000,8978000.000
DeferredGainLossOnDiscontinuationOfInterestRateFairValueHedge,,,-458000.000,
DeferredIncomeTaxLiabilities,1200000.000,1300000.000,2200000.000,2700000.000
DeferredRevenue,8075000.000,9996000.000,9700000.000,9748000.000
DeferredTaxAssetsGross,,,1500000.000,2000000.000
DueFromJointVentures,1045000.000,747000.000,1223000.000,1296000.000
EquityMethodInvestments,67157000.000,66667000.000,67300000.000,89046000.000
EscrowDeposit,,,238000.000,
FiniteLivedIntangibleAssetsAccumulatedAmortization,23912000.000,37410000.000,50782000.000,63560000.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,1000000.000,24700000.000,24800000.000,0.000
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,6300000.000,29900000.000,,24800000.000
FiniteLivedIntangibleAssetsGross,28237000.000,75454000.000,75611000.000,75611000.000
FiniteLivedIntangibleAssetsNet,4325000.000,38044000.000,24829000.000,12051000.000
