,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31
AccountsPayableCurrent,603200000.000,536400000.000,527900000.000,645700000.000,592500000.000,574300000.000,558700000.000,774000000.000,578900000.000
AccountsReceivableNetCurrent,761500000.000,806200000.000,718100000.000,910500000.000,797500000.000,757700000.000,784600000.000,1031000000.000,893400000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,8838200000.000,9572800000.000,8929500000.000,8155100000.000,8925100000.000,8848000000.000,8702400000.000,8379400000.000,8574700000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,1327700000.000,1582200000.000,1537000000.000,1509500000.000,1565700000.000,1588800000.000,1598600000.000,1600500000.000,1615400000.000
AcquiredIndefiniteLivedIntangibleAssetAmount,,,102000000.000,,,,,,
AdditionalPaidInCapital,3283700000.000,4497900000.000,4067300000.000,3964600000.000,3659900000.000,3495000000.000,3268500000.000,2955600000.000,2329200000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,144000000.000,,,,103000000.000,
AssetRetirementObligation,,,,26700000.000,,,,30300000.000,
Assets,34877900000.000,36260500000.000,32990500000.000,36409200000.000,36793600000.000,34435700000.000,36617400000.000,38307700000.000,40972300000.000
AssetsCurrent,5864000000.000,6281800000.000,4225100000.000,3775100000.000,3405200000.000,3184000000.000,4747000000.000,3725800000.000,4529400000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,,1045700000.000,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,275600000.000,317800000.000,0.000,0.000,0.000,
AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,,,,770100000.000,767200000.000,0.000,0.000,0.000,
BusinessAcquisitionPercentageOfVotingInterestsAcquired,1.000,,,,,,,,
CapitalLeaseObligations,1169200000.000,1200700000.000,1101700000.000,1365600000.000,1403200000.000,1332300000.000,1357100000.000,1389600000.000,1360200000.000
CapitalLeaseObligationsCurrent,63800000.000,71.500,62500000.000,66300000.000,67800000.000,64700000.000,68700000.000,69900000.000,76500000.000
CapitalLeaseObligationsNoncurrent,1105400000.000,1129.200,1039200000.000,1299300000.000,1335400000.000,1267600000.000,1288400000.000,1319700000.000,1283700000.000
CapitalLeasesFutureMinimumPaymentsDue,2008100000.000,2049.900,1867600000.000,2382600000.000,2433800000.000,2294100000.000,2315300000.000,2354000000.000,2285400000.000
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,,,168300000.000,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,127500000.000,131.700,123200000.000,150500000.000,154800000.000,148600000.000,153800000.000,156400000.000,153000000.000
CapitalLeasesFutureMinimumPaymentsDueInFourYears,133400000.000,137.600,128500000.000,156200000.000,156500000.000,150300000.000,157300000.000,160100000.000,157300000.000
