,2017-03-31
AccountsReceivableNet,2942000.000
AdvancePaymentsByBorrowersForTaxesAndInsurance,492000.000
Assets,119296000.000
BankOwnedLifeInsurance,1877000.000
Capital,14853000.000
CapitalRequiredForCapitalAdequacy,8745000.000
CapitalRequiredForCapitalAdequacyToRiskWeightedAssets,0.080
CapitalRequiredToBeWellCapitalized,10931000.000
CapitalRequiredToBeWellCapitalizedToRiskWeightedAssets,0.100
CapitalToRiskWeightedAssets,0.136
CashAndCashEquivalentsAtCarryingValue,17078000.000
CashAndDueFromBanks,505000.000
DeferredIncomeTaxLiabilitiesNet,620000.000
Deposits,103091000.000
FederalHomeLoanBankAdvancesBranchOfFHLBBankAmountOfAdvancesByBranch,24000.000
FederalHomeLoanBankStock,728000.000
FederalHomeLoanBankStockAndFederalReserveBankStock,16573000.000
FinancingReceivableAllowanceForCreditLossesCollectivelyEvaluatedForImpairment,920000.000
FinancingReceivableAllowanceForCreditLossesIndividuallyEvaluatedForImpairment1,230000.000
FinancingReceivableCollectivelyEvaluatedForImpairment,91673000.000
FinancingReceivableIndividuallyEvaluatedForImpairment,952000.000
FinancingReceivableModificationsRecordedInvestment,680000.000
FinancingReceivableRecordedInvestmentCurrent,91089000.000
FinancingReceivableRecordedInvestmentPastDue,1536000.000
ImpairedFinancingReceivableRecordedInvestment,952000.000
ImpairedFinancingReceivableRelatedAllowance,230000.000
ImpairedFinancingReceivableUnpaidPrincipalBalance,952000.000
InterestBearingDepositLiabilities,96909000.000
InterestBearingDepositsInBanks,346000.000
InterestPayableCurrentAndNoncurrent,1000.000
InterestReceivable,277000.000
Liabilities,105593000.000
LiabilitiesAndStockholdersEquity,119296000.000
LineOfCredit,12977000.000
LoansAndLeasesReceivableAllowance,1150000.000
LoansAndLeasesReceivableGrossCarryingAmount,92625000.000
LoansAndLeasesReceivableImpairedNonperformingNonaccrualOfInterest,428000.000
LoansAndLeasesReceivableLoansInProcess,5297000.000
LoansAndLeasesReceivableNetOfDeferredIncome,93000.000
LoansAndLeasesReceivableNetReportedAmount,86271000.000
LoansReceivableHeldForSaleNetNotPartOfDisposalGroup,4690000.000
NoninterestBearingDepositLiabilities,6182000.000
OtherAssets,675000.000
OtherLiabilities,444000.000
OtherRealEstateAndForeclosedAssets,36000.000
PrepaidExpenseCurrentAndNoncurrent,30000.000
PropertyPlantAndEquipmentNet,4346000.000
RetainedEarningsAccumulatedDeficit,13703000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,13703000.000
TierOneLeverageCapital,13703000.000
TierOneLeverageCapitalRequiredForCapitalAdequacy,4641000.000
TierOneLeverageCapitalRequiredForCapitalAdequacyToAverageAssets,0.040
TierOneLeverageCapitalRequiredToBeWellCapitalized,5802000.000
TierOneLeverageCapitalRequiredToBeWellCapitalizedToAverageAssets,0.050
TierOneLeverageCapitalToAverageAssets,0.118
TierOneRiskBasedCapital,13703000.000
TierOneRiskBasedCapitalRequiredForCapitalAdequacy,6558000.000
TierOneRiskBasedCapitalRequiredForCapitalAdequacyToRiskWeightedAssets,0.060
TierOneRiskBasedCapitalRequiredToBeWellCapitalized,8745000.000
TierOneRiskBasedCapitalRequiredToBeWellCapitalizedToRiskWeightedAssets,0.080
TierOneRiskBasedCapitalToRiskWeightedAssets,0.125
