,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
AmortizationOfDeferredLeasingFees,3806000.000,4173000.000,4683000.000,5786000.000,5680000.000
AmortizationOfIntangibleAssets,-47000.000,71000.000,-365000.000,635000.000,-158000.000
AssetManagementFees,958000.000,1149000.000,,,
AssetManagementFees1,,,1078000.000,945000.000,701000.000
BusinessAcquisitionProFormaEarningsPerShareBasic,0.530,0.060,0.160,,
BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTaxPerShareBasic,0.220,0.250,0.130,,
BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,18225000.000,20446000.000,12527000.000,,
BusinessAcquisitionsProFormaNetIncomeLoss,43769000.000,4738000.000,15060000.000,,
BusinessAcquisitionsProFormaRevenue,148735000.000,176684000.000,241346000.000,,
BusinessCombinationAcquisitionRelatedCosts,620000.000,156000.000,568000.000,,
BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,3600000.000,2000000.000,3800000.000,,
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,17300000.000,3000000.000,29700000.000,,
CapitalExpendituresIncurredButNotYetPaid,733000.000,1692000.000,3570000.000,1788000.000,3211000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-44400000.000,-2546000.000,-1644000.000,-12104000.000,10644000.000
CommonStockDividendsPerShareCashPaid,0.760,0.760,0.760,0.760,0.760
ComprehensiveIncomeNetOfTax,44601000.000,6414000.000,24323000.000,5623000.000,32151000.000
CostOfRealEstateRevenue,36685000.000,37441000.000,51100000.000,62032000.000,61890000.000
CostsAndExpenses,124946000.000,141210000.000,194520000.000,235220000.000,230632000.000
DeferredIncomeTaxExpenseBenefit,,,0.000,0.000,0.000
DefinedContributionPlanCostRecognized,131000.000,109000.000,120000.000,127000.000,134000.000
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,,,0.030,0.030,0.030
DefinedContributionPlanMaximumAnnualContributionsPerEmployeeAmount,,,,17000.000,17000.000
DepreciationAndAmortization,48249000.000,54872000.000,78839000.000,95915000.000,91359000.000
DepreciationDepletionAndAmortization,50261000.000,57500000.000,81267000.000,97916000.000,93426000.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,21939000.000,-14826000.000,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,3605000.000,-882000.000,375000.000,,
DiscontinuedOperationProvisionForLossGainOnDisposalNetOfTax,,,-2158000.000,,
DividendsCommonStock,62177000.000,63032000.000,69588000.000,76142000.000,76142000.000
EarningsPerShareBasicAndDiluted,0.530,0.090,0.210,0.130,0.350
EquityMethodInvestmentDividendsOrDistributions,3474000.000,705000.000,,,
EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,4142000.000,37280000.000,5607000.000,-862000.000,-4951000.000
GainLossOnDispositionOfAssets1,,,2158000.000,940000.000,23662000.000
GainLossOnSaleOfPropertiesNetOfApplicableIncomeTaxes,,,,940000.000,23662000.000
GainsLossesOnSalesOfAssets,21939000.000,-14826000.000,,,
