,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30
AccountsAndOtherReceivablesNetCurrent,,,1500000.000,,,
AccountsPayableCurrent,885984.000,863294.000,1286524.000,1093672.000,1514367.000,1176228.000
AccountsReceivableNetCurrent,1215492.000,1322507.000,1228878.000,449829.000,359188.000,220671.000
AccruedIncomeTaxesCurrent,,,,609937.000,609937.000,609937.000
AccruedLiabilitiesCurrent,597141.000,499463.000,1128507.000,376465.000,598969.000,1101922.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,2139236.000
AdditionalPaidInCapital,287829974.000,260730525.000,262721416.000,270615151.000,274121131.000,276470206.000
AllowanceForDoubtfulAccountsReceivableCurrent,8000.000,8000.000,8000.000,7587.000,7587.000,8000.000
Assets,6814647.000,5914014.000,5635244.000,4630274.000,3312557.000,2584076.000
AssetsCurrent,3680445.000,2867297.000,4093708.000,3119134.000,1667718.000,1004384.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,289945.000,,,,
BilledContractReceivables,,,,,,165658.000
CashAndCashEquivalentsAtCarryingValue,1368405.000,420540.000,297032.000,1881147.000,477357.000,129168.000
CashUninsuredAmount,,,,,,0.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000
CommonStockSharesIssued,72441000.000,74732534.000,76786512.000,82325743.000,86686661.000,90209207.000
CommonStockSharesOutstanding,70892864.000,73184398.000,75238376.000,80777607.000,85138525.000,88661071.000
CommonStockValue,72442.000,74733.000,76787.000,82327.000,86687.000,90209.000
ConvertibleDebt,,,,,24702000.000,23652000.000
ConvertibleDebtCurrent,6681258.000,16552623.000,23462367.000,20044529.000,17841912.000,16857594.000
ConvertibleDebtNoncurrent,,14713745.000,6859588.000,6859588.000,6859588.000,6794034.000
ConvertibleLongTermNotesPayable,25730317.000,,,,,
CustomerDepositsCurrent,10440.000,115554.000,146209.000,30160.000,1830.000,
DebtInstrumentCarryingAmount,,,,,,27700000.000
DebtInstrumentFaceAmount,,,,,,27700000.000
DebtInstrumentUnamortizedDiscount,,,,,711000.000,288000.000
DeferredFinanceCostsCurrentNet,118173.000,108326.000,78782.000,49239.000,19696.000,8603.000
DeferredFinanceCostsNoncurrentNet,19696.000,,,,,
DeferredRevenueCurrent,113019.000,,1095.000,,,
DeferredTaxAssetsInventory,,,,,,57928.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,92298183.000
DeferredTaxAssetsOther,,,,,,396423.000
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,-1911348.000
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,6647003.000
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,,,,3267796.000
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,,,,,,2877.000
DeferredTaxAssetsValuationAllowance,,,,,,100758861.000
DepositLiabilitiesAccruedInterest,,3503149.000,2206340.000,2621576.000,2987237.000,2823449.000
DerivativeFairValueOfDerivativeLiability,,,,,2221679.000,1044317.000
DerivativeFinancialInstrumentsLiabilitiesFairValueDisclosure,,,,,2221679.000,1044317.000
DerivativeLiabilitiesCurrent,3258046.000,2583478.000,2138690.000,3595431.000,2221679.000,1044317.000
DisposalGroupIncludingDiscontinuedOperationIntangibleAssetsNet,,,,,,611958.000
DisposalGroupIncludingDiscontinuedOperationOtherAssets,,1544602.000,,,,
DisposalGroupIncludingDiscontinuedOperationOtherCurrentLiabilities,,340000.000,,,,
DueFromRelatedPartiesCurrent,,22750.000,34922.000,24111.000,30861.000,34459.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,100000.000,100000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,2623159.000,2620955.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,4406.000
FiniteLivedIntangibleAssetsGross,,,,,2629767.000,2625361.000
FiniteLivedIntangibleAssetsNet,,,,,6608.000,
Goodwill,893000.000,,,,,
IntangibleAssetsNetExcludingGoodwill,739870.000,13214.000,11012.000,8810.000,6608.000,4406.000
InterestPayableCurrent,763556.000,478856.000,2495479.000,2950884.000,3491074.000,4712001.000
InventoryFinishedGoods,,,,,20575.000,79646.000
InventoryNet,459729.000,531999.000,598902.000,443420.000,454449.000,399963.000
InventoryRawMaterials,,,,,86490.000,
InventoryWorkInProcess,,,,,347384.000,320317.000
Liabilities,92818029.000,92973127.000,90050081.000,88972191.000,81874294.000,82320684.000
LiabilitiesAndStockholdersEquity,6814647.000,5914014.000,5635244.000,4630274.000,3312557.000,2584076.000
LiabilitiesCurrent,22934926.000,31268626.000,60545352.000,58862707.000,51113857.000,55964464.000
LiabilityForUncertainTaxPositionsCurrent,,,,,,0.000
LongTermDebt,,,,,24702000.000,23652000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,,,,23481000.000,28567000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,,,,,15000.000,15000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,,,,,2848000.000,15000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,,,,15215000.000,13268000.000
MinorityInterest,-41236141.000,-12497700.000,-13082521.000,-14666897.000,15528986.000,16607864.000
NoncontrollingInterestInVariableInterestEntity,,,,,0.000,0.000
NotesPayableRelatedPartiesNoncurrent,364288.000,,,,,
OperatingLossCarryforwards,,,,,,243100000.000
OtherAssetsNoncurrent,721372.000,692663.000,672028.000,651393.000,630758.000,610123.000
OtherLiabilitiesNoncurrent,,,68353.000,60712.000,123166.000,98069.000
OtherLongTermDebt,,,,,41838000.000,41835000.000
OtherLongTermDebtCurrent,4415052.000,3679852.000,23480695.000,23480783.000,23480870.000,28567092.000
OtherLongTermDebtNoncurrent,41650384.000,42264453.000,18911827.000,18360616.000,18357043.000,13267513.000
PreferredStockParOrStatedValuePerShare,1.000,1.000,,,,
PreferredStockSharesAuthorized,,,,,,150000000.000
PreferredStockSharesIssued,,,,,,0.000
PreferredStockSharesOutstanding,,,,,,0.000
PrepaidExpenseAndOtherAssetsCurrent,314760.000,171230.000,263544.000,220074.000,252560.000,183099.000
PropertyPlantAndEquipmentGross,,,,,,3104399.000
PropertyPlantAndEquipmentNet,760264.000,796238.000,858496.000,850937.000,1007473.000,965163.000
ReceivablesLongTermContractsOrPrograms,,,,,,194079.000
RetainedEarningsAccumulatedDeficit,-331173240.000,-333870254.000,-332634102.000,-338876081.000,-335744152.000,-338192742.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,,,,,,1743672.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,,,,,,27362.000
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfExercisableOptions,,,,,,28724349.000
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions,,,,,,30468021.000
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,,,,,,21592.000
SharesIssued,40500.000,,,,,
StockholdersEquity,-44767241.000,-74561413.000,-71332316.000,-69675020.000,-63032751.000,-63128744.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-86003382.000,-87059113.000,-84414837.000,-84341917.000,-78561737.000,-79736608.000
TemporaryEquitySharesAuthorized,8950.000,8950.000,,,,
TemporaryEquitySharesIssued,0.000,,,,,
TemporaryEquitySharesOutstanding,0.000,,,,,
TreasuryStockShares,1548136.000,1548136.000,1548136.000,1548136.000,1548136.000,1548136.000
TreasuryStockValue,1496417.000,1496417.000,1496417.000,1496417.000,1496417.000,1496417.000
UnbilledContractsReceivable,203886.000,,91648.000,51314.000,73607.000,28421.000
UnbilledReceivablesNotBillableAtBalanceSheetDate,,,,,,-28421.000
VariableInterestEntityConsolidatedCarryingAmountAssetsAndLiabilitiesNet,,,,,28000.000,28000.000
