,2011-09-30,2011-12-31,2012-03-31,2012-12-31,2013-06-30,2013-09-30
AccountsPayableCurrent,39794.000,128764.000,231838.000,235586.000,232482.000,251852.000
AccountsPayableRelatedPartiesCurrent,,,,563000.000,573684.000,623684.000
AccountsReceivableNetCurrent,139905.000,175235.000,123021.000,244325.000,68281.000,96493.000
AdditionalPaidInCapital,2637983.000,2664633.000,2827804.000,3284821.000,3464310.000,3630263.000
AllowanceForDoubtfulAccountsReceivable,,,,23425.000,9056.000,
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,9056.000
Assets,523471.000,528113.000,490123.000,568328.000,412935.000,472011.000
AssetsCurrent,487230.000,493987.000,457686.000,492154.000,341470.000,385157.000
BridgeLoan,,,,,,623684.000
Cash,,,71244.000,,55565.000,4207.000
CashAndCashEquivalentsAtCarryingValue,64482.000,97443.000,71244.000,81060.000,,4207.000
CashCollateralForBorrowedSecurities,,7600.000,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
CommonStockSharesIssued,14292567.000,14322567.000,14344067.000,15066569.000,15483479.000,15610141.000
CommonStockSharesOutstanding,14292567.000,14322567.000,14344067.000,15066569.000,15066569.000,15610141.000
CommonStockValue,14293.000,14322.000,14344.000,15066.000,15483.000,15610.000
DeferredRevenue,,,,94278.000,130853.000,80492.000
DeferredRevenueCurrent,,30932.000,46786.000,,,
DueFromRelatedPartiesCurrent,,0.000,,,,
DueToAffiliateCurrent,,,,,,47850.000
DueToRelatedPartiesCurrent,205250.000,300000.000,340000.000,,83932.000,97587.000
IntangibleAssetsNetExcludingGoodwill,,,,,64173.000,80646.000
InterestPayableCurrentAndNoncurrent,,,,,,35503.000
InventoryNet,183891.000,197619.000,198001.000,128543.000,124451.000,158051.000
LiabilitiesAndStockholdersEquity,523471.000,528113.000,490123.000,568328.000,412935.000,472011.000
LiabilitiesCurrent,301226.000,629935.000,693618.000,1154031.000,1232204.000,1237776.000
LinesOfCreditCurrent,,,,,500000.000,
NotesPayableRelatedPartiesClassifiedCurrent,,,,,,80850.000
NotesPayableRelatedPartiesCurrent,,,,,62150.000,
OtherIntangibleAssetsNet,,,,67426.000,,
OtherLiabilitiesCurrent,56182.000,18426.000,26392.000,230290.000,149103.000,103311.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,10000000.000,10000000.000,5000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000
PreferredStockSharesOutstanding,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000
PreferredStockValue,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
PrepaidExpenseAndOtherAssetsCurrent,98952.000,16090.000,57820.000,30590.000,85537.000,118770.000
PropertyPlantAndEquipmentNet,8627.000,6928.000,5654.000,8748.000,7292.000,6208.000
ReceivablesNetCurrent,,,,,,96493.000
RestrictedCashAndCashEquivalents,,,,7636.000,,
RestrictedCashAndCashEquivalentsAtCarryingValue,,,7600.000,7636.000,,
RestrictedCashAndInvestmentsCurrent,,,,,7636.000,7636.000
RetainedEarningsAccumulatedDeficit,-2431031.000,-2781777.000,-3046643.000,-3886590.000,-4300062.000,-4412638.000
StockholdersEquity,222245.000,-101822.000,-203495.000,-585703.000,-819269.000,-765765.000
