,2011-03-31,2012-03-31,2013-03-31,2014-03-31,2015-03-31,2016-03-31,2017-03-31
AdjustmentForAmortization,1618000.000,1708000.000,1708000.000,1642000.000,1930000.000,890000.000,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,9368000.000,,,,,,
AllocatedShareBasedCompensationExpense,,5987000.000,6171000.000,6278000.000,6230000.000,5206000.000,6475000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,348451.000,169000.000,169000.000,156200000.000,133600000.000,0.000
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGainOrLoss,,,,,,3390000.000,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-104946000.000,120692000.000,106165000.000,-204332000.000,85251000.000,70664000.000,-35454000.000
CommonStockDividendsPerShareDeclared,1.900,1.940,1.980,2.020,2.060,2.100,2.140
ComprehensiveIncomeNetOfTax,,56472000.000,137571000.000,190217000.000,73946000.000,111660000.000,109095000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,8843000.000,8504000.000,5547000.000,5890000.000,8920000.000,5449000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,65315000.000,146075000.000,195764000.000,79836000.000,120580000.000,114544000.000
ConvertiblePreferredDividendsNetOfTax,,14850000.000,14850000.000,14850000.000,14824000.000,14748000.000,0.000
CostOfGoodsAndServicesSold,,,1999282000.000,2108824000.000,1861527000.000,1713042000.000,1676539000.000
CostOfGoodsSold,2063194000.000,1974885000.000,,,,,
CurrentFederalTaxExpenseBenefit,,2871000.000,-3465000.000,1433000.000,4126000.000,5371000.000,3422000.000
CurrentForeignTaxExpenseBenefit,,53582000.000,57355000.000,75770000.000,46885000.000,32897000.000,36537000.000
CurrentIncomeTaxExpenseBenefit,,54389000.000,54572000.000,77710000.000,51668000.000,39384000.000,40106000.000
CurrentStateAndLocalTaxExpenseBenefit,,-2064000.000,682000.000,507000.000,657000.000,1116000.000,147000.000
DebtInstrumentBasisSpreadOnVariableRate1,,,,0.015,,,
DeferredFederalIncomeTaxExpenseBenefit,,4796000.000,1746000.000,1686000.000,3352000.000,5780000.000,5434000.000
DeferredForeignIncomeTaxExpenseBenefit,,1530000.000,9769000.000,-4136000.000,-17173000.000,9711000.000,10631000.000
DeferredIncomeTaxExpenseBenefit,,6770000.000,11794000.000,-2175000.000,-13662000.000,15046000.000,16626000.000
DeferredIncomeTaxesAndTaxCredits,-1044000.000,6770000.000,11794000.000,-2176000.000,-13662000.000,15046000.000,16626000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,444000.000,279000.000,275000.000,159000.000,-445000.000,561000.000
DefinedBenefitPlanAmortizationOfNetGainsLosses,,10600000.000,10300000.000,,,,
DefinedBenefitPlanAmortizationOfNetPriorServiceCostCredit,,700000.000,200000.000,,,,
