,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,13916000.000,,,,15399000.000,,,,17467000.000,,,,20048000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,1997000.000,1140000.000,580000.000,666000.000,823000.000,1096000.000,1064000.000,1031000.000,1595000.000,595000.000,1292000.000,980000.000,1878000.000,2933000.000,2309000.000,-2727000.000,-977000.000
AdditionalPaidInCapital,36484000.000,49147000.000,49301000.000,49616000.000,49674000.000,47746000.000,46683000.000,45693000.000,44751000.000,43097000.000,43055000.000,45220000.000,46894000.000,212173000.000,211073000.000,209700000.000,210817000.000
Assets,682051000.000,1088440000.000,1134670000.000,1198803000.000,1217709000.000,1173772000.000,1169620000.000,1215285000.000,1204402000.000,1185276000.000,1166852000.000,1214439000.000,1244035000.000,2256785000.000,2269487000.000,2300879000.000,2292644000.000
AssetsSoldUnderAgreementsToRepurchaseInterestRate,,,,,,,,,,,,,,,,0.001,
AvailableForSaleSecurities,60355000.000,129988000.000,132356000.000,127515000.000,133387000.000,143655000.000,150649000.000,168475000.000,171946000.000,159687000.000,167572000.000,172596000.000,174470000.000,371387000.000,366316000.000,365287000.000,404358000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,2426000.000,3368000.000,4930000.000,4009000.000,2606000.000,3240000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,821000.000,291000.000,123000.000,224000.000,7078000.000,4842000.000
AvailableForSaleSecuritiesAmortizedCost,57081000.000,128118000.000,131404000.000,126423000.000,132037000.000,141859000.000,148904000.000,166785000.000,169331000.000,158712000.000,165454000.000,170991000.000,171393000.000,366580000.000,362531000.000,369759000.000,405960000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,,,,,,,,,,,,,185000.000,81000.000,51000.000,120000.000,96000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAccumulatedLoss,,,,,,,,,,,,,291000.000,123000.000,224000.000,7078000.000,4842000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,5599000.000,67513000.000,66593000.000,57815000.000,60515000.000,59867000.000,57478000.000,84164000.000,57870000.000,91918000.000,66255000.000,83371000.000,48587000.000,31409000.000,63501000.000,309143000.000,298909000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,,,,,,,,,,,,,106000.000,42000.000,173000.000,6958000.000,4746000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,5599000.000,67513000.000,66593000.000,54895000.000,57670000.000,20176000.000,19922000.000,54475000.000,33510000.000,66385000.000,39325000.000,56919000.000,27820000.000,21022000.000,58905000.000,304190000.000,294462000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,,,,2920000.000,2845000.000,39691000.000,37556000.000,29689000.000,24360000.000,25533000.000,26930000.000,26452000.000,20767000.000,10387000.000,4596000.000,4953000.000,4447000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,,,,11446000.000,12330000.000,9549000.000,8642000.000,5403000.000,13057000.000,18591000.000,24914000.000,24875000.000,21929000.000,85057000.000,98176000.000,106416000.000,132282000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,,,,11138000.000,12179000.000,9471000.000,8607000.000,5430000.000,13172000.000,18537000.000,25040000.000,25148000.000,22409000.000,86341000.000,99029000.000,102401000.000,129623000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,,,,37124000.000,45685000.000,62344000.000,69728000.000,92516000.000,88633000.000,76386000.000,76769000.000,74585000.000,76212000.000,90720000.000,80933000.000,81288000.000,92851000.000
