,2011-11-30,2012-02-29,2012-05-31,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28,2017-05-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,,,,,,,,,,,232500.000,247500.000,262500.000
AccountsPayableCurrent,,,2500.000,,,1500.000,1500.000,,225000.000,222989.000,162500.000,137500.000,137500.000,137500.000,137500.000,137500.000,137500.000,,,,
AccruedLiabilitiesCurrent,5123.000,11071.000,26821.000,188933.000,196108.000,265138.000,341588.000,450038.000,234690.000,202263.000,235083.000,236500.000,257000.000,179750.000,214250.000,224750.000,241250.000,240250.000,,,
AccruedProfessionalFeesCurrent,,,,,,,,,,,,,,,4500.000,,,,90000.000,,
AdditionalPaidInCapitalCommonStock,646000.000,752080.000,1013200.000,1867333.000,2075000.000,1135000.000,1163800.000,1163800.000,1565000.000,1744000.000,1923000.000,2460000.000,2460000.000,2460000.000,2460000.000,2460000.000,2460000.000,2857378.000,2857378.000,2857378.000,2857378.000
Assets,268200.000,165600.000,105100.000,37529.000,35694.000,,,,,,,,4648.000,,43.000,306.000,131.000,,10.000,60.000,
AssetsCurrent,100.000,3100.000,100.000,2529.000,694.000,253.000,253.000,253.000,18245.000,319.000,39158.000,2677.000,4648.000,227.000,43.000,,131.000,89.000,10.000,60.000,
BankOverdrafts,,,,,,,,,,,,,,,,,,,,,29.000
CashAndCashEquivalentsAtCarryingValue,100.000,3100.000,100.000,2529.000,694.000,253.000,253.000,253.000,4245.000,319.000,39158.000,2677.000,4648.000,227.000,43.000,306.000,131.000,89.000,10.000,60.000,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.010,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,500000000.000,500000000.000,500000000.000,500000000.000,25000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000
CommonStockSharesIssued,31500000.000,35920000.000,46800000.000,25166667.000,27500000.000,30000000.000,31200000.000,31200000.000,35000000.000,36000000.000,37000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,42219990.000,42219990.000,42219990.000,42219990.000
CommonStockSharesOutstanding,31500000.000,35920000.000,46800000.000,25166667.000,27500000.000,30000000.000,,,,,,40000000.000,40000000.000,,40000000.000,40000000.000,40000000.000,,42219990.000,42219990.000,42219990.000
CommonStockValue,31500.000,35920.000,46800.000,25167.000,27500.000,30000.000,31200.000,31200.000,35000.000,36000.000,37000.000,40000.000,40000.000,40000.000,40000.000,40000.000,40000.000,42220.000,42220.000,42220.000,42220.000
DebtInstrumentFaceAmount,,,,,,,,,,,,,,150000.000,,,,,,,
DebtInstrumentInterestRateStatedPercentage,,,,,,,,,,,,,,0.060,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,-585147.000,,,,-898599.000,,,,1213671.000,,,,1240205.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsImpairmentLosses,,,,,,103688.000,,,,103688.000,,,,-205598.000,,,,-205598.000,,,
DeferredTaxAssetsValuationAllowance,,,,,,-165427.000,,,,-339141.000,,,,457353.000,,,,483887.000,,,
DepositsAssetsNoncurrent,5600.000,,,,,,,,,,,,,,,,,,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,,,,,,1481385.000,1622660.000,1782139.000,2104009.000,,,,,,,,,,,,
DueToOfficersOrStockholdersCurrent,,,,,,,,,,,,,30000.000,,,,,,,,
DueToRelatedPartiesCurrent,24177.000,1679.000,34.000,28850.000,11350.000,50000.000,84825.000,137354.000,30564.000,,99738.000,131711.000,160061.000,249061.000,250798.000,258698.000,260498.000,,5150.000,6850.000,8350.000
IntangibleAssetsNetExcludingGoodwill,262500.000,162500.000,105000.000,35000.000,35000.000,,,,,,,,,,,,,,,,
InterestPayableCurrent,,,,,,,,,202.000,,,,,,,,,,,,
Liabilities,29300.000,12750.000,61855.000,367783.000,207458.000,316638.000,,,,,,,,,,,,,,254350.000,
LiabilitiesAndStockholdersEquity,268200.000,165600.000,105100.000,37529.000,35694.000,253.000,253.000,253.000,18245.000,319.000,39158.000,2677.000,4648.000,227.000,43.000,306.000,131.000,89.000,10.000,60.000,
LiabilitiesCurrent,29300.000,12750.000,29355.000,217783.000,207458.000,316638.000,427913.000,587392.000,522254.000,495252.000,519321.000,505711.000,584561.000,566311.000,602548.000,620948.000,639248.000,240250.000,237710.000,254350.000,270879.000
LiabilitiesNoncurrent,,,32500.000,150000.000,,,,,,,,,,,,,,,,,
LongTermNotesPayable,,,32500.000,150000.000,,,,,,,,,,,,,,,,,
NotesPayableCurrent,,,,,,,,,32000.000,70000.000,22000.000,,,,,,,,,,
OperatingLossCarryforwards,,,,,,,,,,898599.000,,,,3066000.000,,,,3139759.000,,,
PreferredStockParOrStatedValuePerShare,,0.001,0.001,0.010,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseCurrent,,,,,,,,,14000.000,,,,,,,,,,,,
RetainedEarningsAccumulatedDeficit,-438600.000,-635150.000,-1016755.000,-2222754.000,-2274264.000,,,,,-2274933.000,-2440163.000,-3003034.000,-3079913.000,-3066084.000,-3102505.000,-3120642.000,-3139117.000,-3139759.000,-3137298.000,-3153888.000,-3170477.000
SharePrice,,,,0.090,,,,,,,,,,,,,,,,,
SharesIssuedPricePerShare,,,,,,,,,,0.050,0.180,0.180,0.180,0.180,,,,0.180,,,
StockholdersEquity,238900.000,152850.000,43245.000,-330254.000,-171764.000,-316385.000,-427660.000,-587139.000,-504009.000,-494933.000,-480163.000,-503034.000,-579913.000,-566084.000,-602505.000,-620642.000,-639117.000,-240161.000,-237700.000,-254290.000,-270879.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,238900.000,152850.000,43245.000,-330254.000,-171764.000,-316385.000,,,,,,,,,,,,,,-254290.000,
