,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,311092000.000,370640000.000,428938000.000,500774000.000,598538000.000,531564000.000,352477000.000,326638000.000,337493000.000,364160000.000,250797000.000,211106000.000,172293000.000,38627000.000,37706000.000
AccountsReceivableNetCurrent,33023000.000,30610000.000,27250000.000,46532000.000,66755000.000,116203000.000,118410000.000,79190000.000,60904000.000,79404000.000,78753000.000,71606000.000,59462000.000,29682000.000,36874000.000
AccruedFeesAndOtherRevenueReceivable,86122000.000,96825000.000,145675000.000,139553000.000,144014000.000,191558000.000,165904000.000,125467000.000,115793000.000,128242000.000,136446000.000,133479000.000,196490000.000,261960000.000,220059000.000
AccruedLiabilitiesAndOtherLiabilities,103359000.000,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,,77126000.000,125102000.000,116037000.000,178840000.000,168614000.000,235069000.000,183319000.000,202186000.000,194076000.000,241676000.000,201320000.000,245174000.000,393803000.000,416588000.000
AccruedMarketingCostsCurrent,,,,,,,,,,,,,,52822000.000,35811000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,331993000.000,407219000.000,498425000.000,601029000.000,722731000.000,879643000.000,1061943000.000,1238989000.000,1427656000.000,1589372000.000,1780526000.000,1977790000.000,2176793000.000,2363778000.000,2566359000.000
AdditionalPaidInCapital,,3402180000.000,3431317000.000,3463791000.000,3488076000.000,3513725000.000,4078068000.000,4099718000.000,4122747000.000,4122811000.000,4251755000.000,5022848000.000,5131909000.000,5299481000.000,6407158000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,1251000.000,1251000.000,1251000.000,1251000.000,1251000.000,1251000.000,1251000.000,1251000.000,1195000.000,1195000.000,1195000.000,1195000.000,1195000.000,1195000.000
AssetRetirementObligationsNoncurrent,11418000.000,11859000.000,12422000.000,13088000.000,14285000.000,16614000.000,18323000.000,19268000.000,20405000.000,30612000.000,32930000.000,34495000.000,36403000.000,32736000.000,34683000.000
Assets,5672208000.000,6613581000.000,7134457000.000,8045208000.000,9315880000.000,11573495000.000,12481951000.000,12532481000.000,13577074000.000,14155224000.000,14288712000.000,13558780000.000,14629253000.000,14255550000.000,14888654000.000
AssetsCurrent,359513000.000,333564000.000,321922000.000,387228000.000,502703000.000,1252160000.000,1188030000.000,1017179000.000,1040328000.000,1248236000.000,1238340000.000,669784000.000,695471000.000,402587000.000,503698000.000
CapitalizedCostsAccumulatedDepreciationDepletionAmortizationAndValuationAllowanceForRelatingToOilAndGasProducingActivities,,383921000.000,,,,802665000.000,,,,1415005000.000,,,,2089500000.000,
CapitalizedCostsOilAndGasProducingActivitiesGross,,5134808000.000,,,,8576157000.000,,,,10207187000.000,,,,11880844000.000,
CapitalizedCostsOilAndGasProducingActivitiesNet,,4750887000.000,,,,7773492000.000,,,,8792182000.000,,,,9791344000.000,
