,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31
AccountsReceivableRelatedParties,,,,,,,,,,20900000.000,,,,,,
AccruedIncomeTaxes,,,,,,,,,,3974000.000,3641000.000,1713000.000,1577000.000,,,39000.000
AccruedInvestmentIncomeReceivable,1405000.000,1501000.000,1058000.000,1023000.000,646000.000,644000.000,284000.000,395000.000,206000.000,495000.000,231000.000,467000.000,238000.000,459000.000,149000.000,284000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,46396000.000,48884000.000,51204000.000,53406000.000,55622000.000,57990000.000,60242000.000,59016000.000,60802000.000,62484000.000,53222000.000,54717000.000,56202000.000,57613000.000,59127000.000,60377000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,441000.000,14000.000,-227000.000,-1000.000,-650000.000,-855000.000,-998000.000,-1120000.000,-1688000.000,-1549000.000,-1654000.000,-1435000.000,-1201000.000,-1447000.000,,
AcquiredIndefiniteLivedIntangibleAssetAmount,,,,,,,23963000.000,,,,,,,,,
AdditionalPaidInCapitalCommonStock,165990000.000,166135000.000,166342000.000,166431000.000,166515000.000,166613000.000,166749000.000,166826000.000,166896000.000,166996000.000,167049000.000,167059000.000,167216000.000,167508000.000,167623000.000,167733000.000
AllowanceForDoubtfulAccountsReceivable,7213000.000,7213000.000,7213000.000,7213000.000,7213000.000,7213000.000,7213000.000,7213000.000,7739000.000,7739000.000,7739000.000,7739000.000,7739000.000,7739000.000,576000.000,576000.000
Assets,662987000.000,679802000.000,444808000.000,419220000.000,382073000.000,349961000.000,338395000.000,392864000.000,390943000.000,386030000.000,386841000.000,381125000.000,367198000.000,365042000.000,337689000.000,312394000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,,,,,,,,44206000.000,,,,,,
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,,,217000.000
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,,,22000.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,81451000.000,69458000.000,47207000.000,49244000.000,67502000.000,70065000.000,62436000.000,50376000.000,50054000.000,47599000.000,33282000.000,26529000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,474000.000,289000.000,184000.000,
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,136000.000,197000.000,181000.000,
