,2011-06-30,2011-09-30
AccountsPayableCurrent,3757533.000,2634816.000
AccountsPayableRelatedPartiesCurrent,132444.000,14324.000
AccountsReceivableNetCurrent,3938029.000,2707113.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,1448258.000,617370.000
AdditionalPaidInCapital,2997370.000,2997370.000
AllowanceForDoubtfulAccountsReceivable,382514.000,354294.000
Assets,20978551.000,15123449.000
AssetsCurrent,14510287.000,9798161.000
BusinessAcquisitionPurchasePriceAllocationAssetsAcquiredLiabilitiesAssumedNet,369452.000,
BusinessAcquisitionPurchasePriceAllocationPropertyPlantAndEquipment,100883.000,
CashAndCashEquivalentsAtCarryingValue,1722581.000,1026957.000
CommonStockParOrStatedValuePerShare,0.000,0.000
CommonStockSharesAuthorized,250000000.000,250000000.000
CommonStockSharesIssued,29200535.000,29200535.000
CommonStockSharesOutstanding,29200535.000,29200535.000
CommonStockValueOutstanding,2920.000,2920.000
DeferredIncomeTaxesAndOtherAssetsNoncurrent,30828.000,33918.000
DeferredTaxAssetsNetCurrent,277580.000,260115.000
DeferredTaxLiabilitiesNoncurrent,333858.000,253696.000
DefinedBenefitPlanAssetsForPlanBenefitsNoncurrent,867508.000,765616.000
IntangibleAssetsNetExcludingGoodwill,1840956.000,1279198.000
InventoryNet,5835790.000,4442467.000
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,1350193.000,1259459.000
Liabilities,11178279.000,7616589.000
LiabilitiesAndStockholdersEquity,20978551.000,15123449.000
LiabilitiesCurrent,8858016.000,5635561.000
LiabilitiesNoncurrent,2320263.000,1981028.000
LongTermDebtNoncurrent,509814.000,448140.000
OtherAssetsCurrent,1334198.000,1160357.000
OtherAssetsNoncurrent,2739292.000,2078732.000
OtherLiabilitiesCurrent,2896500.000,2078178.000
PostemploymentBenefitsLiabilityNoncurrent,991786.000,833177.000
PreferredStockParOrStatedValuePerShare,0.000,0.000
PreferredStockSharesAuthorized,50000000.000,50000000.000
PreferredStockSharesIssued,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000
PropertyPlantAndEquipmentNet,2378779.000,1987097.000
RetainedEarningsAccumulatedDeficit,5603724.000,4141200.000
ShortTermBorrowings,2071539.000,908243.000
StockholdersEquity,9800272.000,7506860.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,9800272.000,7506860.000
TradingSecuritiesCurrent,1402109.000,201152.000
TreasuryStockShares,1050000.000,1050000.000
TreasuryStockValue,252000.000,252000.000
