,2011-11-30,2012-02-29,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28
AllocatedShareBasedCompensationExpense,,,,,,,104296.000,,,,166723.000,,,,132372.000,,,,135104.000,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,4606492.000,0.000,,0.000,,,,,,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,10394.000,,,,-15980.000,,,,-1798.000,,,,8298.000,,,,-277561.000,,
CostOfRevenue,289311.000,302934.000,369354.000,423242.000,493817.000,668161.000,648518.000,742972.000,875582.000,1059134.000,1501974.000,1728005.000,2829375.000,2781570.000,2734845.000,2688664.000,2828422.000,2372390.000,2514410.000,2510548.000,2436925.000
DerivativeGainLossOnDerivativeNet,,,,,,,,-77136.000,,,85189.000,,,,-24424.000,,,,0.000,,
DerivativeInstrumentsGainLossRecognizedInIncomeNet,39837.000,121977.000,21069.000,7551.000,-19376.000,,-48875.000,,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000,0.000,0.000,-0.010,-0.000,-0.000,0.000,-0.020,-0.000,0.000,-0.010,0.000,-0.000,-0.000,-0.000,-0.010,-0.000,-0.000,-0.000
EmbeddedDerivativeGainLossOnEmbeddedDerivativeNet,,,,,,,,,58317.000,,85189.000,172130.000,80347.000,,-24424.000,0.000,0.000,,0.000,0.000,0.000
EmployeeBenefitsAndShareBasedCompensation,,,104296.000,,,,,,,,,,,,,,,,,,
FairValueAssumptionsExpectedDividendRate,,,,,,,0.000,,,,0.000,,,,0.000,,,,,,
FairValueAssumptionsExpectedVolatilityRate,,,,,,,1.860,,,,1.476,,,,1.631,,,,,,
FairValueAssumptionsRiskFreeInterestRate,,,,,,,0.004,,,,0.001,,,,0.000,,,,,,
GrossProfit,92049.000,85950.000,101940.000,67351.000,34711.000,46100.000,51679.000,25679.000,98816.000,-30447.000,52928.000,121086.000,-192889.000,-2678.000,57059.000,168040.000,181152.000,-133836.000,108801.000,-102316.000,54641.000
