,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,55600.000,93265.000,127200.000,20000.000,21553.000,38512.000,
AccountsPayableCurrent,,,,,,,20000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,-1310.000,1773.000,2235.000,2697.000,3160.000,-3623.000,-3700.000
AdditionalPaidInCapital,21000.000,52860.000,52860.000,74850.000,74850.000,74850.000,74850.000
Assets,27500.000,49730.000,23025.000,13089.000,429638.000,595990.000,1290219.000
AssetsCurrent,888.000,37230.000,13525.000,6588.000,30576.000,11303.000,142532.000
Cash,,19230.000,5061.000,130.000,27243.000,470.000,134199.000
CashAndCashEquivalentsAtCarryingValue,0.000,19230.000,5061.000,130.000,27243.000,470.000,134199.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,9000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000
CommonStockSharesOutstanding,9000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000
CommonStockValue,9000.000,15000.000,15000.000,15000.000,15000.000,15000.000,15000.000
ConvertibleDebt,,,,,425000.000,600000.000,1305000.000
DeferredOfferingCosts,11112.000,0.000,0.000,0.000,,,
DeferredTaxAssetsGross,26359.000,41125.000,63271.000,33866.000,,,
DeferredTaxAssetsGrossCurrent,,,,,,,50913.000
DeferredTaxAssetsLiabilitiesNet,0.000,0.000,0.000,0.000,,,
DeferredTaxAssetsNetCurrent,,,,,,,0.000
DeferredTaxAssetsOperatingLossCarryforwards,26359.000,41125.000,63271.000,33866.000,37368.000,46330.000,50913.000
DeferredTaxAssetsValuationAllowance,-26359.000,41125.000,63271.000,33866.000,37368.000,-46330.000,-50913.000
DueToRelatedPartiesCurrent,4500.000,6000.000,7750.000,0.000,0.000,0.000,
FiniteLivedIntangibleAssetsAccumulatedAmortization,-7190.000,-9727.000,-12265.000,-14802.000,-17340.000,-19877.000,-20300.000
FiniteLivedIntangibleAssetsGross,20300.000,20300.000,20300.000,20300.000,,,
FiniteLivedIntangibleAssetsNet,13110.000,10573.000,8035.000,5498.000,,,0.000
FurnitureAndFixturesGross,1700.000,1700.000,1700.000,1700.000,1700.000,1700.000,1700.000
IntangibleAssetsNetExcludingGoodwill,13110.000,10573.000,8035.000,5498.000,2960.000,423.000,0.000
InterestPayableCurrent,,,,,,,45077.000
Liabilities,72810.000,99370.000,135940.000,20000.000,446553.000,638512.000,1370078.000
LiabilitiesAndStockholdersEquity,27500.000,49730.000,23025.000,13089.000,429638.000,595990.000,1290219.000
LiabilitiesCurrent,,,,,21553.000,38512.000,65077.000
MachineryAndEquipmentGross,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000
NotesReceivableRelatedParties,,,,,395562.000,584187.000,1147687.000
OperatingLossCarryforwards,75310.000,117500.000,180775.000,96764.000,106766.000,132372.000,169709.000
OtherAssets,11112.000,0.000,0.000,0.000,395562.000,584187.000,1147687.000
OtherShortTermBorrowings,12710.000,105.000,990.000,0.000,0.000,0.000,
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000
PreferredStockSharesIssued,,,,0.000,0.000,0.000,
PreferredStockSharesOutstanding,,,,0.000,0.000,0.000,
PreferredStockValue,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseCurrent,888.000,18000.000,8464.000,6458.000,3333.000,10833.000,8333.000
PropertyPlantAndEquipmentGross,3700.000,3700.000,3700.000,3700.000,,3700.000,3700.000
PropertyPlantAndEquipmentNet,2390.000,1927.000,1465.000,1003.000,540.000,77.000,0.000
RetainedEarningsAccumulatedDeficit,-75310.000,-117500.000,-180775.000,-96761.000,-106765.000,-132372.000,-169709.000
StockholdersEquity,-45310.000,-49640.000,-112915.000,-6911.000,-16915.000,-42522.000,-79859.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-45310.000,-49640.000,-112915.000,-6911.000,-16915.000,-42522.000,-79859.000
TaxCreditCarryforwardValuationAllowance,26359.000,41125.000,63271.000,33866.000,37368.000,46330.000,50913.000
