,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,,401000.000,201000.000,144000.000,196369.000,136000.000,218000.000,206000.000,311270.000,185000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,6284692.000,,,,,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,,,,19000.000,,,,5000.000
CapitalExpendituresIncurredButNotYetPaid,,,,,,11000.000,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,1572000.000,,,,997000.000,,,,7813000.000
ConversionOfStockAmountIssued1,,,,,,,,,,0.000
CostOfRevenue,,18000.000,22000.000,56000.000,256683.000,461000.000,428000.000,399000.000,221306.000,209000.000
DepreciationAndAmortization,,15000.000,,,,20000.000,,,,151000.000
EarningsPerShareBasic,,,0.250,,,,-0.230,,,
EarningsPerShareBasicAndDiluted,-4.470,-1.670,,-0.330,,-0.220,,-0.410,,-110.000
EarningsPerShareDiluted,,,0.250,,,,-0.230,,,
FairValueAdjustmentOfWarrants,,6174000.000,-4925000.000,-73000.000,-660140.000,-1170000.000,47000.000,-200000.000,-344117.000,69000.000
FairValueOfAssetsAcquired,,,,,,,,,,0.000
GainLossOnContractTermination,,,,,,-94000.000,0.000,0.000,251.000,-7000.000
GainLossOnDerivativeInstrumentsNetPretax,,-9200000.000,,,,,,,,
GeneralAndAdministrativeExpense,522000.000,1292000.000,1432000.000,1714000.000,1702821.000,1939000.000,1509000.000,1398000.000,1890203.000,1158000.000
GoodwillImpairmentLoss,,,,,,0.000,,,,0.000
GrossProfit,,4000.000,75000.000,191000.000,-15211.000,-14000.000,-37000.000,-70000.000,62482.000,56000.000
IncreaseDecreaseInAccountsPayable,,199000.000,,,,627000.000,,,,-175000.000
IncreaseDecreaseInAccountsReceivable,,8000.000,,,,31000.000,,,,-23000.000
IncreaseDecreaseInAccruedLiabilities,,115000.000,,,,-317000.000,,,,46000.000
IncreaseDecreaseInInventories,,97000.000,,,,102000.000,,,,195000.000
IncreaseDecreaseInOtherNoncurrentLiabilities,,,,,,72000.000,,,,-37000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,7000.000,,,,49000.000,,,,15000.000
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,,,,,,,0.000,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,,0.000,,,
InducedConversionOfConvertibleDebtExpense,,,,,,0.000,,,,
InterestExpense,752000.000,1000.000,,,,0.000,0.000,0.000,,
InterestIncomeOther,,,,,,,,,,1000.000
InventoryWriteDown,,,,,,,,,,19000.000
NetCashProvidedByUsedInFinancingActivities,,3382000.000,,,,5000000.000,,,,10000000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,3382000.000,,,,5000000.000,,,,10000000.000
NetCashProvidedByUsedInInvestingActivities,,-1000.000,,,,-19000.000,,,,-4000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-1000.000,,,,-19000.000,,,,-4000.000
NetCashProvidedByUsedInOperatingActivities,,-1809000.000,,,,-3984000.000,,,,-2183000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-1809000.000,,,,-3984000.000,,,,-2183000.000
NetIncomeLoss,-2393000.000,-11651000.000,1881000.000,-3293000.000,-2845546.000,-3189000.000,-3513000.000,-2750000.000,,-2887000.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,,,,,,-6401000.000,,
OperatingExpenses,1323000.000,2430000.000,3119000.000,3374000.000,3491535.000,4249000.000,3413000.000,2871000.000,3018597.000,2266000.000
