,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-12-31,2016-03-31,2016-06-30
AccountsPayableCurrent,839.000,1610.000,,25.000,590.000,528.000,758.000,,1533.000,8050.000,,2919.000,,,44995.000,
AccountsReceivableNetCurrent,1080.000,1190.000,,,,,,,,,,,,,,
AccruedIncomeTaxesCurrent,,,,,,,,273800.000,212800.000,391400.000,339438.000,329261.000,271935.000,,,
AccruedLiabilitiesCurrent,,,,,,,,,,,2667.000,2667.000,2667.000,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,2020.000,2020.000,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,2592.000,,,,,,,-16379.000,-15054.000,,-15919.000,-18834.000,-20172.000,-39104.000,-38824.000,-47461.000
AdditionalPaidInCapitalCommonStock,-24900.000,-19900.000,-24900.000,-24900.000,-24900.000,-24900.000,-924900.000,-924900.000,-924900.000,-865300.000,-924900.000,-924900.000,-924900.000,-924900.000,-924900.000,-924900.000
Assets,6760.000,3835.000,3641.000,5826.000,49799.000,191080.000,286383.000,,1092018.000,1509785.000,1332397.000,1305118.000,1396666.000,793996.000,758594.000,594461.000
AssetsCurrent,6760.000,3835.000,3641.000,5826.000,49799.000,191080.000,286383.000,1003298.000,,,1332397.000,1305118.000,1396666.000,793996.000,758594.000,594461.000
CashAndCashEquivalentsAtCarryingValue,3285.000,2645.000,3641.000,5826.000,49799.000,191080.000,286383.000,1002549.000,1091505.000,1501452.000,167717.000,541449.000,928378.000,421522.000,387322.000,261647.000
CommonStockParOrStatedValuePerShare,,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,5000000000.000,5000000000.000,5000000000.000,5000000000.000,5000000000.000,5000000000.000,5000000000.000,5000000000.000,5000000000.000
CommonStockSharesIssued,25000000.000,2500000.000,2500000.000,3500000.000,8500000.000,23438400.000,123438400.000,125488400.000,125488400.000,125528400.000,125628400.000,125628400.000,125628400.000,125628400.000,125628400.000,125628400.000
CommonStockSharesOutstanding,25000000.000,2500000.000,2500000.000,3500000.000,8500000.000,23438400.000,123438400.000,125488400.000,125488400.000,125528400.000,125628400.000,125628400.000,125628400.000,125628400.000,125628400.000,125628400.000
CommonStockValue,25000.000,25000.000,35000.000,35000.000,85000.000,234384.000,1234384.000,1254884.000,1254884.000,1255284.000,1256284.000,1256284.000,1256284.000,1256284.000,1256284.000,1256284.000
DeferredRevenueAndCreditsCurrent,1470.000,1470.000,,,,,,,,,,,,,,
DeferredRevenueCurrent,,,,,,,,,,,,,,483980.000,483980.000,483980.000
DeferredTaxAssetsGross,,,,,,,,,,,,,,130833.000,,
DeferredTaxAssetsNet,,,0.000,,,,,,,,,,,,,
DeferredTaxAssetsValuationAllowance,,,,,,,,,,,,,,130833.000,,
DisposalGroupIncludingDiscontinuedOperationOtherCurrentLiabilities,,-8890.000,,,,,,,,,,,,,,
DueFromOfficersOrStockholdersCurrent,,,,,,,,,,,325600.000,299000.000,,,,
DueFromRelatedPartiesCurrent,,,,,,,,,,8056.000,,,,,9119.000,
DueToOfficersOrStockholdersCurrent,,,,,,,,24616.000,,,,,180000.000,180000.000,180000.000,180000.000
DueToRelatedPartiesCurrentAndNoncurrent,,,13000.000,23800.000,23800.000,24616.000,45116.000,,,,,,,,,
DueToRelatedPartiesNoncurrent,5000.000,7000.000,,,,,,,,,,,,,,
EmployeeRelatedLiabilitiesCurrent,,,,,,,,,,,,,159429.000,,,
IncomeTaxesReceivable,,,,,,,,,,,,,,13942.000,13942.000,13942.000
Liabilities,7309.000,10080.000,13000.000,23825.000,24390.000,25144.000,45874.000,,,,342105.000,334847.000,614031.000,794502.000,839497.000,794502.000
LiabilitiesAndStockholdersEquity,6760.000,3835.000,3641.000,5826.000,49799.000,191080.000,286383.000,1003298.000,1092018.000,1509785.000,1332397.000,1305118.000,1396666.000,793996.000,758594.000,594461.000
LiabilitiesCurrent,2309.000,3080.000,,23825.000,24390.000,25144.000,45874.000,298416.000,214333.000,399450.000,342105.000,334847.000,614031.000,794502.000,839497.000,794502.000
LiabilitiesNoncurrent,5000.000,7000.000,,,,,,,,,,,,,,
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,,1190.000,,,,,,,,,,,,,,
ManagementFeePayable,,,,,,,,,,,,,,130522.000,130522.000,130522.000
OtherAssetsCurrent,2395.000,,,,,,,,,,,,,,,
PrepaidExpenseCurrent,,,,,,,,749.000,513.000,277.000,1784.000,596.000,28169.000,2917.000,1325.000,1198.000
PropertyPlantAndEquipmentGross,,,,,,,,2020.000,2020.000,,,,,,,
RelatedPartyTransactionDueFromToRelatedParty,,,-13000.000,,,,,,,,,,,,,
RetainedEarningsAccumulatedDeficit,-3241.000,-11345.000,-19459.000,-28099.000,-34691.000,-43548.000,-68975.000,391277.000,562755.000,720351.000,674827.000,657721.000,471423.000,-292786.000,-373463.000,-483964.000
StockholdersEquity,,,,,,,,704882.000,877685.000,1110335.000,990292.000,970271.000,782635.000,-506.000,-80903.000,-200041.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-549.000,-6245.000,-9359.000,-17999.000,25409.000,165936.000,240509.000,,,,990292.000,970271.000,782635.000,-506.000,-80903.000,-200041.000
TaxCreditCarryforwardValuationAllowance,,,,,,,,,,,,10177.000,,,,
ValuationAllowanceAmount,,,2400.000,,,,,,,,,,,,,
