,2011-08-31,2011-11-30,2012-02-29,2012-05-31,2013-08-31,2013-11-30,2014-11-30,2015-02-28,2015-08-31,2015-11-30,2016-11-30
AccountsPayableAndAccruedLiabilitiesCurrent,14630.000,21584.000,28071.000,34450.000,197203.000,214536.000,401442.000,307842.000,411767.000,285171.000,449917.000
AccountsPayableOtherCurrent,,,,,274372.000,24070.000,,,,,
AccountsPayableRelatedPartiesCurrent,,,,,27150.000,25073.000,,0.000,,,
AccountsReceivableNetCurrent,1213.000,4397.000,5702.000,13682.000,1097.000,9933.000,3000.000,5250.000,6000.000,6750.000,
AccruedIncomeTaxesCurrent,,,,,,,,,,238288.000,403947.000
AccruedIncomeTaxesNoncurrent,,,,,,,,,,10336.000,32401.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,19408.000,20532.000,,22961.000,34308.000,35612.000,7336.000,11874.000,21124.000,25699.000,0.000
AdditionalPaidInCapital,3810100.000,3877150.000,3877150.000,3877150.000,4156565.000,4571343.000,5234687.000,5351237.000,5688358.000,5966896.000,-41748285.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,,,,0.000,0.000,
Assets,247118.000,209046.000,204423.000,222462.000,196296.000,133106.000,100998.000,88059.000,83022.000,74648.000,63.000
AssetsCurrent,79973.000,44025.000,41527.000,61870.000,106051.000,45165.000,16330.000,7929.000,12142.000,8343.000,63.000
CapitalLeaseObligationsCurrent,,,,,,,5504.000,5645.000,5924.000,6074.000,
CapitalLeaseObligationsNoncurrent,,,,,,,23540.000,22080.000,19038.000,17465.000,
CapitalLeasesFutureMinimumPaymentsDue,,,,,,,36050.000,34015.000,,,
CapitalLeasesFutureMinimumPaymentsDueInRollingYearFive,,,,,,,3410.000,1375.000,,,
CapitalLeasesFutureMinimumPaymentsDueInRollingYearFour,,,,,,,8160.000,8160.000,,,
CapitalLeasesFutureMinimumPaymentsDueInRollingYearThree,,,,,,,8160.000,8160.000,,,
CapitalLeasesFutureMinimumPaymentsDueInRollingYearTwo,,,,,,,8160.000,8160.000,,,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,,,,7006.000,6291.000,,,
CapitalLeasesFutureMinimumPaymentsNextRollingTwelveMonths,,,,,,,8160.000,8160.000,,,
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,,,,,29044.000,27724.000,,,
CashAndCashEquivalentsAtCarryingValue,65117.000,25370.000,18690.000,28439.000,81506.000,24333.000,13330.000,2679.000,6142.000,1593.000,63.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,480000000.000,480000000.000,480000000.000,480000000.000
CommonStockSharesIssued,14000000.000,18500000.000,18500000.000,18500000.000,20300000.000,22100000.000,32680000.000,75361.000,3243060.000,4214960.000,9019831.000
CommonStockSharesOutstanding,14000000.000,18500000.000,18500000.000,18500000.000,20300000.000,22100000.000,32680000.000,75361.000,3243060.000,4214960.000,9019831.000
CommonStockValue,1400.000,1850.000,1850.000,1850.000,2030.000,2210.000,3268.000,75.000,3243.000,4215.000,9020.000
ConvertibleDebtFairValueDisclosures,,,,,,,,396599941.000,,,
ConvertibleDebtNoncurrent,100100.000,32600.000,32600.000,32600.000,,,,,,,
ConvertibleLongTermNotesPayable,,,,,284577.000,284814.000,11082.000,22620.000,45432.000,12542.000,34919.000
ConvertibleNotesPayable,,,,,571408.000,958229.000,1332782.000,1352507.000,1502234.000,1764147.000,2011412.000
ConvertibleNotesPayableCurrent,,,,,32600.000,32600.000,392537.000,448599.000,670748.000,872840.000,1382449.000
DebtDefaultLongtermDebtAmount,,,,,,,90000.000,90000.000,,,
DebtInstrumentInterestRateEffectivePercentage,,,,,,,,,,,3.174
DebtInstrumentUnamortizedDiscount,,,,,,,,,,-401147.000,107766.000
DebtInstrumentUnamortizedDiscountPremiumNet,,,,,-254231.000,-640815.000,,,,,
DerivativeLiabilitiesNoncurrent,,,,,,,,,,,5470256.000
DueToRelatedPartiesCurrent,1034.000,1841.000,10446.000,31645.000,,,,,,,
DueToRelatedPartiesCurrentAndNoncurrent,,,,,,,,,0.000,,
