,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfIntangibleAssets,,,,,5622.000,,,,,,,,,,,,55.000,,,,
AvailableforsaleSecuritiesGrossUnrealizedGainLoss1,,,,,,,,,,,,,,,,,,50351.000,-21694.000,,150761.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,152881.000,,-12611.000,,,,37255.000,,,,-244830.000,,,,236032.000,,,,1966338.000
ComprehensiveIncomeNetOfTax,,,,,,,,,,,,,,,,,,126163.000,12496.000,,119670.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,,,,-2853.000,-14102.000,,119670.000
CostOfRealEstateRevenue,,,382540.000,59997.000,3076.000,,,,138680.000,14147.000,18114.000,255781.000,15790.000,29140.000,24222.000,,,,,,930720.000
CostOfRevenue,494984.000,398778.000,826592.000,453606.000,354049.000,312454.000,260249.000,413578.000,337456.000,189983.000,158187.000,420457.000,169919.000,145653.000,171007.000,400353.000,562176.000,1187055.000,1092456.000,680068.000,1605100.000
CostOfServicesMaintenanceCosts,,,,,,,,,,,,,,,,,,,,,594571.000
CurrentIncomeTaxExpenseBenefit,,,,,,,,,,74275.000,,,,,,,,,,,
CurrentStateAndLocalTaxExpenseBenefit,,,,,,1696.000,,,,,,,,,,,,,,,
DeferredFederalIncomeTaxExpenseBenefit,,,,,40098.000,12537.000,43918.000,18472.000,,,,,,,,,,,,,
DeferredStateAndLocalIncomeTaxExpenseBenefit,,,,,7528.000,2498.000,8365.000,1908.000,,,,,,,,,,,,,
Depreciation,,,,,,,,,,,,,,,,,9137.000,,,,17005.000
DepreciationAndAmortization,,,10242.000,10214.000,6943.000,,,,5278.000,,,,8512.000,,,,,,,,22306.000
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,-0.010,0.000,0.000,0.000,0.000,0.000
ForeignCurrencyTransactionGainLossBeforeTax,,,,,,,,,,,,,,,,,,-3735.000,-12.000,,
GainLossOnInvestments,,,,,,,,,,,,,,,,,,,,,79365.000
GainLossOnSaleOfInvestments,,,,,,,,,,,,,,,,,3557.000,,,,
GainsLossesOnSalesOfInvestmentRealEstate,,148145.000,,,,,,,,,,,,,,,,,,,-52383.000
GrossProfit,458761.000,458687.000,475462.000,352614.000,381720.000,296942.000,264918.000,269839.000,341668.000,341455.000,339479.000,255011.000,287030.000,285249.000,253950.000,22042.000,202125.000,382013.000,574761.000,294592.000,642729.000
IncomeLossFromContinuingOperations,,,,,,,,,52760.000,153823.000,94328.000,159299.000,-63037.000,104660.000,57099.000,-11211.000,-10129.000,75888.000,-59577.000,141103.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,,,,,,,52182.000,152568.000,96394.000,157314.000,-64959.000,104208.000,58401.000,-1016971.000,-9217.000,79547.000,34202.000,-212170.000,168628.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,,,,,,-2853.000,-14102.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,132923.000,364189.000,263299.000,160297.000,129449.000,38369.000,136037.000,,,,,,,,,,,,,,168628.000
IncomeTaxExpenseBenefit,-5616.000,250496.000,55280.000,668.000,47626.000,16731.000,52283.000,46632.000,,,,,,,,,,,,,
IncomeTaxesPaid,,,26480.000,,0.000,,,,0.000,,,,0.000,,,,,,,,
IncreaseDecreaseInAccountsPayable,,,-42690.000,,8999.000,,,,16407.000,,,,16701.000,,,,-982.000,,,,15035.000
IncreaseDecreaseInAccountsReceivable,,,10012.000,,57479.000,,,,13575.000,,,,6866.000,,,,1358.000,,,,50697.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,44635.000,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccruedLiabilities,,,2193.000,,-7024.000,,,,1391.000,,,,-1878.000,,,,-47.000,,,,96215.000
IncreaseDecreaseInAssetsHeldForSale,,,,,-1.000,,,,,,,,,,,,,,,,
IncreaseDecreaseInDeferredIncomeTaxes,,,15835.000,,-47626.000,,,,,,,,,,,,,,,,
IncreaseDecreaseInDeferredRevenue,,,-5013.000,,-31670.000,,,,4807.000,,,,10711.000,,,,8914.000,,,,24043.000
IncreaseDecreaseInOtherCurrentAssets,,,,,,,,,,,,,,,,,-8976.000,,,,2128.000
IncreaseDecreaseInOtherOperatingAssets,,,39413.000,,73731.000,,,,,,,,,,,,,,,,
IncreaseDecreaseInPrepaidExpense,,,-11533.000,,-6861.000,,,,-47.000,,,,,,,,,,,,
InterestAndDebtExpense,,,,,,,,,1164.000,,,,,,,,,,,,
InterestExpense,,,2089.000,1960.000,1330.000,1141.000,1177.000,1200.000,1164.000,1201.000,320.000,-280.000,,,,,,,,,
InterestExpenseOther,,,,,,,,,,,,,0.000,,,,,,,,
InterestPaid,,,2000.000,,1000.000,,,,,,,,,,,,,,,,
MaintenanceRevenue,,,,,,,,,,,,,,,,,,,,,895392.000
ManagementFeesRevenue,,,,,,,,,,,,,,,,,,,,,150807.000
NetCashProvidedByUsedInFinancingActivities,,,-13113.000,,,,,,,,,,,,,,-90000.000,,,,4715686.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-13113.000,,,,,,,,,,,,,,-90000.000,,,,4715686.000
NetCashProvidedByUsedInInvestingActivities,,,-2.000,,1.000,,,,,,,,,,,,318555.000,,,,-2877088.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-2.000,,1.000,,,,,,,,,,,,318555.000,,,,-2877088.000
NetCashProvidedByUsedInOperatingActivities,,,165996.000,,-12612.000,,,,37255.000,,,,-244830.000,,,,338563.000,,,,127740.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,165996.000,,-12612.000,,,,37255.000,,,,-244830.000,,,,338563.000,,,,127740.000
NetIncomeLoss,138539.000,113693.000,208019.000,159629.000,81823.000,21638.000,83754.000,-90972.000,52182.000,78293.000,96394.000,157314.000,-64959.000,104208.000,58401.000,-1016971.000,-9217.000,79547.000,34202.000,-212170.000,168628.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,,,81823.000,21638.000,83754.000,6141.000,52182.000,78293.000,187214.000,66494.000,-64959.000,104208.000,58401.000,,,,,,
NonoperatingIncomeExpense,-2803.000,144472.000,-2620.000,-1118.000,-827.000,80.000,-1691.000,,,,,,,,,,,,,,131513.000
NotesAssumed1,,,,,,,,,,,,,,,,,,,,,100000.000
NotesIssued1,,,,,,,,,,,,,,,,,,,,,226000.000
OperatingExpenses,,,,,,,,,,,,,,,,,212254.000,306125.000,,,605614.000
OperatingIncomeLoss,135726.000,219717.000,265919.000,161415.000,130276.000,38289.000,137728.000,,,,,,,,,,,,,,37115.000
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeReclassificationAdjustmentsNetOfTax,,,,,,,,,,,,,,,,,,,,,30407.000
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,,,,,,,,,,,,,,,,,-48958.000
OtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,,,,,,,,,,,,-48958.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,,,,,,,,,,,,,,,,,,,,,79365.000
OtherComprehensiveIncomeLossTax,,,,,,,,,,,,,,,,,3644.000,,,,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,,,,,,,,,,,,,,,,,,,-48958.000
OtherExpenses,,,,,,,,,586.000,-54.000,2386.000,-2265.000,-1922.000,452.000,1302.000,,,,,,
OtherNoncashIncomeExpense,,,,,,,,,-578.000,-1255.000,2066.000,,,,,,,,,,
OtherNonoperatingExpense,,3673.000,,,,,,,,,,,,,,,-912.000,-3659.000,-93779.000,,
OtherNonoperatingIncomeExpense,,,-531.000,842.000,503.000,1221.000,-514.000,,,,,,-1922.000,-452.000,1302.000,,,,,,
PaymentsForProceedsFromAvailableforsaleSecuritiesShortterm,,,,,,,,,,,,,,,,,,,,,-454784.000
PaymentsToAcquireBusinessesGross,,,,,,,,,,,,,,,,,,,,,3811772.000
PaymentsToAcquireHeldForSaleRealEstate,,,,,,,,,-54209.000,,,,,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,,,,,,,,,,,,,,,,11765.000
PaymentsToDevelopRealEstateAssets,,,,,,,,,,,,,,,,,,,,,56105.000
ProceedsFromIssuanceOfCommonStock,,,,,,,,,,,,,,,,,,,,,4625000.000
ProceedsFromNotesPayable,,,,,,,,,,,,,,,,,,,,,100000.000
ProceedsFromSaleOfPropertyPlantAndEquipment,,,,,,,,,,,,,,,,,,,,,550270.000
ProfitLoss,,,,,,,,,,,,,,,,,,,,,168628.000
ProvisionForDoubtfulAccounts,,,,,,,,,,,,,,,,,34.000,,,,3397.000
RealEstateRevenueNet,,,487875.000,85688.000,15870.000,15122.000,8713.000,116487.000,159889.000,31820.000,33955.000,235587.000,37975.000,23823.000,31550.000,,,,,,866544.000
RepaymentsOfDebt,,,,,,,,,,,,,,,,,90000.000,,,,9314.000
RepaymentsOfRelatedPartyDebt,,,13113.000,,,,,,,,,,,,,,,,,,
Revenues,953745.000,857465.000,1302054.000,806220.000,735769.000,609396.000,525167.000,683417.000,679124.000,531438.000,497666.000,675468.000,456949.000,430902.000,424957.000,422395.000,764301.000,1569068.000,1667217.000,974660.000,2247829.000
SalesRevenueNet,953745.000,857465.000,1302054.000,806220.000,735769.000,609396.000,525167.000,683417.000,679124.000,531438.000,497666.000,675468.000,456949.000,430902.000,424957.000,422395.000,764301.000,1569068.000,1667217.000,974660.000,2247829.000
SellingGeneralAndAdministrativeExpense,323035.000,238970.000,209543.000,191199.000,251444.000,258653.000,127190.000,191759.000,288908.000,187632.000,245151.000,95712.000,350067.000,180589.000,196851.000,33253.000,212254.000,306125.000,634338.000,555697.000,605614.000
TaxAdjustmentsSettlementsAndUnusualProvisions,,,,,,16731.000,52283.000,,,,,,,,,,,,,,
TechnologyServicesCosts,,,444052.000,393609.000,350973.000,312454.000,260249.000,222859.000,198776.000,175836.000,140073.000,164676.000,154129.000,116513.000,146785.000,,,,,,
TechnologyServicesRevenue,,,814179.000,720532.000,719899.000,594274.000,516454.000,566930.000,519235.000,499618.000,463711.000,439881.000,418974.000,407079.000,393407.000,,,,,,
WeightedAverageNumberDilutedSharesOutstandingAdjustment,,,,,,,,,,,,,,,,,,,,,0.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,74085705.000,,,74085705.000,,74085705.000,74085705.000,74085705.000,-148171410.000,74085705.000,74085705.000,74085705.000,,,77404010.000,122794725.000,,250934607.000
WeightedAverageNumberOfSharesOutstandingBasic,,,,,74085705.000,74085705.000,74085705.000,-148171410.000,74085705.000,74085705.000,74085705.000,-148171410.000,74085705.000,74085705.000,74085705.000,,,,,,
