,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31
AccountsPayableAndAccruedLiabilitiesCurrent,406121.000,495700.000,871094.000,1065855.000,664104.000,677988.000,480637.000,950677.000,401657.000,288479.000,252227.000,136994.000,163187.000,137028.000,206780.000,166972.000,108537.000,128763.000
AccountsPayableRelatedPartiesCurrent,,,,1539500.000,418250.000,,,,,,,,,,,,,
AccountsReceivableNetCurrent,,,31394.000,45130.000,21057.000,43848.000,51979.000,818984.000,277784.000,134851.000,42688.000,903.000,1806.000,8044.000,903.000,0.000,0.000,9797.000
AccountsReceivableRelatedParties,,,,,,,,,,,,,,,,,2743828.000,
AccruedIncomeTaxesCurrent,,,,,,,,,,,,,,1330755.000,,,,
AccruedProfessionalFeesCurrentAndNoncurrent,51287.000,92279.000,,,,,,,,,,,,,,,,
AccruedRentCurrentAndNoncurrent,114837.000,114837.000,114837.000,114837.000,114837.000,114837.000,,,,,,,,,,,,
AccumulatedAmortizationDeferredFinanceCosts,323634.000,323634.000,,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,302038.000,302038.000,310700.000,311602.000,312503.000,313405.000,314308.000,315238.000,316834.000,309550.000,313508.000,317070.000,304090.000,308032.000,308223.000,308414.000,183761.000,183951.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-227780.000,-229863.000,,,,,,,,,,,,,,,,
AdditionalPaidInCapital,54539930.000,54543263.000,20317094.000,20397092.000,20453139.000,27561628.000,27748045.000,27937289.000,28422299.000,28650374.000,31106815.000,31335745.000,38659215.000,38749173.000,38849655.000,45652554.000,46017814.000,46352819.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,0.000,0.000,,0.000,0.000,0.000
AssetRetirementObligation,597787.000,607477.000,763036.000,776292.000,789868.000,804021.000,818010.000,907193.000,891586.000,908584.000,,1144990.000,1146125.000,955312.000,763062.000,573069.000,636989.000,638330.000
AssetRetirementObligationCurrent,213304.000,213303.000,213302.000,213302.000,339443.000,342608.000,481658.000,484939.000,460778.000,460778.000,541959.000,541958.000,541959.000,541959.000,561958.000,406403.000,406403.000,406403.000
AssetRetirementObligationsNoncurrent,384483.000,394174.000,549734.000,562990.000,450425.000,461413.000,336352.000,422254.000,430808.000,447806.000,376471.000,386528.000,396798.000,216964.000,201104.000,144286.000,146868.000,150859.000
Assets,1162680.000,1253935.000,19250993.000,18873884.000,17903507.000,22992834.000,17393747.000,21424171.000,20271383.000,19058996.000,19280281.000,18635744.000,42572790.000,30827958.000,28328648.000,32201663.000,32396034.000,32104123.000
AssetsCurrent,32347.000,124504.000,5792866.000,5132390.000,4235122.000,9288118.000,8445225.000,4259090.000,3238573.000,1820812.000,1231002.000,940606.000,24995165.000,11545820.000,9546303.000,8516792.000,7627828.000,28952633.000
AssetsNoncurrent,1130333.000,1129431.000,13458127.000,13741494.000,13668385.000,13704716.000,8948522.000,17165081.000,17032810.000,17238184.000,18049279.000,17695138.000,17577625.000,,18782345.000,,,
BusinessAcquisitionPurchasePriceAllocationAssetsAcquired,,,23877.000,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsPrepaidExpenseAndOtherAssets,,,104556.000,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentLiabilitiesAccountsPayable,,,-563424.000,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationPropertyPlantAndEquipment,,,4538.000,,,,,,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,,,,,,,,,,,,,,,,3364817.000,3364817.000,3364817.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,,,,,,,,,,,,,,,,1600000.000,1600000.000,1600000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,,,,,,,,,,,,,,,,5652817.000,5652817.000,5652817.000
CapitalizedCostsAccumulatedDepreciationDepletionAmortizationAndValuationAllowanceForRelatingToOilAndGasProducingActivities,,,,,,,,,,,,,,,6975349.000,,,
CapitalizedCostsOilAndGasProducingActivitiesGross,,,,,,,,,,,,,,,7853575.000,,,
CapitalizedCostsOilAndGasProducingActivitiesNet,,,,,,,,,,,,,,,878226.000,,,
CapitalizedCostsProvedProperties,,,,,,,,,,,,,,,7753575.000,,,
CapitalizedCostsUnprovedProperties,,,,,,,,,,,,,,,100000.000,,,
Cash,,,,,,,,,,,400000.000,,,,,,,
CashAndCashEquivalentsAtCarryingValue,6183.000,47675.000,5703082.000,5038371.000,4184036.000,9204795.000,8352949.000,3407129.000,2749928.000,1501387.000,1010543.000,763270.000,526135.000,1324288.000,774751.000,2822561.000,1986698.000,1413443.000
CommonStockCapitalSharesReservedForFutureIssuance,,,90000000.000,90000000.000,90000000.000,90000000.000,120000000.000,120000000.000,120000000.000,120000000.000,120000000.000,,,,,,,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,2250000000.000,2250000000.000,2250000000.000,2250000000.000,2250000000.000,2250000000.000,2250000000.000,2250000000.000,2250000000.000,2250000000.000,2250000000.000,2250000000.000,100000000.000,100000000.000,100000000.000,150000000.000,150000000.000,150000000.000
CommonStockSharesIssued,14078947.000,14078947.000,737117746.000,737317746.000,737317746.000,818567746.000,818567746.000,818567746.000,818567746.000,818567746.000,851909079.000,851901079.000,4259505.000,4263671.000,4263672.000,15827997.000,15827921.000,15827998.000
CommonStockSharesOutstanding,14078947.000,14078947.000,737117746.000,737317746.000,737317746.000,818567746.000,818567746.000,818567746.000,818567746.000,818567746.000,851909079.000,851901079.000,4259505.000,4263671.000,4263672.000,15827997.000,15827921.000,15827998.000
CommonStockValue,79016425.000,79016425.000,7371.000,7373.000,7373.000,8186.000,8186.000,8186.000,8186.000,8186.000,8519.000,8519.000,43.000,43.000,43.000,158.000,158.000,158.000
ContractualObligation,1596329.000,1596329.000,1596329.000,1596329.000,1596329.000,1596329.000,1596329.000,1596329.000,1596329.000,1596329.000,,,,,,,,
ContractualObligationDueInFourthYear,177164.000,177164.000,177164.000,177164.000,177164.000,177164.000,177164.000,,,,,,,,,,,
ContractualObligationDueInNextTwelveMonths,473055.000,473055.000,473055.000,473055.000,473055.000,473055.000,473055.000,,,,,,,,,,,
ContractualObligationDueInSecondYear,473055.000,473055.000,473055.000,473055.000,473055.000,473055.000,473055.000,,,,,,,,,,,
ContractualObligationDueInThirdYear,473055.000,473055.000,473055.000,473055.000,473055.000,473055.000,473055.000,,,,,,,,,,,
ConvertibleNotesPayableCurrent,9496780.000,9574642.000,,,,,,,,,,,,,,,,
DebtInstrumentInterestRateStatedPercentage,,,0.080,,,,,,,,,,,,,,,
DeferredCompensationLiabilityCurrent,,,,1400000.000,,,,,,,,,,,,,,
DeferredIncomeTaxLiabilitiesNet,,,,,,,,,,,,,,,,2689126.000,2922358.000,2944558.000
DeferredLongTermLiabilityCharges,,,,,,,,,,,,386528.000,396798.000,216964.000,,144286.000,146868.000,150859.000
DeferredTaxAssetsGross,,,16435524.000,,,,20266915.000,,,,7658999.000,,,,12667085.000,,,
DeferredTaxAssetsInvestments,,,,,,,,,,,,,,,4313122.000,,,
DeferredTaxAssetsNet,,,0.000,,,,,,,,,,,,0.000,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,1203780.000,,,,2473922.000,,,,3421532.000,,,,3933952.000,,,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,3500000.000,,,,,,,,,,,,,,,
