,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,3000.000,95000.000,199000.000,201000.000,97000.000,152000.000,,
AccountsPayableCurrent,,,,,,,199000.000,34000.000
AccruedIncomeTaxesCurrent,,,,,,,62000.000,150000.000
AccruedLiabilitiesCurrent,,,,,,,1614000.000,872000.000
AdditionalPaidInCapital,25000.000,5149000.000,5303000.000,5341000.000,5397000.000,5531000.000,7630000.000,7833000.000
Assets,173000.000,156522000.000,156472000.000,156436000.000,156276000.000,156197000.000,155821000.000,156017000.000
AssetsCurrent,,1272000.000,1179000.000,1043000.000,880000.000,717000.000,278000.000,295000.000
AssetsHeldInTrustCurrent,,,,,,155250000.000,155250000.000,155250000.000
AssetsHeldInTrustNoncurrent,,155250000.000,155293000.000,155393000.000,155396000.000,155480000.000,155543000.000,155722000.000
AssetsNet,5000001.000,5000001.000,5000001.000,5000001.000,,,,
BusinessAcquisitionPercentageOfVotingInterestsAcquired,,,,,,,0.099,0.099
BusinessAcquisitionSharePrice,,,,,,,10.000,10.000
CashAndCashEquivalentsAtCarryingValue,27000.000,1129000.000,1048000.000,893000.000,775000.000,645000.000,237000.000,230000.000
CashAndCashEquivalentsFairValueDisclosure,,,417000.000,450000.000,3000.000,10000.000,1000.000,72000.000
CashFDICInsuredAmount,250000.000,250000.000,250000.000,250000.000,250000.000,250000.000,250000.000,250000.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,0.500,,,,,,,
ClassOfWarrantOrRightOutstanding,,14170000.000,14170000.000,14170000.000,,,,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,45000000.000,35000000.000,35000000.000,35000000.000,35000000.000,35000000.000,35000000.000,35000000.000
CommonStockSharesIssued,3881250.000,4729395.000,4744738.000,4748527.000,4754162.000,4767536.000,4977445.000,4997706.000
CommonStockSharesOutstanding,3881250.000,4729395.000,4744738.000,4748527.000,4754162.000,4767536.000,4977445.000,4997706.000
DeferredCompensationLiabilityClassifiedNoncurrent,,4658000.000,4658000.000,4658000.000,4658000.000,4658000.000,4658000.000,4658000.000
DeferredOfferingCosts,146000.000,9765000.000,9765000.000,9765000.000,9765000.000,9765000.000,9765000.000,9765000.000
DeferredTaxAssetsOperatingLossCarryforwards,,,100000.000,120000.000,140000.000,140000.000,150000.000,275000.000
FinancialInstrumentsOwnedUSGovernmentAndAgencyObligationsAtFairValue,,,154876000.000,154943000.000,155393000.000,155470000.000,155542000.000,155650000.000
Liabilities,148000.000,4753000.000,4857000.000,4859000.000,4755000.000,4810000.000,6533000.000,6932000.000
LiabilitiesAndStockholdersEquity,173000.000,156522000.000,156472000.000,156436000.000,156276000.000,156197000.000,155821000.000,156017000.000
LiabilitiesCurrent,,,,,,,1875000.000,2274000.000
NotesPayableRelatedPartiesClassifiedCurrent,145000.000,,,,,,,1218000.000
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000
PrepaidExpenseCurrent,,143000.000,131000.000,150000.000,105000.000,72000.000,41000.000,65000.000
RetainedEarningsAccumulatedDeficit,,-149000.000,-303000.000,-341000.000,-397000.000,-531000.000,-2630000.000,-2833000.000
SaleOfStockPricePerShare,0.006,0.006,0.006,,,,,
StockholdersEquity,25000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,25000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000
TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests,,,,,,,,144085000.000
TemporaryEquityRedemptionPricePerShare,,,,,,,,10.000
