,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsPayableCurrent,9321.000,11788.000,12340.000,16537.000,17585.000,16157.000,17705.000,18002.000,17585.000,22781.000,21650.000
AccountsPayableInterestBearingInterestRate,,,,0.080,0.080,,,0.080,0.080,0.080,
AccountsPayableRelatedPartiesCurrent,4400.000,,,,,,,,,,
AccruedLiabilitiesAndOtherLiabilities,10534.000,11627.000,,,,16104.000,,,,,
AccruedLiabilitiesCurrentAndNoncurrent,,,,13779.000,13779.000,,,52500.000,13779.000,20765.000,
AdditionalPaidInCapital,43167.000,51967.000,54967.000,54967.000,57967.000,63967.000,63967.000,63967.000,57967.000,71167.000,71167.000
Assets,240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000
Cash,240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,50000000.000,150000000.000,50000000.000,50000000.000,50000000.000,150000000.000,50000000.000,50000000.000,50000000.000,150000000.000,50000000.000
CommonStockSharesIssued,22033080.000,22033080.000,22033080.000,22033080.000,22033080.000,22033080.000,22033080.000,22033080.000,22033080.000,22033080.000,22033080.000
CommonStockSharesOutstanding,22033080.000,22033080.000,22033080.000,22033080.000,22033080.000,22033080.000,22033080.000,22033080.000,22033080.000,22033080.000,22033080.000
CommonStockValue,22033.000,22033.000,22033.000,22033.000,22033.000,22033.000,22033.000,22033.000,22033.000,22033.000,22033.000
ConvertibleNotesPayable,,,,49300.000,52300.000,,,49300.000,52300.000,7200.000,
ConvertibleNotesPayableCurrent,52500.000,61300.000,,,,73300.000,,,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,141715.000,158475.000,166129.000,171376.000,179605.000,191321.000,194023.000,195474.000,,,
InterestPayableCurrent,10534.000,11627.000,12729.000,13779.000,14960.000,16104.000,17258.000,18412.000,14960.000,20765.000,21963.000
Liabilities,76755.000,84715.000,89369.000,94616.000,99845.000,105561.000,108263.000,109714.000,99845.000,124046.000,124113.000
LiabilitiesAndStockholdersEquity,240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000
NotesPayableRelatedPartiesClassifiedCurrent,52500.000,61300.000,64300.000,64300.000,67300.000,73300.000,73300.000,73300.000,67300.000,80500.000,80500.000
NotesPayableRelatedPartiesCurrentAndNoncurrent,,,,64300.000,67300.000,,,73300.000,67300.000,80500.000,
OwnshareLendingArrangementSharesIssued,,,,-49300000.000,-52300000.000,,,-58300000.000,-52300000.000,-52300000.000,
PreferredStockParOrStatedValuePerShare,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100
PreferredStockSharesAuthorized,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
RetainedEarningsAccumulatedDeficit,,,,,,,,,179605.000,-217006.000,-217073.000
StockholdersEquity,-76515.000,-84475.000,-89129.000,-94376.000,-99605.000,-105321.000,-108023.000,-109474.000,-99605.000,-123806.000,-123873.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-76515.000,-84475.000,-89129.000,-94376.000,-99605.000,-105321.000,-108023.000,-109474.000,-99605.000,-123806.000,-123873.000
