,2014-12-31,2015-12-31,2016-12-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,3163534.000
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,,509215.000,260179.000
AllocatedShareBasedCompensationExpense,,,222000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,17266668.000,5951315.000,7898679.000
AssetImpairmentCharges,0.000,0.000,0.000
CapitalExpendituresIncurredButNotYetPaid,,,34107.000
CapitalLeaseObligationsIncurred,,,11638.000
CashAndCashEquivalentsPeriodIncreaseDecrease,5959425.000,6075830.000,
CurrentIncomeTaxExpenseBenefit,0.000,0.000,
Depreciation,10405.000,43943.000,88000.000
DepreciationAndAmortization,,,87664.000
EarningsPerShareBasicAndDiluted,-0.130,-0.280,-0.490
EffectiveIncomeTaxRateContinuingOperations,0.000,0.000,0.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.340,0.340,0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,-0.421,-0.408,-0.393
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,-0.005,-0.006,-0.006
EffectiveIncomeTaxRateReconciliationOtherAdjustments,0.002,0.000,-0.001
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,0.050,0.048,0.048
EffectiveIncomeTaxRateReconciliationTaxCredits,0.034,0.027,0.013
ExtinguishmentOfDebtGainLossNetOfTax,145006.000,,
FairValueAdjustmentOfWarrants,28448.000,,
ForeignCurrencyTransactionGainLossBeforeTax,4570.000,1977.000,-14094.000
GainsLossesOnExtinguishmentOfDebt,145006.000,,
GeneralAndAdministrativeExpense,1391638.000,3613416.000,6459747.000
IncreaseDecreaseInAccountsPayable,170239.000,972194.000,1890876.000
IncreaseDecreaseInAccruedLiabilities,186002.000,312788.000,2660461.000
IncreaseDecreaseInDeferredRevenue,,1851618.000,88577.000
IncreaseDecreaseInPrepaidExpense,268056.000,105959.000,553745.000
IncreaseDecreaseInReceivables,,,1000000.000
IncreaseDecreaseInRestrictedCashForOperatingActivities,13728.000,22647.000,
InterestExpense,24021.000,2440.000,
InterestExpenseDebt,,,3115.000
InterestExpenseLesseeAssetsUnderCapitalLease,,,1286.000
InterestIncomeExpenseNonoperatingNet,,,477.000
InterestPaid,,,5586.000
InvestmentIncomeInterest,2115.000,3417.000,
LeaseAndRentalExpense,35550.000,55496.000,229705.000
LineOfCreditFacilityIncreaseDecreaseForPeriodNet,,36375.000,
NetCashProvidedByUsedInFinancingActivities,8385109.000,10837344.000,16741866.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,8385109.000,10837344.000,16741866.000
NetCashProvidedByUsedInInvestingActivities,-64448.000,-114037.000,-353032.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-64448.000,-114037.000,-353032.000
NetCashProvidedByUsedInOperatingActivities,-2361236.000,-4647477.000,-13571227.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-2361236.000,-4647477.000,-13571227.000
NetIncomeLoss,-2540485.000,-8850739.000,-19998675.000
NetIncomeLossAvailableToCommonStockholdersBasic,,-8850739.000,
NonoperatingIncomeExpense,106688.000,2954.000,-13617.000
OperatingExpenses,2647173.000,9502075.000,21896482.000
OperatingIncomeLoss,-2647173.000,-8853693.000,-19985058.000
OperatingLeasesRentExpenseNet,,,1030118.000
PaidInKindInterest,29861.000,,
PaymentOfFinancingAndStockIssuanceCosts,1865046.000,509215.000,63830.000
PaymentsToAcquirePropertyPlantAndEquipment,64448.000,114037.000,353032.000
ProceedsFromConvertibleDebt,0.000,,
ProceedsFromIssuanceOfCommonStock,10305161.000,11328929.000,16699133.000
ProceedsFromIssuanceOfPrivatePlacement,8402000.000,8402000.000,
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,,10819714.000,468442.000
ProceedsFromIssuanceOfWarrants,,,10814125.000
ProceedsFromNotesPayable,192000.000,207750.000,348750.000
ProceedsFromWarrantExercises,,10814125.000,
PropertyPlantAndEquipmentDisposals,,,34482.000
RepaymentsOfLongTermCapitalLeaseObligations,,,3175.000
RepaymentsOfNotesPayable,247006.000,190120.000,239012.000
ResearchAndDevelopmentExpense,1255535.000,5888659.000,15436735.000
Revenues,,648382.000,1911424.000
SalesRevenueNet,,648382.000,1911424.000
ShareBasedCompensation,193120.000,1153302.000,3163534.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,,,1004321.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,,123500.000,65000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,3047139.000,600002.000,3020000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,0.950,1.410,3.810
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,0.110,0.110,1.430
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,,1.000,2.440
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,0.950,2.100,4.420
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedInPeriodFairValue1,1732071.000,1290500.000,2561877.000
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedNumberOfShares,632999.000,1946810.000,2782551.000
StockIssued1,,,196349.000
StockIssuedDuringPeriodSharesStockOptionsExercised,87691.000,51128.000,326886.000
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,396192.000,,
StockIssuedDuringPeriodValueConversionOfUnits,1108609.000,,
StockIssuedDuringPeriodValueNewIssues,,,16300924.000
StockIssuedDuringPeriodValueShareBasedCompensation,193120.000,1153302.000,
StockIssuedDuringPeriodValueStockOptionsExercised,4450.000,5589.000,467192.000
ValuationAllowanceDeferredTaxAssetChangeInAmount,,,7860985.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,20159861.000,31350145.000,41137518.000
