,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,6000.000,,,,3000.000,,,,-2000.000,,,,75000.000,,,,8000.000,,,,-5000.000
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,,8000.000,,,,15000.000,,,,211000.000,,,,42000.000,,,,,,,,
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,,,,,,,,,,,,,,,,,161000.000,199000.000,240000.000,241000.000,295000.000
AllowanceForLoanAndLeaseLossesWriteOffs,,,,,,,,,,,,,,,,,,,11000.000,51000.000,100000.000,83000.000,118000.000
AllowanceForLoanAndLeaseLossesWriteoffsNet,,,,,,,,,,,,,,,,,,,-150000.000,-148000.000,-140000.000,-158000.000,-177000.000
AssumptionForFairValueOfInterestsContinuedToBeHeldByTransferorServicingAssetsOrLiabilitiesDiscountRate,,,,,,,0.121,,,,0.119,,,,,,,,,,,,
AssumptionForFairValueOfInterestsContinuedToBeHeldByTransferorServicingAssetsOrLiabilitiesPrepaymentSpeed,,,,,,,0.054,,,,0.053,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,,-121000.000,,,,0.000,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,20573000.000,,,,7798000.000,,,,-428000.000,,,,16488000.000,,,,,,,,
CommonStockDividendsPerShareDeclared,,,,,,,,0.000,0.000,,0.000,0.000,0.020,0.020,0.020,0.030,0.030,0.030,0.030,0.035,0.035,0.035,0.035
ComprehensiveIncomeNetOfTax,,,671000.000,-547000.000,620000.000,2325000.000,1066000.000,2011000.000,2516000.000,3084000.000,1537000.000,1765000.000,1746000.000,2303000.000,1756000.000,-2481000.000,1683000.000,1813000.000,1400000.000,1109000.000,1435000.000,1324000.000,1385000.000
DebtConversionConvertedInstrumentAmount1,,,,,,,,,,,1408000.000,,,,0.000,,,,,,,,
DeferredIncomeTaxExpenseBenefit,,,338000.000,,,,,,,,,,,,,,,,,,,,
DepreciationAmortizationAndAccretionNet,95000.000,93000.000,77000.000,76000.000,78000.000,75000.000,74000.000,74000.000,78000.000,74000.000,75000.000,81000.000,82000.000,86000.000,91000.000,96000.000,103000.000,109000.000,149000.000,175000.000,162000.000,192000.000,163000.000
DepreciationAndAmortization,,,,,,,,,,,75000.000,,,,91000.000,,,,149000.000,,,,163000.000
DividendsCommonStock,,,,,,,,,,,,,,,164000.000,,,,246000.000,,,,283000.000
DividendsPreferredStock,,,,,,,-195000.000,,,,-273000.000,,,,140000.000,,,,,,,,
DividendsPreferredStockCash,,,195000.000,,,,195000.000,,,,0.000,,,,,,,,,,,,
EarningsPerShareBasic,-0.080,-0.430,0.090,-0.140,0.060,0.350,0.140,0.300,0.300,0.390,0.150,0.190,0.190,0.240,0.200,-0.290,0.180,0.220,0.160,0.140,0.180,0.160,0.170
EarningsPerShareDiluted,-0.080,-0.430,0.080,-0.140,0.060,0.310,0.110,0.230,0.290,0.350,0.150,0.180,0.180,0.240,0.190,-0.290,0.170,0.230,0.150,0.130,0.180,0.160,0.160
FederalDepositInsuranceCorporationPremiumExpense,222000.000,217000.000,426000.000,309000.000,311000.000,296000.000,265000.000,261000.000,283000.000,237000.000,80000.000,90000.000,83000.000,85000.000,71000.000,82000.000,99000.000,90000.000,97000.000,99000.000,74000.000,106000.000,110000.000
FeesAndCommissionsDepositorAccounts,114000.000,122000.000,120000.000,109000.000,98000.000,83000.000,85000.000,85000.000,75000.000,73000.000,72000.000,71000.000,72000.000,69000.000,73000.000,87000.000,92000.000,99000.000,90000.000,102000.000,100000.000,111000.000,96000.000
FeesAndCommissionsOther,411000.000,345000.000,250000.000,295000.000,302000.000,277000.000,230000.000,385000.000,229000.000,189000.000,175000.000,266000.000,279000.000,184000.000,175000.000,370000.000,244000.000,225000.000,275000.000,282000.000,270000.000,215000.000,303000.000
FinancingReceivableAllowanceForCreditLossesRecovery,,,,340000.000,262000.000,,369000.000,170000.000,1453000.000,290000.000,771000.000,331000.000,236000.000,232000.000,497000.000,646000.000,247000.000,,,,,,
