,2011-12-31,2012-12-31,2013-12-31,2014-12-31
AdjustmentForAmortization,5609000.000,1316000.000,207000.000,70000.000
AffiliateCosts,1454000.000,588000.000,202000.000,56000.000
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,,431000.000
AllowanceForLoanAndLeaseLossesProvisionForLossGross,,2654000.000,1116000.000,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,1162000.000,722000.000,
AllowanceForLoanAndLeaseLossesWriteOffs,,4416000.000,2588000.000,1097000.000
AmortizationOfDebtDiscountPremium,,1794000.000,688000.000,240000.000
AmortizationOfDeferredHedgeGains,0.000,,,
AmortizationOfFinancingCosts,,568000.000,,
CashPeriodIncreaseDecrease,-372000.000,-112000.000,-22000.000,1000.000
ConcentrationRiskPercentage1,,,,0.109
DerivativeLossOnDerivative,0.000,,,
DistributionMadeToLimitedPartnerCashDistributionsPaid,,,,1208000.000
DistributionMadeToMemberOrLimitedPartnerCashDistributionsPaid,,2422000.000,2415000.000,
GainLossOnSaleOfLeasedAssetsNetOperatingLeases,455000.000,-28000.000,421000.000,154000.000
GainLossOnSaleOfPropertyPlantEquipment,455000.000,,,
GeneralAndAdministrativeExpense,1392000.000,1078000.000,854000.000,591000.000
ImpairmentOfInvestments,,428000.000,0.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-6512000.000,-2926000.000,-782000.000,-635000.000
IncomeLossFromEquityMethodInvestments,-77000.000,-30000.000,-155000.000,-12000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-161000.000,-30000.000,-348000.000,-160000.000
IncreaseDecreaseInAccountsReceivable,-141000.000,-53000.000,,
IncreaseDecreaseInDeferredCharges,,,4000.000,0.000
IncreaseDecreaseInDueToAffiliates,-1915000.000,922000.000,1494000.000,1351000.000
IncreaseDecreaseInOtherOperatingAssets,-82000.000,-90000.000,-50000.000,-3000.000
IncreaseDecreaseInRestrictedCash,-1769000.000,,,
InterestAndFeeIncomeLoansLeaseFinancing,11956000.000,5377000.000,2173000.000,740000.000
InterestExpense,9253000.000,5368000.000,1986000.000,635000.000
InterestPaid,,2292000.000,1126000.000,336000.000
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPManagingMemberOrGeneralPartnerOwnershipInterest,,0.010,0.010,0.010
NetCashProvidedByUsedInFinancingActivities,-101142000.000,-54239000.000,-23975000.000,-6972000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-101142000.000,-54239000.000,-23975000.000,-6972000.000
NetCashProvidedByUsedInInvestingActivities,92187000.000,49255000.000,21798000.000,5776000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,92187000.000,49255000.000,21798000.000,5776000.000
NetCashProvidedByUsedInOperatingActivities,8583000.000,4872000.000,2155000.000,1197000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,8583000.000,4872000.000,2155000.000,1197000.000
NetIncomeLoss,-6589000.000,-3384000.000,-937000.000,-647000.000
NetIncomeLossAllocatedToGeneralPartners,-6589000.000,,,
NetIncomeLossAllocatedToLimitedPartners,-6523000.000,-3350000.000,-928000.000,-641000.000
NetIncomeLossAttributableToNoncontrollingInterest,0.000,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnit,-5.450,-2.800,-0.780,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,-0.540
OperatingExpenses,23893000.000,10659000.000,4309000.000,1764000.000
OperatingLeasesIncomeStatementDepreciationExpenseOnPropertySubjectToOrHeldForLease,2532000.000,971000.000,151000.000,56000.000
OperatingLeasesIncomeStatementLeaseRevenue,3312000.000,1321000.000,421000.000,112000.000
OtherAmortizationOfDeferredCharges,0.000,,,
OtherIncome,1658000.000,1063000.000,512000.000,123000.000
OtherNonoperatingIncome,,921000.000,473000.000,97000.000
PartnersCapitalAccountDistributions,2415000.000,2422000.000,2415000.000,1208000.000
PartnersCapitalAccountPublicSaleOfUnits,,,120000000.000,120000000.000
PartnersCapitalAccountRedemptions,0.000,,,
PartnersCapitalAccountUnitsSoldInPublicOffering,,,1200000.000,1200000.000
PaymentsForDerivativeInstrumentFinancingActivities,0.000,,,
PaymentsOfFinancingCosts,0.000,33000.000,,
PaymentsToAcquireInvestments,0.000,,,
PaymentsToAcquireLoansAndLeasesHeldForInvestment,0.000,1192000.000,0.000,
ProceedsFromBankDebt,0.000,,,
ProceedsFromDepositsFromCustomers,-556000.000,,,
ProceedsFromDivestitureOfBusinesses,0.000,,,
ProceedsFromMinorityShareholders,0.000,,,
ProceedsFromNotesPayable,0.000,,,
ProceedsFromRepaymentsOfRestrictedCashFinancingActivities,,4844000.000,2941000.000,1310000.000
ProceedsFromSaleOfLoansAndLeasesHeldForInvestment,92743000.000,51075000.000,22260000.000,5885000.000
ProvisionForLoanAndLeaseLosses,9262000.000,2654000.000,1116000.000,426000.000
RelatedPartyCosts,0.000,,202000.000,56000.000
RepaymentsOfBankDebt,99683000.000,56628000.000,24497000.000,7074000.000
RepaymentsOfNotesPayable,813000.000,0.000,,
Revenues,17381000.000,7733000.000,3527000.000,1129000.000
SalesRevenueNet,15723000.000,6670000.000,3015000.000,1006000.000
UnrealizedGainLossOnDerivatives,0.000,,,
WeightedAverageLimitedPartnershipUnitsOutstanding,1196001.000,1195631.000,1195631.000,1195626.000
