,2012-07-31,2012-10-31,2013-01-31
AccountsPayableCurrent,4578.000,6679.000,8017.000
AdditionalPaidInCapitalCommonStock,7400.000,9900.000,9900.000
Assets,0.000,0.000,
CashAndCashEquivalentsAtCarryingValue,0.000,0.000,0.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,100000.000,100000.000,100000.000
CommonStockSharesOutstanding,100000.000,100000.000,100000.000
CommonStockValue,100.000,100.000,100.000
DueToRelatedPartiesCurrent,689.000,2189.000,6189.000
LiabilitiesAndStockholdersEquity,0.000,0.000,
LiabilitiesCurrent,5267.000,8868.000,14206.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000
PreferredStockValue,0.000,0.000,
RetainedEarningsAccumulatedDeficit,-12767.000,-18868.000,-24206.000
StockholdersEquity,-5267.000,-8868.000,-14206.000
