,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,6112352.000,,,,6579622.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,373975.000,73002.000,322845.000,180123.000,59322.000,-48218.000,-224979.000,-1471362.000,-2226247.000,-2438581.000,-1919352.000
AdditionalPaidInCapital,130036.000,130036.000,447398.000,756398.000,786398.000,801398.000,801398.000,801398.000,846398.000,927398.000,927398.000
AdvancesFromFederalHomeLoanBanks,,,,5500000.000,5500000.000,5500000.000,5500000.000,5500000.000,5500000.000,5500000.000,5500000.000
Assets,297823412.000,295880106.000,299288862.000,296583191.000,294801902.000,300662859.000,300063590.000,291269758.000,291484304.000,286973826.000,283801020.000
AssetsNet,,,,,,,,,,1000000.000,
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,43178301.000,43976028.000,42607945.000,,,,,
AvailableForSaleSecurities,37910545.000,42566577.000,45639625.000,43408424.000,44085350.000,42609727.000,41171956.000,38712965.000,39835875.000,38805780.000,38065945.000
AvailableForSaleSecuritiesAmortizedCost,,,,43228301.000,44026028.000,42657945.000,41396935.000,40184327.000,42062122.000,41244361.000,39985297.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,,,,22924379.000,26674226.000,23890566.000,28734307.000,33530773.000,29880334.000,32049969.000,21573462.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,,,,,,,,3505811.000,7302978.000,6335824.000,15348050.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,,,,3324419.000,3112879.000,3098073.000,,,,,
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,,,,3324649.000,3094325.000,3047528.000,,,,,
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,,,,3522484.000,3571211.000,3060332.000,,,,,
