,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AccountsPayableCurrent,832000000.000,870000000.000,734000000.000,642000000.000,891000000.000,884000000.000,878000000.000,905000000.000,940000000.000,1006000000.000,895000000.000,787000000.000,949000000.000,982000000.000,955000000.000,1212000000.000,888000000.000,934000000.000,1067000000.000,965000000.000,818000000.000,870000000.000,825000000.000,917000000.000,902000000.000,883000000.000
AccountsReceivableNetCurrent,2517000000.000,2713000000.000,2725000000.000,2896000000.000,2988000000.000,2708000000.000,2696000000.000,2518000000.000,2528000000.000,2674000000.000,2670000000.000,2697000000.000,2514000000.000,2697000000.000,2355000000.000,2546000000.000,2548000000.000,2779000000.000,2901000000.000,2995000000.000,3078000000.000,3078000000.000,3186000000.000,3165000000.000,3248000000.000,3560000000.000
AccruedLiabilitiesCurrent,3334000000.000,3629000000.000,4197000000.000,5028000000.000,5026000000.000,4732000000.000,5031000000.000,4791000000.000,4195000000.000,3771000000.000,3937000000.000,4655000000.000,4749000000.000,4384000000.000,5096000000.000,5296000000.000,4948000000.000,4707000000.000,4848000000.000,5452000000.000,5458000000.000,4666000000.000,4920000000.000,5884000000.000,5822000000.000,5473000000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,5300000000.000,5500000000.000,5600000000.000,5811000000.000,5900000000.000,6200000000.000,6400000000.000,6621000000.000,6500000000.000,6700000000.000,6800000000.000,6942000000.000,7100000000.000,7200000000.000,7400000000.000,7033000000.000,7200000000.000,7300000000.000,7400000000.000,7265000000.000,7400000000.000,7500000000.000,7500000000.000,7466000000.000,7600000000.000,7800000000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,120000000.000,,,,183000000.000,121000000.000,-84000000.000,-36000000.000,-43000000.000,-3000000.000,18000000.000,-76000000.000,-19000000.000,121000000.000,13000000.000,-22000000.000,,,,,,,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,43000000.000,,,,-35000000.000,40000000.000,62000000.000,-22000000.000,-33000000.000,-31000000.000,-56000000.000,172000000.000,290000000.000,468000000.000,353000000.000,300000000.000,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,21000000.000,,,,12000000.000,-11000000.000,-36000000.000,-24000000.000,-68000000.000,-76000000.000,-69000000.000,-193000000.000,-264000000.000,-437000000.000,-419000000.000,-505000000.000,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-9000000.000,45000000.000,118000000.000,171000000.000,106000000.000,151000000.000,147000000.000,146000000.000,137000000.000,-71000000.000,-97000000.000,-161000000.000,-126000000.000,-123000000.000,-104000000.000,-8000000.000,137000000.000,-68000000.000,-237000000.000,-480000000.000,-268000000.000,-106000000.000,-139000000.000,-471000000.000,-362000000.000,-449000000.000
Assets,42714000000.000,46936000000.000,45765000000.000,48871000000.000,49250000000.000,52226000000.000,55448000000.000,54298000000.000,51640000000.000,52610000000.000,57073000000.000,66125000000.000,67004000000.000,69534000000.000,70775000000.000,69009000000.000,68952000000.000,71209000000.000,71869000000.000,71576000000.000,75116000000.000,75471000000.000,78150000000.000,77626000000.000,77862000000.000,79587000000.000
AssetsCurrent,21689000000.000,25481000000.000,24430000000.000,27593000000.000,26855000000.000,29562000000.000,32605000000.000,31209000000.000,28695000000.000,29673000000.000,30675000000.000,27367000000.000,28302000000.000,34328000000.000,36048000000.000,34713000000.000,35064000000.000,37736000000.000,38844000000.000,38518000000.000,42206000000.000,42947000000.000,45844000000.000,46010000000.000,46456000000.000,48442000000.000
AvailableForSaleSecurities,,,,,,,,,,21654000000.000,25605000000.000,22363000000.000,22997000000.000,25686000000.000,27670000000.000,26732000000.000,26674000000.000,29689000000.000,30800000000.000,31112000000.000,34451000000.000,34690000000.000,37728000000.000,37781000000.000,38113000000.000,38922000000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,,77000000.000,143000000.000,280000000.000,176000000.000,183000000.000,75000000.000,283000000.000,498000000.000,429000000.000,128000000.000,176000000.000,222000000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,,199000000.000,174000000.000,88000000.000,155000000.000,217000000.000,329000000.000,128000000.000,52000000.000,25000000.000,258000000.000,141000000.000,67000000.000
AvailableForSaleSecuritiesAmortizedCost,15094000000.000,18847000000.000,17171000000.000,19814000000.000,18702000000.000,21635000000.000,24609000000.000,23455000000.000,20709000000.000,21788000000.000,25663000000.000,22432000000.000,23002000000.000,25658000000.000,27792000000.000,26763000000.000,26482000000.000,29668000000.000,30834000000.000,31366000000.000,34296000000.000,34244000000.000,37324000000.000,37911000000.000,38078000000.000,38767000000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,,,,,,,,,,,,,,,81000000.000,59000000.000,39000000.000,46000000.000,68000000.000,79000000.000,65000000.000,36000000.000,7000000.000,8000000.000,6000000.000,3000000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,,,,,,,,,,,,,,,118000000.000,115000000.000,49000000.000,109000000.000,149000000.000,250000000.000,63000000.000,16000000.000,18000000.000,250000000.000,135000000.000,64000000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,,,,,,,,,,10700000000.000,8500000000.000,10000000000.000,8900000000.000,4841000000.000,12345000000.000,11642000000.000,4995000000.000,12243000000.000,9141000000.000,20856000000.000,5515000000.000,1864000000.000,4182000000.000,18281000000.000,14826000000.000,14423000000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,,,,,,,,,,,,,,2466000000.000,2557000000.000,1867000000.000,1104000000.000,1316000000.000,2022000000.000,1887000000.000,1925000000.000,1444000000.000,578000000.000,493000000.000,358000000.000,177000000.000
AvailableForSaleSecuritiesCurrent,14092000000.000,13174000000.000,13785000000.000,13695000000.000,15167000000.000,16626000000.000,19551000000.000,20804000000.000,18741000000.000,16212000000.000,14277000000.000,15596000000.000,16115000000.000,21836000000.000,24398000000.000,23295000000.000,24254000000.000,26198000000.000,27894000000.000,27238000000.000,31844000000.000,32404000000.000,34495000000.000,34844000000.000,35040000000.000,36598000000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,,,,,,1079000000.000,1621000000.000,1620000000.000,1763000000.000,1429000000.000,1432000000.000,1656000000.000,1667000000.000,2671000000.000,6299000000.000,3267000000.000,3471000000.000,3468000000.000,3433000000.000,3087000000.000,3016000000.000,3335000000.000,,,,
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,,,,,,2593000000.000,,,,,,,,178000000.000,451000000.000,218000000.000,178000000.000,222000000.000,216000000.000,70000000.000,51000000.000,53000000.000,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,1713000000.000,6609000000.000,3971000000.000,6811000000.000,4004000000.000,6462000000.000,8501000000.000,7175000000.000,3916000000.000,6814000000.000,10820000000.000,6799000000.000,7107000000.000,5820000000.000,5101000000.000,4936000000.000,4015000000.000,4701000000.000,3859000000.000,4578000000.000,4184000000.000,3965000000.000,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateFairValue,,,,,,,3902000000.000,3596000000.000,3314000000.000,2872000000.000,2849000000.000,2971000000.000,2907000000.000,3614000000.000,3866000000.000,3498000000.000,3278000000.000,3511000000.000,3733000000.000,3939000000.000,4060000000.000,3918000000.000,,,,
AvailableForSaleSecuritiesFairValueDisclosure,15215000000.000,19037000000.000,17344000000.000,20003000000.000,18895000000.000,21821000000.000,24935000000.000,23745000000.000,20900000000.000,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,19000000.000,54000000.000,35000000.000,28000000.000,25000000.000,18000000.000,22000000.000,37000000.000,,,,,,,,,,,,,,,,,
AvailableforsaleSecuritiesGrossUnrealizedGain,,209000000.000,227000000.000,224000000.000,221000000.000,211000000.000,344000000.000,312000000.000,228000000.000,,,,,,,,,,,,,,,,,
BuildingsAndImprovementsGross,,,,3463000000.000,,,,3510000000.000,,,,3467000000.000,,,,3612000000.000,,,,3638000000.000,,,,3640000000.000,,
Cash,191000000.000,182000000.000,372000000.000,680000000.000,527000000.000,703000000.000,491000000.000,370000000.000,433000000.000,454000000.000,451000000.000,539000000.000,321000000.000,584000000.000,,438000000.000,,,,406000000.000,,,,458000000.000,465000000.000,464000000.000
CashAndCashEquivalentsAtCarryingValue,1266000000.000,5998000000.000,3891000000.000,6946000000.000,4207000000.000,5849000000.000,5823000000.000,3257000000.000,2530000000.000,5806000000.000,8281000000.000,3805000000.000,3687000000.000,4352000000.000,3677000000.000,3731000000.000,2864000000.000,3795000000.000,3226000000.000,4144000000.000,2896000000.000,2630000000.000,3485000000.000,3241000000.000,3358000000.000,2629000000.000
CommercialPaper,,,300000000.000,,,,,,,,,,,,,,,,,,,,,,,960000000.000
CommonStockIncludingAdditionalPaidInCapital,27376000000.000,27514000000.000,27602000000.000,27777000000.000,28212000000.000,28468000000.000,29103000000.000,29337000000.000,29465000000.000,,,,,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,2750000000.000,2750000000.000,2750000000.000,2750000000.000,2750000000.000,2750000000.000,2750000000.000,2750000000.000,2750000000.000,2750000000.000,2750000000.000,2750000000.000,2750000000.000,2750000000.000,2750000000.000,2750000000.000,2750000000.000,2750000000.000,2750000000.000,2750000000.000,2750000000.000,2750000000.000,2750000000.000,2750000000.000,2750000000.000,2750000000.000
CommonStockSharesOutstanding,933000000.000,924000000.000,879000000.000,795600000.000,781100000.000,769200000.000,768100000.000,756300000.000,749600000.000,752900000.000,754100000.000,754600000.000,756900000.000,759400000.000,760600000.000,760400000.000,760400000.000,759100000.000,754900000.000,754000000.000,751300000.000,748900000.000,744800000.000,738200000.000,736100000.000,730700000.000
CommonStocksIncludingAdditionalPaidInCapital,,,,,,,,,,29519000000.000,29665000000.000,29891000000.000,29890000000.000,29981000000.000,30127000000.000,30410000000.000,30420000000.000,30464000000.000,30556000000.000,30649000000.000,30588000000.000,30595000000.000,30691000000.000,30784000000.000,30766000000.000,30793000000.000
ConstructionInProgressGross,,,,744000000.000,,,,1071000000.000,,,,1120000000.000,,,,1183000000.000,,,,746000000.000,,,,745000000.000,,
ConvertibleDebtNoncurrent,2246000000.000,2279000000.000,,,,,,,,,,,,,,,,,,,,,,,,
DebtCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,1459000000.000
DebtInstrumentFaceAmount,,,,10500000000.000,,3000000000.000,2000000000.000,5000000000.000,,,,8100000000.000,,,,4500000000.000,,,,,,,,6700000000.000,,
