,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,-8163000.000,,,,,,,,,,,,,,,,,,,,,,,,,
AmortizationOfIntangibleAssets,7951000.000,7046000.000,7959000.000,-1031000.000,3422000.000,8631000.000,9474000.000,10178000.000,12570000.000,18837000.000,18514000.000,21810000.000,18492000.000,18264000.000,18519000.000,24340000.000,25042000.000,26880000.000,31400000.000,80343000.000,89999000.000,84181000.000,77080000.000,65881000.000,66676000.000,66279000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,,18000000.000,7000000.000,4000000.000,-25000000.000,11000000.000,7000000.000,7000000.000,-23000000.000,23000000.000,12000000.000,9000000.000,-37000000.000,23000000.000,4000000.000
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,,,,,,,,,8000000.000,8000000.000,,,,,,,,
BusinessCombinationConsiderationTransferredEquityInterestsIssuedAndIssuable,,,,,,,,,,,,,,,,,99000000.000,,,,,,,,,
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGain,,,,,,,,,,,,,,,,,79476000.000,-2076000.000,,,,,,,,
CashAcquiredFromAcquisition,,,,,,,,,13000000.000,,,,,,,,41000000.000,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,238837000.000,,,,583374000.000,,,,-210363000.000,,,,463033000.000,,,,332583000.000,,,,387030000.000,,,,706419000.000,
CommonStockDividendsPerShareCashPaid,,,,,,,,,0.130,,,,,,,,,,,,,,,,,
CommonStockDividendsPerShareDeclared,0.070,0.070,0.070,0.350,0.090,0.090,0.130,0.650,0.130,0.130,0.150,0.150,0.150,0.150,0.180,0.180,0.180,0.180,0.240,0.240,0.240,0.240,0.260,0.260,0.280,0.280
ComprehensiveIncomeNetOfTax,,147000000.000,173000000.000,,11061000.000,81488000.000,185654000.000,19340000.000,-128290000.000,73668000.000,196662000.000,108985000.000,-4209000.000,86886000.000,200219000.000,-41770000.000,-56563000.000,432432000.000,255661000.000,-13185000.000,-124334000.000,19450000.000,271785000.000,113396000.000,-57136000.000,119762000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,990000.000,-18000.000,-548000.000,1135000.000,2630000.000,-6965000.000,-3715000.000,-4435000.000,9786000.000,-5964000.000,-27754000.000,-8970000.000,-44252000.000,-15250000.000,-6972000.000,-20188000.000,9658000.000,-29376000.000,2026000.000,-11383000.000,7277000.000,23353000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,12051000.000,81470000.000,185106000.000,20475000.000,-125660000.000,66703000.000,192947000.000,104550000.000,5577000.000,80922000.000,172465000.000,-50740000.000,-100815000.000,417182000.000,248689000.000,-33373000.000,-114676000.000,-9926000.000,273811000.000,102013000.000,-49859000.000,143115000.000
CostOfRevenue,177842000.000,198544000.000,209677000.000,175209000.000,200098000.000,229741000.000,243633000.000,225132000.000,250581000.000,262607000.000,276318000.000,248528000.000,294619000.000,300501000.000,299708000.000,284253000.000,321918000.000,321082000.000,328066000.000,338493000.000,402841000.000,406380000.000,416907000.000,370570000.000,421687000.000,439007000.000
CostmethodInvestmentsOtherThanTemporaryImpairment,,,,,,,,,,,,,,,,,,,,,,,,,,5000000.000
DeferredIncomeTaxExpenseBenefit,7027000.000,,,,10323000.000,,,,4741000.000,,,,5793000.000,,,,3478000.000,,,,21886000.000,,,,13680000.000,
Depreciation,33287000.000,,,,34314000.000,38666000.000,43874000.000,47393000.000,48866000.000,51139000.000,52965000.000,58774000.000,62134000.000,65558000.000,67469000.000,70656000.000,74445000.000,79277000.000,87156000.000,95802000.000,105255000.000,116023000.000,123555000.000,132228000.000,141548000.000,151052000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,,,,-37568000.000,,,,,,,,,,,,,,,,,,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,-13679000.000,,-1543000.000,,,,,,,,,,,,,,,,,,,
EarningsPerShareBasic,0.190,0.510,0.770,2.010,-0.020,0.790,1.260,0.060,-0.770,0.520,1.250,0.730,-0.110,0.690,2.010,0.500,0.350,3.490,2.180,-0.150,-0.810,0.210,1.860,0.610,-0.570,0.370
EarningsPerShareDiluted,0.190,0.500,0.750,1.970,-0.020,0.760,1.210,0.050,-0.770,0.510,1.220,0.710,-0.110,0.670,1.940,0.490,0.340,3.380,2.120,-0.140,-0.810,0.210,1.810,0.610,-0.570,0.360
EffectOfExchangeRateOnCashAndCashEquivalents,8769000.000,,,,16173000.000,,,,-38381000.000,,,,3402000.000,,,,-64769000.000,,,,50893000.000,,,,30680000.000,
EffectiveIncomeTaxRateContinuingOperations,,,,,0.195,0.213,,,0.100,0.279,,,-0.016,0.195,0.134,,-0.029,0.235,0.193,,0.287,1.493,0.179,,,0.053
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,,,,,,,,0.350,,,,0.350,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,2016000.000,,,,7492000.000,,,,19379000.000,,,,21783000.000,,,,10059000.000,,,,9060000.000,,,,,
ExtinguishmentOfDebtGainLossIncomeTax,,,,,14000000.000,,,,,,,,,,,,,,,,,,,,,
ForeignCurrencyTransactionGainLossBeforeTax,,,,,,,,,,,,,,,,,14155000.000,-15084000.000,26158000.000,-442000.000,-18835000.000,1116000.000,-5725000.000,8200000.000,,
GainLossOnForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstruments,,-3000000.000,5000000.000,,1000000.000,2000000.000,-22000000.000,-2000000.000,13000000.000,38000000.000,-8000000.000,4000000.000,-8000000.000,-8000000.000,18000000.000,8000000.000,19000000.000,-4000000.000,32000000.000,-1000000.000,-26000000.000,-20000000.000,4000000.000,-24000000.000,-4000000.000,14000000.000
GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,508810000.000,,,,,0.000,,,
GainLossOnSaleOfDerivatives,844000.000,,,,6637000.000,,,,5808000.000,,,,1358000.000,,,,16907000.000,,,,-2102000.000,,,,-7167000.000,
GeneralAndAdministrativeExpense,82701000.000,84837000.000,103745000.000,38425000.000,78578000.000,83218000.000,85140000.000,98418000.000,92376000.000,91891000.000,92351000.000,100460000.000,99045000.000,102540000.000,104999000.000,118789000.000,116397000.000,141394000.000,130168000.000,185954000.000,147809000.000,192555000.000,165829000.000,172099000.000,158153000.000,178952000.000
IncomeLossFromContinuingOperations,,,,,20608000.000,105241000.000,169934000.000,6927000.000,-104226000.000,71500000.000,170859000.000,94717000.000,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,,,,,31651000.000,558057000.000,342187000.000,-5933000.000,-170943000.000,-12195000.000,339555000.000,120183000.000,-131255000.000,56682000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,74185000.000,196340000.000,271185000.000,-139638000.000,26827000.000,134864000.000,204338000.000,-15972000.000,-119271000.000,87423000.000,212080000.000,120461000.000,-19485000.000,106605000.000,289525000.000,,,,,,,,,,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,21587000.000,106109000.000,168188000.000,7095000.000,-107368000.000,63015000.000,166724000.000,93987000.000,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicShare,,,,,0.150,0.790,1.250,0.070,-0.770,0.520,1.250,0.730,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,0.150,0.760,1.200,0.050,-0.770,0.510,1.220,0.710,,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,-23889000.000,,1543000.000,,,,,,,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,,,-23889000.000,,1543000.000,,,,,,,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,,,-0.180,,0.010,,,,,,,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,,,-0.170,,0.010,,,,,,,,,,,,,,,,,,,
IncomeLossFromSubsidiariesBeforeTax,,,,,,,,,,,,,,,,,,,,,,,0.000,,0.000,0.000
IncomeTaxExpenseBenefit,21976000.000,55450000.000,60779000.000,-62474000.000,5240000.000,28755000.000,36150000.000,-23067000.000,-11903000.000,24408000.000,45356000.000,26474000.000,319000.000,20751000.000,38904000.000,31717000.000,-910000.000,131221000.000,65950000.000,6953000.000,-49139000.000,-18202000.000,60627000.000,22029000.000,-46716000.000,3012000.000
IncomeTaxesPaidNet,13498000.000,,,,-17231000.000,,,,2552000.000,,,,29682000.000,,,,68461000.000,,,,39202000.000,,,,25128000.000,
IncreaseDecreaseInAccountsReceivable,101238000.000,,,,71836000.000,,,,150834000.000,,,,196870000.000,,,,215036000.000,,,,267867000.000,,,,232475000.000,
IncreaseDecreaseInDeferredRevenue,6345000.000,,,,1673000.000,,,,9085000.000,,,,17239000.000,,,,7606000.000,,,,55974000.000,,,,85861000.000,
IncreaseDecreaseInIncomeTaxes,,,,,,,,,,,,,-57095000.000,,,,-83213000.000,,,,-119835000.000,,,,-86139000.000,
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,-34947000.000,,,,-2248000.000,,,,27043000.000,,,,74718000.000,,,,14477000.000,,,,55446000.000,,,,65032000.000,
IncreaseDecreaseInOtherOperatingAssets,,,,,,,,,,,,,,,,,,,,,37399000.000,,,,51746000.000,
IncreaseDecreaseInPrepaidExpense,23283000.000,,,,18389000.000,,,,28227000.000,,,,23709000.000,,,,23884000.000,,,,,,,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,,,,,,,,,,,,,,,,,,,,,4845000.000
InterestExpense,31265000.000,31218000.000,32049000.000,-3814000.000,21392000.000,21989000.000,22101000.000,22306000.000,21748000.000,21629000.000,21966000.000,22015000.000,21804000.000,22321000.000,25558000.000,28406000.000,27994000.000,28515000.000,33259000.000,36427000.000,43960000.000,42939000.000,43374000.000,42875000.000,42977000.000,42661000.000
InterestPaid,60391000.000,,,,42667000.000,,,,41468000.000,,,,41809000.000,,,,53442000.000,,,,52982000.000,,,,72029000.000,
