,2011-10-31,2012-10-31,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
AcquisitionCosts,0.000,,,,,,,,,,,,,,,,,
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,,207247.000,,,,129459.000,,,,142073.000,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,19145.000,,,,11237.000,,,,23036.000,,,,68222.000,,,
CostOfGoodsSold,112608.000,52262.000,67077.000,454729.000,866471.000,16490.000,65522.000,46516.000,103706.000,42665.000,53653.000,19838.000,995.000,,,,,
DebtInstrumentConvertibleConversionRatio1,,,0.600,,,,,,,,,,,,,,,
DebtInstrumentInterestRateDuringPeriod,,,,,,,,,,,,,,,0.180,,,
DebtInstrumentPeriodicPayment,,,212.000,,,,,,,,,,,,,,,
Depreciation,,,25637.000,,,,24558.000,,,,16929.000,,,,,,,
EarningsPerShareBasic,-0.010,-0.000,0.000,0.000,0.010,-0.010,-0.000,0.000,-0.000,-0.010,-0.000,-0.000,-0.000,,0.000,,0.010,
EarningsPerShareDiluted,-0.010,-0.000,0.000,0.000,0.010,-0.010,-0.000,0.000,-0.000,-0.010,0.000,0.000,0.000,,0.000,,0.010,
GainLossOnSaleOfPropertyPlantEquipment,,,0.000,,,,,,,,,,,,,,,
GainLossOnSaleOfStockInSubsidiaryOrEquityMethodInvestee,,,237718.000,,,,245778.000,,,,237718.000,,,,,,,
GeneralAndAdministrativeExpense,449506.000,71537.000,87563.000,106760.000,88587.000,297694.000,96321.000,111617.000,91540.000,77310.000,87791.000,74096.000,7606.000,,-246678.000,-57204.000,-314060.000,1458484.000
GrossProfit,27073.000,5496.000,-9789.000,250310.000,481421.000,-2052.000,-8031.000,-26280.000,57625.000,-42664.000,-26008.000,-19838.000,-995.000,,,,,
ImpairedAssetsToBeDisposedOfByMethodOtherThanSaleAmountOfImpairmentLoss,,0.000,0.000,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-494321.000,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,-121991.000,53968.000,342246.000,-318678.000,-133814.000,-162342.000,-51843.000,-302894.000,-128098.000,-96537.000,76107.000,,,,,
IncomeTaxExpenseBenefit,0.000,,0.000,0.000,0.000,,,,0.000,,,,,,,,,
IncomeTaxesPaid,,,0.000,,,,,,,,,,,,,,,
IncomeTaxesPaidNet,,,,,,,,,,,,,,,0.000,,,
IncreaseDecreaseInAccountsPayable,,,-37498.000,,,,,,,,-13106.000,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,,41026.000,,,,,,,,141000.000,,,
IncreaseDecreaseInAccruedLiabilities,,,-9402.000,,,,71936.000,,,,54673.000,,,,,,,
IncreaseDecreaseInCustomerDeposits,,,673946.000,,,,,,,,145513.000,,,,,,,
IncreaseDecreaseInInventories,,,460434.000,,,,,,,,-59436.000,,,,,,,
IncreaseDecreaseInOtherReceivables,,,-10000.000,,,,10060.000,,,,,,,,,,,
IncreaseDecreaseInPrepaidExpense,,,-1998.000,,,,,,,,,,,,,,,
InterestExpense,-48441.000,13009.000,23596.000,12856.000,17854.000,20593.000,24583.000,20129.000,21450.000,16923.000,-16431.000,4025.000,4817.000,,,,,
InterestPaid,,,4956.000,,,,7784.000,,,,7784.000,,,,0.000,,,
IssuanceOfStockAndWarrantsForServicesOrClaims,,,,,,,1999.000,,,,,,,,,,,
LitigationSettlementAmount,,,,,,,,,,,,,,,140000.000,,,
NetCashProvidedByUsedInFinancingActivities,,,-23533.000,,,,15592.000,,,,12061.000,,,,173900.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-23533.000,,,,15592.000,,,,12061.000,,,,173900.000,,,
NetCashProvidedByUsedInInvestingActivities,,,-42578.000,,,,,,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-42578.000,,,,,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,,,85256.000,,,,-4355.000,,,,10975.000,,,,-105678.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,85256.000,,,,-4355.000,,,,10975.000,,,,-105678.000,,,
NetIncomeLoss,-365530.000,-85428.000,-121991.000,53968.000,342246.000,-318678.000,-133814.000,-162342.000,-51843.000,-302894.000,-128098.000,-96537.000,76107.000,-513545.000,-246678.000,-57204.000,-314060.000,-282924.000
NetIncomeLossAttributableToNoncontrollingInterest,128791.000,0.000,,,,,,,,,,,,,,,,
NonoperatingIncomeExpense,-48441.000,0.000,0.000,0.000,-17854.000,-15793.000,-24583.000,-13903.000,-8497.000,-5755.000,-11814.000,-2429.000,83008.000,,,,,
OperatingExpenses,,,,,,,,,,,,,,,-246678.000,,,
OperatingIncomeLoss,-445880.000,-72419.000,-98395.000,66823.000,324392.000,-303628.000,-109231.000,-148439.000,-43346.000,-297139.000,-116284.000,-94108.000,-6901.000,879366.000,-246678.000,-57204.000,-314060.000,1458484.000
OtherNonoperatingGainsLosses,,-13009.000,-23596.000,-12856.000,,,,,,,,,,,,,,
OtherNonoperatingIncome,,,,,0.000,,,,,,,,,,,,,
OtherNonoperatingIncomeExpense,,,,,,,,6226.000,12952.000,,4617.000,1596.000,87825.000,,,,,
PaymentsForLeasingCostsCommissionsAndTenantImprovements,,,495.000,,,,,,,,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,42578.000,,,,,,,,,,,,,,,
ProceedsFromIssuanceOfCommonStock,,,,,,,,,,,,,,,172000.000,,,
ProceedsFromNotesPayable,,,0.000,,,,4797.000,,,,-5119.000,,,,,,,
ProceedsFromRelatedPartyDebt,,,,,,,,,,,,,,,1900.000,,,
ProceedsFromRepaymentsOfBankOverdrafts,,,-9428.000,,,,,,,,,,,,,,,
ProceedsFromRepaymentsOfRelatedPartyDebt,,,-11397.000,,,,11399.000,,,,17180.000,,,,,,,
ProceedsFromRepaymentsOfShortTermDebt,,,,,,,-604.000,,,,,,,,,,,
ProfitLoss,-494321.000,-85428.000,-121991.000,,,,,,,,,,,,,,,
RepaymentsOfRelatedPartyDebt,,,0.000,,,,,,,,,,,,,,,
RepaymentsOfShortTermDebt,,,2708.000,,,,,,,,,,,,,,,
Revenues,139681.000,57758.000,57288.000,705039.000,1347892.000,14438.000,57491.000,20236.000,161331.000,1.000,27645.000,,,,,,,
SalesRevenueNet,139681.000,57758.000,57288.000,705039.000,1347892.000,14438.000,57491.000,20236.000,161331.000,1.000,27645.000,,,,,,,
SellingAndMarketingExpense,23447.000,6378.000,1043.000,76727.000,68442.000,3882.000,4879.000,10542.000,9431.000,9451.000,2485.000,174.000,-1700.000,,,,,
StockIssued1,,,,,,,,,,,1999.000,,,,,,,
StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,,,,,,,,,,,,,,,11400000.000,,,
StockIssuedDuringPeriodSharesIssuedForServices,,,200000.000,,,,,,,,50000.000,,,,,,100000.000,
StockIssuedDuringPeriodValueIssuedForServices,,,7700.000,,,,1999.000,,,,500.000,,,,,,149310.000,
StockIssuedDuringPeriodValueOther,,,7700.000,,,,,,,,,,,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,55818598.000,55890117.000,55951655.000,56090117.000,56090117.000,-112076387.000,56090117.000,56090117.000,56090117.000,-112180234.000,56090117.000,56090117.000,56090117.000,,37639012.000,38244512.000,38587522.000,-76115778.000
WeightedAverageNumberOfSharesOutstandingBasic,55818598.000,55890117.000,55951655.000,56090117.000,56090117.000,-112076387.000,56090117.000,56090117.000,56090117.000,-112180234.000,56090117.000,56090117.000,56090117.000,,37639012.000,38244512.000,38587522.000,-76115778.000
