,2011-02-27,2011-05-29,2011-08-28,2011-11-30,2012-03-04,2012-06-03,2012-09-02,2012-11-30,2013-03-03,2013-06-02,2013-09-01,2013-11-30,2014-03-02,2014-06-01,2014-08-31
AccountsPayableCurrent,,,,25802000.000,,,,22809000.000,,,,37701000.000,,,25314000.000
AccountsReceivableGross,,,,202287000.000,,,,239706000.000,,,,236339000.000,,,
AccountsReceivableNet,,,,196419000.000,,,,234100000.000,,,,231194000.000,,,
AccountsReceivableNetCurrent,,,,196419000.000,,,,234100000.000,,,,231194000.000,,,194896000.000
AccruedIncomeTaxesCurrent,,,,18503000.000,,,,25275000.000,,,,15570000.000,,,
AccruedIncomeTaxesNoncurrent,,,,20772000.000,,,,26263000.000,,,,55733000.000,,,64225000.000
AccruedLiabilitiesCurrent,,,,129168000.000,,,,133596000.000,,,,125112000.000,,,103898000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,104027000.000,,,,111013000.000,,,,113133000.000,,,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,25000.000,,,,25000.000,,,,187000.000,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,-21057000.000,,,,-17436000.000,,,,-9235000.000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,-21032000.000,,,,-17411000.000,,,,-9048000.000,,,-24324000.000
AdditionalPaidInCapitalCommonStock,,,,856190000.000,,,,873337000.000,,,,925581000.000,,,938354000.000
AllowanceForDoubtfulAccountsReceivable,,,,5868000.000,,,,5606000.000,,,,5145000.000,,,
AllowanceForDoubtfulAccountsReceivableCurrent,,,,5868000.000,,,,5606000.000,,,,5145000.000,,,5051000.000
Assets,,,,1332938000.000,,,,1946908000.000,,,,2006113000.000,,,1957243000.000
AssetsCurrent,,,,566656000.000,,,,1056994000.000,,,,1051870000.000,,,824900000.000
AvailableForSaleSecurities,,,,17449000.000,,,,411486000.000,,,,330331000.000,,,192280000.000
AvailableForSaleSecuritiesAmortizedCost,,,,17424000.000,,,,411461000.000,,,,330143000.000,,,191637000.000
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,,,26000.000,,,,62000.000,,,,0.000,,,
AvailableforsaleSecuritiesGrossUnrealizedGain,,,,51000.000,,,,87000.000,,,,188000.000,,,
BuildingsAndImprovementsGross,,,,77938000.000,,,,77938000.000,,,,77938000.000,,,
CashAndCashEquivalentsAtCarryingValue,,,,308148000.000,,,,727309000.000,,,,662109000.000,,,354366000.000
CommonStockParOrStatedValuePerShare,,,,0.001,,,,0.001,,,,0.001,,,0.001
CommonStockSharesAuthorized,,,,1200000000.000,,,,1200000000.000,,,,1200000000.000,,,1200000000.000
CommonStockSharesIssued,,,,166287000.000,,,,163698000.000,,,,163169000.000,,,163896000.000
CommonStockSharesOutstanding,,,,166287000.000,,,,163698000.000,,,,163169000.000,,,163896000.000
CommonStockValue,,,,166000.000,,,,164000.000,,,,163000.000,,,163000.000
ContractualObligation,,,,,,,,739199000.000,,,,687540000.000,,,687579000.000
