,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccretionExpense,,,,,,,,,,,,,,,,,,,20000.000,24000.000,,,
AccretionOfDiscount,,,,,,,,,,,,,,,,,,,61000.000,,,,
AdvertisingExpense,,,,656385.000,699148.000,,837847.000,1052949.000,1276099.000,1294105.000,1060969.000,1604443.000,1835000.000,997588.000,954000.000,316000.000,22000.000,32000.000,18000.000,12000.000,11000.000,9000.000,11000.000
AllocatedShareBasedCompensationExpense,,,,,,,,,,,,,,,,1538.000,1488.000,,,,5000.000,,4000.000
AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease,,,,,,,,,,,,,,,0.000,,,,,,,,
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,,,,,,,,,-8835.000,,,,,,,,,,,,
AmortizationOfDebtDiscountPremium,,,395470.000,,,,0.000,,,,873872.000,,,,0.000,,,,,,,,
AmortizationOfFinancingCosts,,,2858.000,,,,0.000,,,,8645.000,,,,0.000,,,,85850.000,,,,990063.000
AmortizationOfIntangibleAssets,,,,,,,,,116593.000,,121509.000,132033.000,146368.000,211467.000,161642.000,138321.000,129941.000,,,,357000.000,,194000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,21129293.000,17431200.000,,22311815.000,,24356834.000,,1473880.000,,,,2371124.000,,,,2397151.000,,2269436.000,,2130435.000
BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,,,,,,,,,,,,,,,,,,,-2902961.000,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,-5732277.000,,,,,,,,,,,,,,,-883104.000,,,,
BusinessAcquisitionsProFormaRevenue,,,,591432.000,,,,,,,,,,,,,,,22444162.000,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,2182977.000,,,,-662152.000,,,,1092348.000,,,,-1284927.000,,,,-523797.000,,,,-811996.000
ComprehensiveIncomeNetOfTax,-960688.000,-2135160.000,-1114800.000,-5690610.000,-392105.000,-1651856.000,-1562651.000,-1131108.000,,,,,,,,,,,,,,,
CostOfGoodsAndServicesSold,,,,,,,,,,,,,,,,,,,21547751.000,24021565.000,22750001.000,20515595.000,24903258.000
CostOfGoodsSold,877937.000,291032.000,27675.000,47592.000,68804.000,77965.000,81606.000,89558.000,133244.000,111825.000,126544.000,138095.000,164419.000,1492117.000,1442519.000,2156542.000,2165410.000,,,,,,
DebtConversionConvertedInstrumentAmount1,,,,,,,,,,,15.000,,,,,,,,402500.000,,,,
DebtConversionOriginalDebtAmount1,,,,,,,,,,,0.000,,,,,,,,,,,,
DebtRelatedCommitmentFeesAndDebtIssuanceCosts,,,,,,,,,,,,,,,,,,,270000.000,,,,
DepreciationDepletionAndAmortization,,,7318.000,,,,69075.000,,,,122554.000,,,,163035.000,,,,511294.000,,,,356132.000
DerivativeGainLossOnDerivativeNet,,16472.000,14329.000,0.000,0.000,13915.000,0.000,0.000,16916.000,132482.000,-681122.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-725000.000,355000.000,,,
DividendsPreferredStock,0.000,0.000,0.000,0.000,,,,,0.000,,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,0.000,-0.010,0.000,-0.430,-0.010,0.100,-0.030,-0.020,-0.010,-0.890,-0.550,-0.220,-0.260,-0.120,-0.200,-0.070,-0.040,0.040,-0.110,-0.000,-0.020,-0.060,-0.040
EffectOfExchangeRateOnCashAndCashEquivalents,,,0.000,,,,,,,,,,,,,,,,,,,,
EmbeddedDerivativeGainLossOnEmbeddedDerivativeNet,541696.000,147629.000,,,,,47876.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,-725000.000,,,,
FairValueAssumptionsExpectedDividendRate,,,,,,,,,,,,,,,,,,,0.000,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInEarnings,,,,,,,,,,,,,,,,,,,725000.000,,,,
ForeignCurrencyTransactionGainLossBeforeTax,-653.000,-37.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,175666.000,3113.000,11424.000,0.000,0.000,4772.000,0.000,183937.000,9038.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,
GeneralAndAdministrativeExpense,1435824.000,1163425.000,670152.000,1376290.000,2329799.000,1768819.000,1704319.000,1187288.000,900806.000,687657.000,1077299.000,1237103.000,1134166.000,1211142.000,1164083.000,750220.000,773439.000,3656797.000,1535835.000,1453403.000,1605398.000,1391637.000,1586863.000
GoodwillAcquiredDuringPeriod,,,,,,,,,,,,,,,,,,,42198.000,,,,
GrossProfit,911111.000,-355536.000,216932.000,543840.000,660493.000,,,,,,,,,,,,,,904397.000,1807622.000,2067306.000,1042498.000,2728241.000
