,2013-11-30,2014-05-31,2014-08-30,2014-11-29,2015-02-28,2015-05-30,2015-08-29,2015-11-28,2016-02-27,2016-07-02,2016-10-01,2016-12-31,2017-04-01
AllocatedShareBasedCompensationExpense,14641000.000,,,,,,,,,,,,
AmortizationOfFinancingCosts,,489000.000,,,,489000.000,,,,480000.000,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,319190.000,764192.000,795124.000,843581.000,-1572157.000,1269923.000,2647169.000,2907034.000,-3948226.000,2867719.000,,,
CapitalExpendituresIncurredButNotYetPaid,,,,,,2194000.000,,,,751000.000,,,
CapitalLeaseObligationsIncurred,,,,,,231000.000,,,,147000.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,,,,-620000.000,,,
ComprehensiveIncomeNetOfTax,-8202000.000,-6373000.000,3523000.000,251000.000,5247000.000,-6046000.000,3316000.000,-3772000.000,10151000.000,-5396000.000,3504000.000,257000.000,9781000.000
CostOfGoodsSoldExcludingDepreciationDepletionAndAmortization,75359000.000,72586000.000,79581000.000,77063000.000,94570000.000,70505000.000,81657000.000,81137000.000,97780000.000,72753000.000,86705000.000,90678000.000,93724000.000
DeferredIncomeTaxExpenseBenefit,,-2106000.000,,,,-3043000.000,,,,-922000.000,,,
DefinedBenefitPlanNetPeriodicBenefitCost,,,388000.000,,,,,,,,,,
DefinedContributionPlanCostRecognized,,926000.000,,893000.000,,,,,,690000.000,465000.000,770000.000,-1867000.000
DepreciationDepletionAndAmortization,7569000.000,7256000.000,7567000.000,7776000.000,8412000.000,8037000.000,8378000.000,8834000.000,8981000.000,9347000.000,9478000.000,9236000.000,9063000.000
EarningsPerShareBasic,,,0.140,0.130,,,,,,,,,
EarningsPerShareBasicAndDiluted,-1.390,-0.070,,,,-0.110,0.060,-0.040,0.200,-0.040,0.070,0.110,0.170
EarningsPerShareDiluted,,,0.140,0.130,,,,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,-58000.000,,,,260000.000,,,,-103000.000,,,
EffectiveIncomeTaxRateContinuingOperations,,0.350,0.175,0.342,,0.367,0.401,0.286,,0.333,0.416,0.397,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,15000.000,,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,15000.000,,,,,,,,,,,
ForeignCurrencyTransactionGainLossBeforeTax,,,,,,,,,,,306000.000,-53000.000,
GainLossOnDispositionOfAssets1,,,,,,,,,,-3000.000,,,
GainLossOnSaleOfPropertyPlantEquipment,4000.000,-100000.000,-114000.000,3879000.000,-178000.000,-5000.000,-7000.000,-52000.000,3000.000,3000.000,-44000.000,,
GainsLossesOnExtinguishmentOfDebt,-128000.000,,,,,,,,,,,,
GoodwillAndIntangibleAssetImpairment,,,,,,,,,,,,0.000,
GrossProfit,112939000.000,100852000.000,113666000.000,113859000.000,129689000.000,99328000.000,113825000.000,116104000.000,134294000.000,104695000.000,118355000.000,125702000.000,127318000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,-3082000.000,6067000.000,8442000.000,12928000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-6781000.000,-5507000.000,8431000.000,9491000.000,17451000.000,-8207000.000,4462000.000,-2425000.000,14221000.000,,,,
IncomeTaxExpenseBenefit,2705000.000,-1928000.000,1476000.000,3242000.000,4403000.000,-3008000.000,1789000.000,-694000.000,4822000.000,-1025000.000,2526000.000,3350000.000,4551000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-5489000.000,,,,4415000.000,,,,18497000.000,,,
IncreaseDecreaseInAccountsReceivable,,-2558000.000,,,,-2023000.000,,,,2836000.000,,,
IncreaseDecreaseInAccruedIncomeTaxesPayable,,-3340000.000,,,,-1524000.000,,,,175000.000,,,
IncreaseDecreaseInInventories,,9728000.000,,,,19811000.000,,,,19283000.000,,,
