,2012-03-31,2014-03-31,2014-06-30,2014-09-30
AdjustmentForAmortization,4263.000,4265.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-51796.000,-32255.000,,
CostOfRevenue,418.000,8193.000,2541.000,20263.000
DepreciationAndAmortization,,4265.000,,
EarningsPerShareBasic,-0.000,0.000,0.000,0.000
GainsLossesOnExtinguishmentOfDebt,,-31593.000,-307920.000,-76958.000
GrossProfit,-298.000,83456.000,146835.000,118555.000
IncreaseDecreaseInAccountsPayable,,-18595.000,,
IncreaseDecreaseInAccountsReceivable,0.000,-44468.000,,
IncreaseDecreaseInAccruedLiabilities,54000.000,54000.000,,
IncreaseDecreaseInInventories,0.000,,,
IncreaseDecreaseInOtherAccruedLiabilities,-1850.000,,,
InterestExpense,,669942.000,2240272.000,347672.000
NetCashProvidedByUsedInFinancingActivities,-7050.000,206797.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-7050.000,206797.000,,
NetCashProvidedByUsedInInvestingActivities,,-6195.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-6195.000,,
NetCashProvidedByUsedInOperatingActivities,-44746.000,-232857.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-44746.000,-232857.000,,
NetIncomeLoss,-104368.000,-619181.000,-4162902.000,-603034.000
OperatingIncomeLoss,,-214015.000,-396764.000,-563838.000
ProceedsFromConvertibleDebt,,221110.000,,
ProceedsFromIssuanceOfCommonStock,17000.000,,,
ProceedsFromRelatedPartyDebt,,-14313.000,,
ProfitLoss,-104368.000,-619181.000,,
PropertyPlantAndEquipmentAdditions,,-6195.000,,
RelatedPartyCosts,,54000.000,,
RepaymentsOfRelatedPartyDebt,24050.000,,,
Revenues,120.000,91649.000,149376.000,138818.000
SalesRevenueNet,120.000,91649.000,149376.000,138818.000
SellingGeneralAndAdministrativeExpense,104070.000,297471.000,543599.000,682393.000
ShareBasedCompensation,3209.000,,,
WeightedAverageNumberOfSharesOutstandingBasic,,2280810614.000,2704851243.000,29420542236.000
