,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,583095.000,1650540.000,1851400.000,1800063.000,910770.000,1291282.000,1435661.000,1996580.000,2018419.000,1851969.000,1931608.000,1918041.000,2648932.000,1916297.000,1882926.000,845868.000,785233.000,1089127.000,1621168.000,1887681.000,1560001.000,2485839.000,2154458.000
AccountsPayableRelatedPartiesCurrent,,,,,,,,,,1210000.000,1910816.000,1940816.000,1971347.000,2566735.000,2566735.000,2566735.000,2566735.000,397480.000,205624.000,246000.000,449952.000,,
AccountsPayableTradeCurrent,,,,,,,3308929.000,2040526.000,1549608.000,1668931.000,1044464.000,608582.000,500162.000,1820905.000,2274640.000,2138331.000,2078293.000,1829302.000,1995020.000,2066952.000,5114675.000,6357797.000,5447947.000
AccountsReceivableNetCurrent,233293.000,253095.000,106854.000,191490.000,153062.000,190421.000,252402.000,189571.000,132336.000,,,,,,,,,,,,,,
AccruedAdvertisingCurrent,,,,,,,,,,,,,,,201883.000,112866.000,70227.000,35973.000,230420.000,571578.000,2897835.000,4620317.000,9180575.000
AccruedCappingClosurePostClosureAndEnvironmentalCosts,,,,,487500.000,,,,,,,,,,,,,,,,,,
AccruedLiabilitiesAndOtherLiabilities,,,,,,1021559.000,,,,,,,,,,,,,,,,,
AccruedLiabilitiesCurrentAndNoncurrent,,,,,,909229.000,,,,,,,,,,,,,,,,,
AccruedSalesCommissionCurrent,1238723.000,1128355.000,1380690.000,1887287.000,2764002.000,12763350.000,,,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,188474.000,213612.000,212888.000,237871.000,286829.000,337940.000,388161.000,437788.000,487135.000,533414.000,580756.000,632648.000,684409.000,347565.000,337584.000,475642.000,549878.000,980808.000,771067.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,292906.000,-85923.000,-9374.000,-71195.000,49343.000,76386.000,-637742.000,71428.000,-297975.000,-855179.000,-1042037.000,-1023462.000,-978875.000,-353051.000,98564.000,1332601.000,796279.000,1154686.000,814721.000,1331261.000,936705.000,1612812.000,1178091.000
AdditionalPaidInCapital,7294087.000,11953103.000,12797698.000,14197357.000,15784110.000,20970205.000,21280788.000,23638612.000,23742604.000,24649646.000,24946569.000,25050568.000,25124350.000,25115841.000,25146111.000,25153083.000,27488664.000,45013898.000,45647483.000,46759748.000,51120663.000,67776371.000,71493723.000
Assets,9149840.000,16742908.000,15447919.000,17354670.000,19250682.000,22416726.000,10527046.000,8150154.000,7113437.000,5495493.000,5604375.000,4836864.000,4834848.000,9558001.000,15415678.000,11935093.000,12174421.000,9879619.000,9008706.000,9622393.000,21684811.000,65841967.000,68620810.000
AssetsCurrent,2297423.000,11392698.000,10118438.000,13837450.000,15579498.000,16883662.000,4695285.000,2624249.000,1626999.000,2550626.000,2756163.000,3246392.000,3293534.000,8070248.000,13957721.000,10499679.000,10838796.000,7974142.000,6989622.000,7479625.000,19600024.000,29612741.000,31994164.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,719372.000,,,,,,,,,,,,,,,,
BusinessAcquisitionPercentageOfVotingInterestsAcquired,,,,,,,,,,,,,,,,,,,,,,0.200,0.200
CapitalizedComputerSoftwareGross,,,,,,706734.000,1018960.000,686381.000,690564.000,690565.000,690565.000,690565.000,690565.000,690565.000,690565.000,,690565.000,,,,,,
CashAndCashEquivalentsAtCarryingValue,930252.000,1503234.000,785590.000,1994756.000,6815912.000,8588461.000,669274.000,300974.000,214290.000,131422.000,2286.000,230254.000,42364.000,2111812.000,2792411.000,465984.000,2433474.000,2134673.000,953826.000,1286406.000,9596394.000,11919351.000,11509309.000
ClassOfWarrantOrRightOutstanding,,,,,,,,,,,,,,,,,,,,,300000.000,,
CommonStockCapitalSharesReservedForFutureIssuance,,,,,,,,,,,,,,,,,150000000.000,,,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.000,0.001
CommonStockSharesAuthorized,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,700000000.000,700000000.000,700000000.000,14000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,336688946.000,359802057.000,361402057.000,366246522.000,371864326.000,,409300000.000,423000000.000,423000000.000,430600000.000,432200000.000,432200000.000,432200000.000,432200000.000,432200000.000,432200000.000,452000000.000,11900000.000,11900000.000,12200000.000,13400000.000,17500000.000,18000000.000
CommonStockSharesOutstanding,336688946.000,359802057.000,361402057.000,366246522.000,371864326.000,408513205.000,409300000.000,423000000.000,423000000.000,430600000.000,432200000.000,432200000.000,432200000.000,432200000.000,432200000.000,432200000.000,452000000.000,11900000.000,11900000.000,12200000.000,13400000.000,17500000.000,18000000.000
CommonStockSharesSubscriptions,,,,,,,,,,,,,,,,,,,,1670000.000,,,
CommonStockValue,336689.000,359802.000,361402.000,366246.000,371864.000,408513.000,409320.000,422959.000,422959.000,430593.000,432204.000,432204.000,432204.000,432204.000,432204.000,432204.000,452371.000,11908.000,11978.000,12235.000,13386.000,17533.000,18040.000
ConvertibleNotesPayable,,,,,,,,,,,,,,,,,,,,,5000000.000,,
CustomerDepositsCurrent,,,,,1591928.000,2828174.000,2764209.000,2294402.000,1484013.000,618296.000,729498.000,905828.000,988591.000,1054190.000,998998.000,1311791.000,1608355.000,2036766.000,2490071.000,2578845.000,2829220.000,2466831.000,2510220.000
DebtInstrumentInterestRateEffectivePercentage,,,,,,,,,,,,,,,,,,0.020,0.020,0.020,0.020,,
DeferredCostsCurrent,,,,,,,,,542915.000,1087564.000,1322195.000,1299999.000,1378024.000,3387549.000,7446652.000,6734629.000,6053807.000,2830090.000,2476843.000,2977574.000,7431751.000,13402431.000,17391085.000
DeferredIncomeTaxLiabilities,,,,,,20025.000,,,,16340.000,,,,11968.000,,,,,,,4710.000,,
DeferredRevenue,,,,,,13121844.000,,,,,,,,,,,1900000.000,,,,,,
DeferredRevenueCurrent,1467993.000,13830389.000,14037163.000,17266828.000,18130555.000,23128125.000,11404372.000,9128489.000,2957302.000,2995181.000,,,,,15112649.000,13515613.000,12611143.000,6451146.000,6336762.000,5510366.000,13111338.000,21285227.000,21670004.000
