,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-12-31,2017-03-31
AmortizationOfDebtDiscountPremium,,,,,,,,2289.000,2290.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-3600.000,,,,0.000,,,
CostOfRevenue,262.000,125.000,40.000,0.000,0.000,0.000,0.000,,
CurrentFederalStateAndLocalTaxExpenseBenefit,,,,,,0.000,,,
CurrentIncomeTaxExpenseBenefit,0.000,0.000,,,,0.000,,,
DeferredFederalIncomeTaxExpenseBenefit,0.000,,,,,0.000,,,
DeferredIncomeTaxExpenseBenefit,0.000,0.000,,,,0.000,,,
EarningsPerShareBasicAndDiluted,0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000
EmployeeBenefitsAndShareBasedCompensation,,0.000,,,,,,,
GeneralAndAdministrativeExpense,15431.000,13291.000,13979.000,8297.000,13586.000,0.000,10000.000,121505.000,152154.000
GrossProfit,29307.000,14800.000,3003.000,0.000,1.000,0.000,0.000,75000.000,75000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,8541.000,-2491.000,,,,0.000,,,
IncomeTaxExpenseBenefit,0.000,0.000,,,,0.000,,,
IncomeTaxesPaid,,0.000,,,,0.000,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,1391.000,,,,0.000,,6556.000,
IncreaseDecreaseInDueFromAffiliatesCurrent,,,,,,,,75000.000,
IncreaseDecreaseInDueFromRelatedParties,,,,,,0.000,,,
IncreaseDecreaseInDueToAffiliatesCurrent,,,,,,,,118699.000,
IncreaseDecreaseInOtherCurrentLiabilities,,-2500.000,,,,,,,
InterestExpenseTrustPreferredSecurities,,,,,,,,3750.000,3750.000
InterestPaid,,0.000,,,,0.000,,,
NetCashProvidedByUsedInFinancingActivities,,0.000,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,0.000,,,,,,,
NetCashProvidedByUsedInOperatingActivities,,-3600.000,,,,0.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-3600.000,,,,0.000,,,
NetIncomeLoss,8541.000,-2491.000,-20803.000,-8297.000,-13585.000,0.000,-10000.000,-52544.000,-83194.000
OperatingExpenses,20766.000,17292.000,23806.000,8297.000,13585.000,0.000,10000.000,,152154.000
OperatingIncomeLoss,8541.000,-2491.000,-20803.000,-8297.000,-13585.000,0.000,-10000.000,-46505.000,-77154.000
ProceedsFromIssuanceOfCommonStock,,0.000,,,,,,,
ProceedsFromSaleOfEquityMethodInvestments,,,,,,,,1000000.000,
ProfitLoss,,,,,,0.000,,,
ReimbursementRevenue,12819.000,,543.000,0.000,,,0.000,,
RelatedPartyCosts,,,,,,,,5925000.000,5925000.000
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,,15000.000,,,,,,,
RevenueFromRelatedParties,,,,,,,,6000000.000,6000000.000
Revenues,42069.000,25925.000,6543.000,0.000,1.000,0.000,0.000,,
SalesRevenueNet,42069.000,25925.000,6543.000,0.000,1.000,0.000,0.000,,
SalesRevenueServicesNet,29250.000,25925.000,6000.000,0.000,544.000,0.000,0.000,,6000000.000
ShareBasedCompensation,,0.000,0.000,0.000,0.000,,,,
ValuationAllowanceDeferredTaxAssetChangeInAmount,1281.000,374.000,,,,0.000,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,4230000.000,4230000.000,4230000.000,4230000.000,153845100.000,166535100.000,165535100.000,254641100.000,254641100.000
