,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AdjustmentForAmortization,127300000.000,,,,155200000.000,,,,186700000.000,,,,190300000.000,,,,189200000.000,,,,199700000.000,,,,193400000.000,
AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,,,,,,,,,-4000000.000,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebtSubsequentAdjustments,,,,,,,,,,,,,,,,,,,,,,,,,-1100000.000,
AmortizationOfIntangibleAssets,56800000.000,56600000.000,62100000.000,63900000.000,58700000.000,59500000.000,63900000.000,63000000.000,67900000.000,67700000.000,66600000.000,43100000.000,54000000.000,54000000.000,60300000.000,52600000.000,52500000.000,60100000.000,60000000.000,57500000.000,50400000.000,47900000.000,47400000.000,46600000.000,41800000.000,40600000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,12000000.000,8100000.000,10900000.000,-20500000.000,10100000.000,10800000.000,14800000.000,-23100000.000,11500000.000,5300000.000,100000.000,-12700000.000,600000.000,1400000.000,100000.000,-1600000.000,400000.000,1200000.000,1000000.000,-1600000.000,1700000.000,2600000.000,2500000.000,-4600000.000,400000.000,1000000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,58400000.000,,,,,,,,,,,,-30600000.000,,,,-39500000.000,,,,106400000.000,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,74000000.000,,,,,,,,,,,,-131200000.000,,,,-96000000.000,,,,162800000.000,,,,,
AvailableForSaleSecuritiesGrossRealizedGains,97200000.000,,,,156200000.000,,,,107000000.000,71900000.000,160400000.000,158800000.000,82900000.000,106200000.000,32400000.000,96300000.000,133700000.000,148400000.000,49500000.000,177500000.000,121400000.000,108400000.000,113400000.000,79400000.000,59800000.000,50900000.000
AvailableForSaleSecuritiesGrossRealizedLosses,40100000.000,,,,49300000.000,,,,90200000.000,-17700000.000,65000000.000,88700000.000,41200000.000,-40400000.000,-6700000.000,146700000.000,-87200000.000,-56100000.000,-61400000.000,556300000.000,92700000.000,31000000.000,13000000.000,65800000.000,30200000.000,20100000.000
AvailableForSaleSecuritiesGrossUnrealizedGains,,,,,,,,,,,,,1156500000.000,,,,1198800000.000,,,,908000000.000,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,,,,,,,,,,,161800000.000,,,,135500000.000,,,,,,,,,
AvailableForSaleSecuritiesIncomeTaxExpenseOnChangeInUnrealizedHoldingGainOrLoss,,,,,,,,,2400000.000,-207800000.000,-9400000.000,-8800000.000,67500000.000,61000000.000,-85100000.000,-25100000.000,33400000.000,-109300000.000,-94500000.000,-10000000.000,-85400000.000,-153500000.000,-36700000.000,394500000.000,-46300000.000,-67000000.000
AvailableforsaleSecuritiesGrossUnrealizedGainLoss1,,,,,,,,,,,,,994700000.000,,,,1063300000.000,,,,,,,,,
BenefitsLossesAndExpenses,13467200000.000,14093300000.000,14352800000.000,14839500000.000,14105400000.000,14358700000.000,14327400000.000,15054700000.000,16400100000.000,16585100000.000,17087000000.000,17111100000.000,16729300000.000,17209700000.000,17469800000.000,18097200000.000,17482400000.000,18457500000.000,18772000000.000,19813600000.000,18976500000.000,20007900000.000,20267400000.000,21055800000.000,21010900000.000,21201500000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,613200000.000,,,,77500000.000,,,,-819300000.000,,,,384300000.000,,,,-754700000.000,,,,-437500000.000,,,,2697100000.000,
CommonStockDividendsPerShareCashPaid,,,,,,,,,,,,,,,,,0.625,0.625,0.625,,0.650,0.650,0.650,,0.650,0.650
CommonStockDividendsPerShareDeclared,0.250,0.250,0.250,0.250,0.287,0.287,0.287,0.289,0.375,0.375,0.375,0.375,0.438,0.438,0.438,0.436,0.625,0.625,0.625,0.625,0.650,0.650,0.650,0.650,0.650,0.650
ComprehensiveIncomeNetOfTax,953400000.000,793900000.000,471700000.000,318000000.000,976600000.000,620800000.000,865900000.000,376400000.000,928600000.000,430400000.000,678600000.000,336200000.000,845200000.000,878700000.000,489000000.000,345500000.000,931200000.000,621600000.000,438200000.000,104500000.000,613200000.000,798100000.000,618800000.000,464400000.000,1116000000.000,882200000.000
CostOfGoodsSold,,,,,,6700000.000,66500000.000,,65000000.000,62400000.000,68600000.000,,,,,,,,,,,,,,,
DebtInstrumentConvertibleConversionRatio,,,,,,,,,13.251,,,,,,,,,,,,,,,,,
DebtInstrumentConvertibleConversionRatio1,,,,,,,,,,,,,13.313,,,,13.395,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,44700000.000,,,,59900000.000,,,,9100000.000,,,,85200000.000,,,,70600000.000,,,,73300000.000,,,,-157200000.000,
DefinedBenefitPlanContributionsByEmployer,0.000,,,,0.000,,,,0.000,,,,,,,,,,,,,,300000.000,,,
Depreciation,23400000.000,,,,23500000.000,,,,25300000.000,,,,26400000.000,,,,25100000.000,,,,25600000.000,,,,27300000.000,
DerivativeGainLossOnDerivativeNet,,,,,,,,,,,,,,,,,,,,,-153800000.000,-64900000.000,-3900000.000,15100000.000,-10300000.000,-14600000.000
DerivativeLossOnDerivative,,,,,,,,,,,,,-19400000.000,,,,,,,,,,,,,
DiscontinuedOperationProvisionForLossGainOnDisposalBeforeIncomeTax,,,,,,,,,,,,,-3200000.000,,,,0.000,,,,,,,,,
DividendsCommonStock,93800000.000,,,,96700000.000,,,,114200000.000,,,,124900000.000,,,,167900000.000,,,,171100000.000,,,,172600000.000,
EarlyRepaymentOfSeniorDebt,,,,,,,,,,,,,24200000.000,21200000.000,,,16200000.000,,,,,,,,,
EarningsPerShareBasic,2.480,1.920,1.920,1.030,2.560,1.960,2.170,1.570,2.920,2.670,2.210,0.540,2.460,2.640,2.310,1.900,3.250,3.270,2.510,0.700,2.690,2.970,2.350,1.380,3.820,3.230
EarningsPerShareDiluted,2.440,1.890,1.900,1.020,2.530,1.940,2.150,1.560,2.890,2.640,2.160,0.510,2.400,2.560,2.220,1.810,3.090,3.130,2.430,0.730,2.630,2.910,2.300,1.370,3.730,3.160
EffectOfExchangeRateOnCashAndCashEquivalents,2000000.000,,,,1300000.000,,,,-1500000.000,,,,-300000.000,,,,-5500000.000,,,,2400000.000,,,,1600000.000,
EffectiveIncomeTaxRateContinuingOperations,,,0.346,,,0.386,0.326,,0.312,0.339,0.257,-0.594,0.388,0.421,0.420,-0.815,0.449,0.449,0.420,-0.871,0.464,0.461,0.456,-0.923,0.333,0.291
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.304,,,,,,,,,,,,,,,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,22600000.000,,,,19300000.000,,,,4200000.000,,,,22400000.000,,,,68800000.000,,,,39800000.000,,,,0.000,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,22600000.000,,,,19300000.000,,,,4200000.000,,,,22400000.000,,,,68800000.000,,,,39800000.000,,,,0.000,
FairValueAssetsMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,,,,,,,,,,,,,-4300000.000,-4000000.000,-3500000.000,0.000,-1400000.000,-200000.000,0.000,-400000.000,-1700000.000,-100000.000,-100000.000,-100000.000,-1700000.000,-900000.000
FairValueAssetsMeasuredOnRecurringBasisChangeInUnrealizedGainLossIncludedInInvestmentIncome,,-2600000.000,-1200000.000,,-400000.000,0.000,-200000.000,-100000.000,-1400000.000,-3200000.000,-15000000.000,-17800000.000,,,,,,,,,,,,,,
FairValueInputsComparabilityAdjustments,,,,,,,,,,,0.000,,,,,,,,,,,,,,,
FairValueLevel1ToLevel2TransfersAmount,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
FairValueLevel2ToLevel1TransfersAmount,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings,-600000.000,2600000.000,-600000.000,-4900000.000,14900000.000,400000.000,-400000.000,,,,,,,,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings1,,,,,,,,,900000.000,-3000000.000,-15000000.000,-18100000.000,18000000.000,7200000.000,-33000000.000,2700000.000,-800000.000,-1200000.000,300000.000,1800000.000,1300000.000,-700000.000,-500000.000,-2300000.000,-1000000.000,400000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncome,3800000.000,-3100000.000,-8500000.000,9100000.000,-20200000.000,-4800000.000,-2800000.000,,,,,,,,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncomeLoss,,,,,,,,,-1300000.000,5700000.000,2600000.000,-400000.000,-2500000.000,16800000.000,-300000.000,-2300000.000,2700000.000,1000000.000,3700000.000,-3000000.000,-3500000.000,1500000.000,-600000.000,-400000.000,3300000.000,600000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetIssues,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPurchases,,12600000.000,12100000.000,,18800000.000,31100000.000,19800000.000,19400000.000,10000000.000,36400000.000,10100000.000,14600000.000,18300000.000,19900000.000,23200000.000,33500000.000,39900000.000,65200000.000,20100000.000,88900000.000,102200000.000,62000000.000,69700000.000,163200000.000,81800000.000,68000000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSales,,-12300000.000,-14700000.000,,-1900000.000,-10200000.000,-21200000.000,-13600000.000,-2500000.000,0.000,1600000.000,12800000.000,2800000.000,13000000.000,22500000.000,23900000.000,5400000.000,5300000.000,15300000.000,1500000.000,3400000.000,8900000.000,11400000.000,118400000.000,34500000.000,12000000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSettlements,,-122000000.000,-6100000.000,,-52200000.000,-7400000.000,-6000000.000,-3700000.000,-10900000.000,-1300000.000,5200000.000,31200000.000,5700000.000,-1600000.000,-3200000.000,14200000.000,13800000.000,11700000.000,2800000.000,24900000.000,10900000.000,10300000.000,6600000.000,30300000.000,20200000.000,16800000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersIntoLevel3,,47100000.000,17400000.000,,1400000.000,18100000.000,10000000.000,1200000.000,13100000.000,0.000,25400000.000,0.000,0.000,24200000.000,600000.000,0.000,700000.000,4200000.000,0.000,13000000.000,11900000.000,9800000.000,13800000.000,9200000.000,9500000.000,6300000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersOutOfLevel3,,,,,105700000.000,0.000,5800000.000,-228300000.000,2900000.000,6700000.000,12900000.000,0.000,6500000.000,3100000.000,11100000.000,3400000.000,3000000.000,19700000.000,14000000.000,6100000.000,1900000.000,57200000.000,0.000,11700000.000,31200000.000,15200000.000
GainLossOnSaleOfPropertyPlantEquipment,-600000.000,,,,-300000.000,,,,-700000.000,,,,-100000.000,,,,-900000.000,,,,-200000.000,,,,-700000.000,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,-145300000.000,,-3000000.000,-3000000.000,-74800000.000,-300000.000,-3400000.000,2900000.000,2300000.000,7500000.000,0.000,0.000,0.000,0.000,,
GeneralAndAdministrativeExpense,1679500000.000,1605500000.000,1716600000.000,1817200000.000,1772400000.000,1688800000.000,1688400000.000,2001800000.000,1979100000.000,2093800000.000,2202700000.000,2150400000.000,2490700000.000,2497100000.000,2594000000.000,2676500000.000,2777000000.000,2677000000.000,2721300000.000,2918400000.000,2850300000.000,2617600000.000,2786100000.000,2912400000.000,2842700000.000,2708300000.000
ImpairmentOfInvestments,,,0.000,,,,,,,,,,,,,,,,,,,,,,,
ImpairmentOfLongLivedAssetsHeldForUse,,,,,,,,,,,,,2100000.000,,,,0.000,,,,,,,,,
IncomeLossFromContinuingOperations,,,,,,,,,,,,,691400000.000,731100000.000,630900000.000,506700000.000,865200000.000,859100000.000,654800000.000,180900000.000,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,1130100000.000,1263700000.000,1087200000.000,887100000.000,1569100000.000,1558000000.000,1129600000.000,374300000.000,1312000000.000,1448300000.000,1136500000.000,658600000.000,1515000000.000,1205700000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1427100000.000,1007400000.000,1045200000.000,478200000.000,1309800000.000,1048600000.000,1025700000.000,481400000.000,1287100000.000,1210500000.000,882800000.000,459800000.000,1130100000.000,1263700000.000,1087200000.000,887100000.000,1569100000.000,1558000000.000,1129600000.000,374300000.000,1312000000.000,1448300000.000,1136500000.000,658600000.000,1515000000.000,1205700000.000
IncomeLossFromContinuingOperationsPerBasicShare,,,,,,,,,,,,,2.430,2.640,2.310,1.900,3.250,3.270,2.510,0.700,,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,,,,,,,,,2.370,2.560,2.220,1.810,3.090,3.130,2.430,0.730,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,,,,,,9600000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,,,,,,,,,,,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,,,,,,,,,,,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,
IncomeTaxExpenseBenefit,500500000.000,305800000.000,362000000.000,142900000.000,453300000.000,405000000.000,334500000.000,17200000.000,401900000.000,410400000.000,226600000.000,167000000.000,438700000.000,532600000.000,456300000.000,380400000.000,703900000.000,698900000.000,474800000.000,193400000.000,609000000.000,667700000.000,518700000.000,290200000.000,505100000.000,350400000.000
IncomeTaxReconciliationNondeductibleExpense,,,,,,,,,,,,,80500000.000,,,,113300000.000,,,,,,,,,
IncomeTaxReconciliationOtherAdjustments,,,,,,,,,,,,,,,,,,,,,,,,,20000000.000,5200000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-344100000.000,,,,-388300000.000,,,,-224000000.000,,,,-137300000.000,,,,-189400000.000,,,,10800000.000,,,,-223800000.000,
IncreaseDecreaseInAccruedIncomeTaxesPayable,443800000.000,,,,391000000.000,,,,435600000.000,,,,356000000.000,,,,635000000.000,,,,507700000.000,,,,,
IncreaseDecreaseInCollateralHeldUnderSecuritiesLending,,,,,-156600000.000,,,,12900000.000,,,,354900000.000,,,,508000000.000,,,,154400000.000,,,,154500000.000,
IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,659700000.000,
IncreaseDecreaseInInsuranceLiabilities,309400000.000,,,,-79000000.000,,,,70900000.000,,,,545600000.000,,,,382900000.000,,,,-27200000.000,,,,130100000.000,
IncreaseDecreaseInOtherOperatingAssets,160300000.000,,,,74300000.000,,,,58600000.000,,,,69500000.000,,,,191000000.000,,,,117400000.000,,,,205200000.000,
IncreaseDecreaseInOtherOperatingCapitalNet,11000000.000,,,,10000000.000,,,,10500000.000,,,,24500000.000,,,,-3200000.000,,,,700000.000,,,,46200000.000,
IncreaseDecreaseInOtherOperatingLiabilities,-67300000.000,,,,-2900000.000,,,,35100000.000,,,,107400000.000,,,,401100000.000,,,,39500000.000,,,,40300000.000,
IncreaseDecreaseInOutstandingChecksFinancingActivities,27900000.000,,,,23200000.000,,,,30400000.000,,,,75000000.000,,,,-105900000.000,,,,-113200000.000,,,,-168900000.000,
IncreaseDecreaseInReceivables,268200000.000,,,,302300000.000,,,,397700000.000,,,,616000000.000,,,,429600000.000,,,,170500000.000,,,,-276300000.000,
IncreaseDecreaseInSecuritiesLendingPayable,,,,,-156600000.000,,,,12800000.000,,,,354900000.000,,,,508100000.000,,,,154400000.000,,,,154500000.000,
IncreaseDecreaseInTradingSecurities,11900000.000,,,,21300000.000,,,,8200000.000,,,,14600000.000,,,,10100000.000,,,,5300000.000,,,,14800000.000,
