,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsPayableCurrent,2952000.000,3083000.000,3102000.000,6233000.000,4468000.000,4978000.000,6613000.000,6722000.000,5279000.000,4949000.000,3539000.000,6627000.000,7114000.000,12746000.000,8281000.000,11585000.000,9093000.000,7487000.000
AccountsReceivableNetCurrent,12546000.000,12387000.000,15929000.000,16863000.000,17310000.000,16272000.000,16343000.000,17954000.000,18549000.000,17373000.000,20375000.000,26097000.000,24366000.000,22780000.000,23189000.000,29263000.000,30344000.000,24019000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,,,,,2840000.000,2547000.000,3362000.000,3870000.000,3234000.000,3069000.000,3425000.000,7698000.000,6411000.000,5658000.000,4954000.000,6306000.000,6850000.000,6810000.000
AccruedAdvertisingCurrent,,,,,1915000.000,,,3426000.000,,,3197000.000,5914000.000,,,,,,
AccruedIncomeTaxesCurrent,4119000.000,15147000.000,6283000.000,2683000.000,10038000.000,6972000.000,11137000.000,9134000.000,593000.000,114000.000,1992000.000,2006000.000,2074000.000,597000.000,1344000.000,1593000.000,1062000.000,907000.000
AccruedLiabilitiesCurrent,22006000.000,22297000.000,26931000.000,27480000.000,29775000.000,29986000.000,33856000.000,31683000.000,33550000.000,38763000.000,54625000.000,56895000.000,53618000.000,47056000.000,50255000.000,49481000.000,57554000.000,50446000.000
AccruedLiabilitiesForUnredeeemedGiftCards,,,,,5155000.000,4594000.000,5655000.000,,,,,,,,,,,4103000.000
AccruedMarketingCostsCurrent,,,,,,,,,3466000.000,3563000.000,,,6569000.000,4742000.000,4115000.000,8363000.000,8127000.000,5131000.000
AccruedProfessionalFeesCurrent,,,,,,,,,,,4494000.000,2616000.000,3052000.000,2642000.000,3254000.000,2769000.000,3223000.000,3111000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,37138000.000,,,,34788000.000,,,,40268000.000,,,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,-44000.000,179000.000,80000.000,-22000.000,-517000.000,-107000.000,-19000.000,-164000.000,-170000.000,-661000.000,-801000.000,-198000.000,-392000.000,-183000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,,,,,,,,,,,,4055000.000,4245000.000,4149000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,-8521000.000,-6764000.000,-5530000.000,-9949000.000,-10273000.000,-4971000.000,-6728000.000,-1693000.000,1602000.000,-13191000.000,-27252000.000,-38696000.000,-36453000.000,-56276000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,1773000.000,-4234000.000,-6480000.000,-4542000.000,-8565000.000,-6585000.000,-5450000.000,-9971000.000,-10790000.000,-5078000.000,-6747000.000,-1857000.000,1432000.000,-13852000.000,-28053000.000,-42949000.000,-41090000.000,-60608000.000
AdditionalPaidInCapital,,552377000.000,558667000.000,575405000.000,589115000.000,607551000.000,618700000.000,647053000.000,664497000.000,684103000.000,908632000.000,976101000.000,991779000.000,1008632000.000,1022586000.000,,,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,,,,,,1038605000.000,1057073000.000,1076292000.000
AllowanceForDoubtfulAccountsReceivableCurrent,391000.000,502000.000,425000.000,461000.000,483000.000,622000.000,633000.000,585000.000,669000.000,847000.000,1038000.000,1094000.000,1086000.000,928000.000,663000.000,847000.000,778000.000,633000.000
Assets,542144000.000,602678000.000,604631000.000,656889000.000,675292000.000,697089000.000,722675000.000,768285000.000,789433000.000,831235000.000,1080672000.000,1493469000.000,1530130000.000,1524261000.000,1530128000.000,1562056000.000,1608046000.000,1598537000.000
AssetsCurrent,136976000.000,202812000.000,210694000.000,249884000.000,249273000.000,271352000.000,299947000.000,346730000.000,369224000.000,387124000.000,432576000.000,818770000.000,841786000.000,859528000.000,864945000.000,923440000.000,961174000.000,972988000.000
AvailableForSaleSecurities,,,,,,,,,,160044000.000,66798000.000,113889000.000,299596000.000,508090000.000,520844000.000,572809000.000,504896000.000,618343000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,77000.000,52000.000,177000.000,64000.000,227000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,737000.000,849000.000,371000.000,453000.000,409000.000
AvailableForSaleSecuritiesAmortizedCost,,,,,86593000.000,83093000.000,80248000.000,127162000.000,154933000.000,160149000.000,66815000.000,114052000.000,299762000.000,508750000.000,521641000.000,573003000.000,505285000.000,618525000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,,,,,,,80330000.000,127141000.000,154417000.000,,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,,,,,,,49559000.000,46444000.000,65423000.000,55083000.000,14695000.000,20079000.000,197895000.000,307125000.000,355164000.000,381596000.000,336185000.000,375946000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,,,,,,,30771000.000,80697000.000,88994000.000,104961000.000,52103000.000,93810000.000,101701000.000,200965000.000,165680000.000,191213000.000,168711000.000,242397000.000
AvailableForSaleSecuritiesFairValueDisclosure,,,,,86550000.000,83272000.000,80330000.000,127141000.000,154417000.000,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,,,,128000.000,17000.000,45000.000,143000.000,591000.000,,,,,,,,,
AvailableforsaleSecuritiesGrossUnrealizedGain,,,,,85000.000,196000.000,127000.000,122000.000,75000.000,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationAssetsAcquiredLiabilitiesAssumedNet,,,,,19277000.000,19277000.000,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationDeferredIncomeTaxesAssetLiabilityNet,,,,,-3295000.000,-3295000.000,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationGoodwillAmount,,,,,11292000.000,11292000.000,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationOtherLiabilities,,,,,315000.000,315000.000,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationTangibleAssets,,,,,636000.000,636000.000,,,,,,,,,,,,
BusinessCombinationAcquisitionOfLessThan100PercentNoncontrollingInterestFairValue,,,,,,,,,,8882000.000,10966000.000,,,,,,,
CapitalizedComputerSoftwareGross,,,,,,,23985000.000,,,,30523000.000,,,,36038000.000,,,
CapitalizedComputerSoftwareNet,,,,,21438000.000,22538000.000,23985000.000,25786000.000,28076000.000,29045000.000,30523000.000,32345000.000,34440000.000,36182000.000,36038000.000,37052000.000,36594000.000,38759000.000
CashAndCashEquivalentsAtCarryingValue,105684000.000,170243000.000,118208000.000,159428000.000,134701000.000,160937000.000,189478000.000,187246000.000,181879000.000,192395000.000,324608000.000,656601000.000,492953000.000,292103000.000,292325000.000,277821000.000,399792000.000,301293000.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,,,,,,,81.140,81.140,81.140,81.140,81.140
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,,,,,,,,,,,,7716049.000,7716049.000,7716049.000,7716049.000,7716049.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,104163858.000,104163858.000,104163858.000,104163858.000,350000000.000,350000000.000,350000000.000,350000000.000,350000000.000,350000000.000,350000000.000,350000000.000,350000000.000,350000000.000,350000000.000,350000000.000,350000000.000,350000000.000
CommonStockSharesIssued,39959520.000,80567039.000,80685391.000,81999284.000,82441431.000,82989924.000,83441153.000,84767715.000,85202582.000,85798100.000,,93436772.000,93988613.000,94284311.000,94515344.000,94798802.000,95625877.000,96162374.000
CommonStockSharesOutstanding,39959520.000,80567039.000,80685391.000,81999284.000,82441431.000,82989924.000,83441153.000,84767715.000,85202582.000,85798100.000,83441153.000,93436772.000,93988613.000,94284311.000,94515344.000,94798802.000,95625877.000,96162374.000
CommonStockValue,4000.000,8000.000,8000.000,8000.000,8000.000,8000.000,8000.000,8000.000,9000.000,9000.000,9000.000,9000.000,9000.000,9000.000,9000.000,9000.000,10000.000,10000.000
ConvertibleLongTermNotesPayable,,,,,,,,,,,,303044000.000,307360000.000,311738000.000,316181000.000,320690000.000,325264000.000,329905000.000
DeferredIncomeTaxLiabilities,,,,,,,,,,,,,,,51144000.000,,,
DeferredRevenueCurrent,111033000.000,102885000.000,101955000.000,123011000.000,128917000.000,125147000.000,126351000.000,147039000.000,154988000.000,149052000.000,151991000.000,179614000.000,187920000.000,172204000.000,170522000.000,190364000.000,207051000.000,193769000.000
