,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-06-30,2012-09-30,2012-12-31,2013-06-30,2013-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,7786.000,6068.000,16766.000,21523.000,,,41417.000,50067.000,12170.000
AccountsPayableCurrent,,,,,,37684.000,,,
AccountsPayableRelatedPartiesCurrent,,,,,3748.000,5830.000,685.000,685.000,685.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,27.000,28.000,67.000,67.000,67.000
AdditionalPaidInCapital,177151.000,,,,,,,-1840.000,2565.000
AdditionalPaidInCapitalCommonStock,,180299.000,182073.000,185287.000,-17462.000,-13599.000,-9685.000,,
Assets,2076.000,1930.000,298.000,557.000,2268.000,101945.000,94906.000,94826.000,40105.000
AssetsCurrent,,,,,,,94906.000,,
CashAndCashEquivalentsAtCarryingValue,2076.000,1930.000,298.000,353.000,2268.000,101945.000,94906.000,94826.000,40105.000
CommitmentsAndContingencies,,,,,,,0.000,,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,900000000.000,900000000.000,400000000.000,400000000.000,400000000.000,400000000.000,400000000.000,400000000.000,400000000.000
CommonStockSharesIssued,18081000.000,18081000.000,162729000.000,162729000.000,185000000.000,185000000.000,185000000.000,185000000.000,185000000.000
CommonStockSharesOutstanding,18081000.000,18081000.000,162729000.000,162729000.000,185000000.000,185000000.000,185000000.000,185000000.000,185000000.000
CommonStockValue,181.000,181.000,1627.000,1627.000,1850.000,1850.000,1850.000,1850.000,1850.000
ConvertibleDebtFairValueDisclosures,,,,,,,,,72394.000
ConvertibleNotesPayable,,,,,,,,,63000.000
DebtInstrumentConvertibleCarryingAmountOfTheEquityComponent,,,,,,,,,12371.000
DebtInstrumentConvertibleConversionPrice1,,,,,,,,,0.001
DebtInstrumentFairValue,,,,,,,,,72394.000
DebtInstrumentPrincipalOutstanding,,,,,,,,,72839.000
DebtInstrumentUnamortizedDiscount,,,,,,,,,50629.000
DebtInstrumentUnamortizedDiscountPremiumNet,,,,,,,,,-12371.000
DeferredTaxAssetsNet,,,,,,,26292.000,,
DeferredTaxAssetsValuationAllowance,,,,,,,-26292.000,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,232542.000,244118.000,259668.000,271380.000,45049.000,67248.000,77328.000,109001.000,145440.000
DueToRelatedPartiesCurrent,21000.000,21000.000,21000.000,21000.000,21000.000,21000.000,,21000.000,21000.000
DueToRelatedPartiesCurrentAndNoncurrent,,,,,24748.000,26830.000,,,
Liabilities,,,,,,230914.000,230002.000,253750.000,72839.000
LiabilitiesAndStockholdersEquity,2076.000,1930.000,298.000,557.000,2268.000,101945.000,94906.000,94826.000,40105.000
LiabilitiesCurrent,57286.000,65568.000,76266.000,85023.000,112902.000,130914.000,230002.000,,231063.000
LongTermDebtNoncurrent,,,,,,100000.000,,,
LongTermNotesPayable,,,,,,,,,180.000
NotesAndLoansPayableCurrent,28500.000,38500.000,38500.000,42500.000,45654.000,,166900.000,,
NotesPayableCurrent,,,,,42500.000,66400.000,66900.000,181998.000,
NotesPayableRelatedPartiesClassifiedCurrent,,,,,,,21000.000,,
OtherOwnershipInterestsValue,22554.000,25554.000,25554.000,25554.000,,,,,
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseCurrent,,,,204.000,2268.000,,,,
RetainedEarningsAccumulatedDeficit,,,,,45049.000,67248.000,77328.000,109001.000,145440.000
ShortTermBorrowings,,,,,42500.000,66400.000,,181998.000,111998.000
StockholdersEquity,-55210.000,-63638.000,-75968.000,-84466.000,-110634.000,-128969.000,-135096.000,-158924.000,-190958.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,,,-128969.000,-135096.000,-158924.000,-32734.000
StockholdersEquityNoteSubscriptionsReceivable,,,,,50000.000,50000.000,50000.000,50000.000,50000.000
WeightedAverageNumberOfSharesOutstandingBasicAndDiluted,18081000.000,18081000.000,162729000.000,162729000.000,,,153879781.000,,
