,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30
CurrentIncomeTaxExpenseBenefit,,,,0.000,0.000
EarningsPerShareBasicAndDiluted,,,,0.000,0.000
GeneralAndAdministrativeExpense,,,,0.000,0.000
GrossProfit,,,,0.000,0.000
IncomeLossFromContinuingOperations,,,,0.000,0.000
InterestIncomeExpenseNet,,,,0.000,0.000
NetIncomeLoss,,,,0.000,0.000
OperatingCostsAndExpenses,,,,0.000,0.000
OtherIncome,,,,0.000,0.000
Revenues,,,,0.000,0.000
SalesRevenueNet,,,,0.000,0.000
SellingExpense,,,,0.000,0.000
WeightedAverageNumberOfSharesOutstandingBasic,25000000.000,25000000.000,25000000.000,,25000000.000
