,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,,,,8607.000,8267.000,10865.000,,,,,,,,
AccountsPayableCurrent,29377.000,10060.000,110564.000,31122.000,22897.000,12308.000,3583.000,9999.000,75910.000,11605.000,27997.000,,,,96240.000,175673.000,280610.000,436686.000,509990.000,556827.000,391952.000,461420.000
AccountsPayableRelatedPartiesCurrent,1842.000,0.000,2778.000,0.000,5228.000,1950.000,0.000,,,,,,,,,,,,,,,
AccountsReceivableRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,14720.000,,,,
AccruedLiabilitiesCurrent,2045.000,0.000,240625.000,4870.000,0.000,0.000,0.000,2847.000,,,,,,,2186.000,30303.000,84311.000,137148.000,210817.000,291338.000,703138.000,769763.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentExcludingCapitalLeasedAssets,,,1893.000,2276.000,2712.000,3149.000,3585.000,3796.000,4063.000,4330.000,0.000,,,,,,,,,,,
AdditionalPaidInCapital,,,,,,,,,,,,,,,1548466.000,1763436.000,3736177.000,3756213.000,4247366.000,4355366.000,4370318.000,4500965.000
AdditionalPaidInCapitalCommonStock,8269750.000,8334700.000,8766045.000,9052228.000,9052228.000,9052228.000,9052228.000,9052228.000,9190828.000,9220528.000,9270028.000,9315328.000,9315328.000,9350118.000,,,,,,,,
Assets,426879.000,217850.000,499144.000,280124.000,219203.000,165100.000,47134.000,30338.000,139151.000,62147.000,83106.000,34370.000,5667.000,28280.000,700958.000,468437.000,45288.000,25000.000,,49711.000,17952.000,14117.000
AssetsCurrent,424149.000,215288.000,497074.000,277164.000,216679.000,157513.000,39983.000,23398.000,132478.000,61241.000,83106.000,,,,364658.000,138037.000,45288.000,,14291.000,,,
