,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccountsPayable,5350.000,12408.000,15658.000,84054.000,134722.000,229250.000,273523.000,,,,,,,,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,,,249150.000,248737.000,299099.000,289648.000,337258.000,337359.000,361094.000,362199.000,380495.000,367204.000
AccountsPayableCurrentAndNoncurrent,,,,,,,,346409.000,419024.000,421439.000,,,,,,,,,,
AccountsPayableRelatedParties,,,,113842.000,,,,,,,,,,,,,,,,
AccountsReceivableNetCurrent,,,,,,,,,,,,,,,,35993.000,,,,
AccruedLiabilitiesCurrent,15400.000,17190.000,18677.000,,25790.000,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,,,,42393.000,,,,86638.000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,,37.000,1254.000,147.000,17293.000,12796.000,15268.000,15180.000,9956.000,25062.000,31846.000,16230.000,20034.000,23246.000
AdditionalPaidInCapital,30685.000,32084.000,33584.000,134884.000,134884.000,134884.000,134884.000,134884.000,134884.000,134884.000,,,,,,,,,,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,4432959.000,4632962.000,5957771.000,7428932.000,8087659.000,9003626.000,9137764.000,9891010.000,9891010.000,9891004.000
AggregateIndebtedness,,,,,,,,,,,,,,,,,,,,935.000
Assets,,,,,,104500.000,79593.000,62721.000,101799.000,71755.000,529091.000,235431.000,482935.000,238162.000,205747.000,364745.000,297919.000,904812.000,764520.000,493189.000
AssetsCurrent,,,,,,104500.000,15373.000,1814.000,26444.000,458.000,375306.000,46408.000,339689.000,104198.000,81065.000,166791.000,113517.000,733962.000,607222.000,349443.000
AssetsNoncurrent,,,,,,,,,,71297.000,153785.000,189023.000,143246.000,238162.000,124682.000,197954.000,184402.000,904812.000,764520.000,493189.000
BusinessAcquisitionPurchasePriceAllocationPropertyPlantAndEquipment,,,,,,,-4648.000,,,,,,,,,,,,,
CapitalLeaseObligations,,,,,,,,,,24380.000,,,,,,,58516.000,,,
CapitalLeaseObligationsCurrent,,,,,,,39730.000,40610.000,34403.000,,3570.000,,,,,7621.000,8130.000,8698.000,8453.000,10102.000
Cash,,,,,,100000.000,10873.000,1814.000,26444.000,458.000,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,,,,,,100000.000,10873.000,1814.000,26444.000,458.000,375306.000,6166.000,286481.000,28861.000,,,19241.000,10815.000,72543.000,
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,,,,0.250,0.250,0.150,0.110,,,,0.070,0.070,0.070
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,,,,,,,,,8997300.000,8997300.000,17272300.000,25418525.000,,,,,,
ClassOfWarrantOrRightOutstanding,,,,,,,,,,,,,17272300.000,,,,41715152.000,41164901.000,41164901.000,41164901.000
CommonStockOtherValueOutstanding,,,,,,316.000,,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,,,,,,,,,,,100000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000
CommonStockSharesIssued,,,,,,,,,,,49868028.000,52615607.000,89635234.000,125414792.000,202700510.000,290662175.000,282872175.000,306272175.000,306272175.000,306822175.000
CommonStockSharesOutstanding,,11625000.000,,316.000,,31625000.000,,,,31625000.000,49868028.000,52615607.000,89635234.000,125414792.000,202700510.000,290662175.000,282872175.000,306272175.000,306272175.000,306822175.000
CommonStockSharesSubscriptions,,,,,,,,,,2000.000,,,,,,,,,,
CommonStockValue,15.000,116.000,116.000,,316.000,,316.000,316.000,316.000,316.000,,,,,,,2829.000,3063.000,3063.000,3069.000
CommonStockValueOutstanding,,,,,,,,,,,498.000,525.000,896.000,1254.000,2027.000,2907.000,,,,
CommonStockholdersEquity,,,,,,-609008.000,,,,-2327177.000,,,,,,,,,,
DebtAndCapitalLeaseObligations,,,,,,,63543.000,63543.000,63543.000,,,,,,,,,,,
DeferredRentCredit,,,,,,,,,,,,,,3464.000,3135.000,2512.000,,,,
DeferredRentCreditCurrent,,,,,,,,,,,,,4200.000,,,,2064.000,1818.000,1430.000,1026.000
DeferredRevenue,,,,,,,,,,,,,,65406.000,9816.000,,,,,
DeferredRevenueCurrent,,,,,,,,,,,,,,,,,23847.000,25504.000,,
DeferredTaxAssetsNet,,,,,,,,,,,,,,,,,0.000,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,,,,,2875099.000,,,,4544810.000,,,
DeferredTaxAssetsValuationAllowance,,,,,,,,,,,,,2875099.000,,,,3716064.000,,,
DepositAssets,,,,,,,,,,,,,,,,,14595.000,630119.000,439530.000,251160.000
DepositLiabilitiesAccruedInterest,,,,20162.000,,,45405.000,57842.000,74641.000,95004.000,,,,,,,,,,
DepositsAssetsNoncurrent,,,,,,,,,17625.000,,,,,,,,,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-110040.000,-121388.000,-128625.000,-353258.000,-518982.000,-744208.000,-910702.000,-1136222.000,-1380413.000,-2464524.000,5361467.000,6314696.000,7372210.000,9164860.000,,,,,,
DueFromRelatedParties,,,,113842.000,,,,,,,,,,,,,,,,
DueToRelatedPartiesCurrent,,,,,,,,,,,126400.000,532493.000,388675.000,360672.000,350523.000,215178.000,732125.000,1172936.000,1564099.000,1949737.000
DueToRelatedPartiesCurrentAndNoncurrent,,,,,,,,,,,,,,,,,,,359120.000,
FiniteLivedPatentsGross,,,,0.000,,,,,,,,,,,,,,,,
GeneralPartnersContributedCapital,,,,,,500.000,,,,,,,,,,,,,,
IncomeTaxesReceivable,,,,,,,,,,,,,53208.000,,,,79681.000,93028.000,95149.000,98283.000
InterestPayable,,,,,,35155.000,,,,,,,,,,,,,,
InterestPayableCurrent,,,,,,,,,,,118998.000,141924.000,182845.000,205495.000,232198.000,261647.000,292769.000,324686.000,359121.000,395282.000
Liabilities,,,,,,,855095.000,1063706.000,,,1439808.000,1903844.000,1881210.000,1957656.000,2098174.000,2161035.000,2779000.000,3345738.000,3829951.000,4272349.000
LiabilitiesAndStockholdersEquity,,,,,,104500.000,79593.000,62721.000,101799.000,71755.000,529091.000,235431.000,482935.000,238162.000,205747.000,364745.000,297919.000,904812.000,764520.000,493189.000
LiabilitiesCurrent,79340.000,89188.000,94925.000,218058.000,383782.000,713508.000,840990.000,1060136.000,1345758.000,2398932.000,1439808.000,1903844.000,1881210.000,1957656.000,2098174.000,2108385.000,2728614.000,3297893.000,3781860.000,4230958.000
LiabilitiesNoncurrent,,,,,,,,,,,,,,,,52650.000,50386.000,,,
