,2011-09-30,2011-12-31
AccountsPayableCurrent,270785.000,317503.000
AccountsPayableOtherCurrentAndNoncurrent,206478.000,368856.000
AccountsReceivableNetCurrent,574053.000,815239.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,87602.000,93829.000
AdditionalPaidInCapital,2419935.000,2419935.000
AdvancesOnInventoryPurchases,1029684.000,1080096.000
Assets,6852142.000,6924291.000
AssetsCurrent,3784300.000,3946158.000
CashAndCashEquivalentsAtCarryingValue,483694.000,691441.000
CommonStockParOrStatedValuePerShare,0.001,0.001
CommonStockSharesAuthorized,10000000.000,100000000.000
CommonStockSharesIssued,60191928.000,60191928.000
CommonStockSharesOutstanding,60191928.000,60191928.000
CommonStockValue,60192.000,60192.000
DeferredRevenueCurrent,562716.000,272168.000
DueFromRelatedPartiesCurrent,390488.000,450543.000
DueToRelatedPartiesCurrent,709643.000,566710.000
FiniteLivedIntangibleAssetsGross,726637.000,726637.000
InventoryNet,1153999.000,767214.000
Liabilities,3696060.000,3698016.000
LiabilitiesAndStockholdersEquity,6852142.000,6924291.000
LiabilitiesCurrent,3658640.000,3665341.000
LongTermDebtCurrent,17309.000,17763.000
LongTermDebtNoncurrent,37420.000,32675.000
LongTermInvestments,29970.000,29970.000
NotesPayableCurrent,279707.000,294092.000
OtherAssetsNoncurrent,,1100.000
OtherReceivables,141679.000,133318.000
PreferredStockParOrStatedValuePerShare,0.001,0.001
PreferredStockSharesAuthorized,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000
PreferredStockValue,,0.000
PrepaidExpenseCurrent,10703.000,8307.000
PropertyPlantAndEquipmentNet,2311235.000,2220426.000
RetainedEarningsAccumulatedDeficit,588353.000,652319.000
SharesOutstanding,,0.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,3156082.000,3226275.000
TaxesPayableCurrent,1612002.000,1828249.000
