,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,4895000.000,5321000.000,3556000.000,9153000.000,7556000.000
AccountsReceivableNetCurrent,2649000.000,5209000.000,3394000.000,2181000.000,3982000.000
AccruedIncomeTaxesCurrent,,295000.000,,,
AccruedLiabilitiesCurrent,9743000.000,9564000.000,9927000.000,15336000.000,10361000.000
AccumulatedAmortizationDeferredFinanceCosts,,,,202000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,9004000.000,9297000.000,9606000.000,9938000.000,10292000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-3389000.000,-3266000.000,-3143000.000,-4049000.000,-3858000.000
AdditionalPaidInCapital,,,,104895000.000,104640000.000
AdditionalPaidInCapitalCommonStock,12650000.000,104759000.000,104822000.000,,
AllowanceForDoubtfulAccountsReceivableCurrent,137000.000,29000.000,29000.000,35000.000,63000.000
Assets,241539000.000,246377000.000,244734000.000,285020000.000,289307000.000
AssetsCurrent,62948000.000,70472000.000,68824000.000,78856000.000,80161000.000
AvailableForSaleSecurities,,,,30410000.000,30541000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,19000.000,
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,1551000.000,1418000.000
AvailableForSaleSecuritiesAmortizedCost,,,,31942000.000,31959000.000
CashAndCashEquivalentsAtCarryingValue,2940000.000,3612000.000,4410000.000,2865000.000,2248000.000
CashUninsuredAmount,,,,5200000.000,
DebtInstrumentCarryingAmount,298042000.000,206139000.000,205859000.000,207579000.000,202000000.000
DeferredFinanceCostsNet,5912000.000,5054000.000,4721000.000,4388000.000,4154000.000
DeferredFinanceCostsNoncurrentNet,191000.000,174000.000,157000.000,139000.000,745000.000
DeferredIncomeTaxLiabilities,,,,14344000.000,
DeferredTaxAssetsDeferredIncome,,,,0.000,
DeferredTaxAssetsGoodwillAndIntangibleAssets,,,,43000.000,
DeferredTaxAssetsGross,,,,20632000.000,
DeferredTaxAssetsGrossNoncurrent,,,,6288000.000,8809000.000
DeferredTaxAssetsInventory,,,,2268000.000,
DeferredTaxAssetsLiabilitiesNetNoncurrent,,0.000,0.000,,
DeferredTaxAssetsNet,,,,20632000.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,,11911000.000,
DeferredTaxAssetsOther,,,,3864000.000,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,0.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,,,,1964000.000,
DeferredTaxAssetsUnrealizedLossesOnAvailableforSaleSecuritiesGross,,,,582000.000,
DeferredTaxAssetsValuationAllowance,,,,0.000,
DeferredTaxLiabilitiesDeferredExpenseCapitalizedInventoryCosts,,,,423000.000,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssets,,,,10431000.000,
DeferredTaxLiabilitiesNoncurrent,7054000.000,7063000.000,7060000.000,0.000,
DeferredTaxLiabilitiesOther,,,,429000.000,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,1642000.000,
DeferredTaxLiabilitiesTaxDeferredIncome,,,,1419000.000,
DefinedBenefitPensionPlanLiabilitiesNoncurrent,428000.000,372000.000,314000.000,423000.000,362000.000
