,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,344000.000,,,729000.000,,,,579000.000,,,,371000.000,,,,2584000.000,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,8000.000,,,152000.000,,,,181000.000,,,,200000.000,,,,461000.000,,,
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,,,,,,,,-37000.000,,,,-12000.000,,,,18000.000,131000.000,141000.000,155000.000
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,,17000.000,,,184000.000,,,,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossesWriteOffs,,,,,,480000.000,,,,501000.000,,,,396000.000,,,,0.000,1220000.000,1266000.000,2756000.000
AmortizationOfDebtDiscountPremium,,,,,,,,,,,,,,,,,,1057000.000,,,
AmortizationOfFinancingCostsAndDiscounts,,,,,,,,,,,,,,-357000.000,,,,,,,
AmortizationOfIntangibleAssets,,,,,,,,,,,,,,,344000.000,344000.000,,344000.000,645000.000,525000.000,525000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,410179.000,233630.000,102193.000,61870.000,13744.000,,700598.000,606894.000,660109.000,,967050.000,780659.000,0.000,,86044.000,154251.000,5000.000,
AvailableForSaleSecuritiesGrossRealizedGains,,,,,,,,,,62000.000,,,,116000.000,,,,762000.000,532000.000,512000.000,0.000
AvailableForSaleSecuritiesGrossRealizedLosses,,,,,,,,,,,,,,,,,,9000.000,0.000,0.000,0.000
BankOwnedLifeInsuranceIncome,,,119000.000,,,128000.000,,,,189000.000,,,,279000.000,,,,290000.000,,,
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,,,,,,,0.130,,,,0.040,,,,0.260,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,,,,,,,0.130,,,,0.040,,,,0.250,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,,,2251000.000,,,,802000.000,,,,6583000.000,,,
BusinessCombinationIntegrationRelatedCosts,,,,,,1745000.000,4978000.000,,,626000.000,,,,3992000.000,0.000,400000.000,407000.000,3119000.000,497000.000,0.000,772000.000
CashAcquiredFromAcquisition,,,,,,167663000.000,,,,,,,,,,,,,,,
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesAccretableYieldAdditions,,,,,,,,,,,,,,,,,,192000.000,,,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAccretion,,,,,,150000.000,,,,68000.000,,,,77000.000,,,,129000.000,,,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAdditions,,,,,,,,,,,,,,602000.000,,,,788000.000,,,
CommunicationsAndInformationTechnology,347000.000,387000.000,367000.000,817000.000,582000.000,635000.000,755000.000,824000.000,866000.000,1131000.000,485000.000,420000.000,534000.000,702000.000,716000.000,681000.000,717000.000,911000.000,887000.000,1223000.000,1240000.000
ComprehensiveIncomeNetOfTax,,,2773000.000,6468000.000,3661000.000,2433000.000,-3474000.000,2088000.000,3764000.000,4625000.000,5705000.000,5556000.000,4325000.000,2556000.000,6115000.000,8941000.000,7717000.000,9683000.000,11008000.000,8490000.000,7869000.000
DebtIssuanceCosts,,,,,,248000.000,184000.000,282000.000,295000.000,184000.000,191000.000,258000.000,215000.000,193000.000,263000.000,370000.000,442000.000,403000.000,540000.000,534000.000,
DeferredIncomeTaxExpenseBenefit,,,344000.000,,,,,,,-703000.000,,,,,,,,-325000.000,,,
DepreciationDepletionAndAmortization,,,312000.000,,,440000.000,,,,549000.000,,,,610000.000,,,,670000.000,,,
EarningsPerShareBasic,0.080,0.250,0.260,0.560,0.340,0.140,-0.020,0.190,0.260,0.150,0.280,0.320,0.220,0.090,0.360,0.360,0.400,0.330,0.380,0.340,0.440
EarningsPerShareDiluted,0.080,0.230,0.250,0.550,0.320,0.130,-0.020,0.180,0.250,0.150,0.270,0.310,0.230,0.090,0.360,0.360,0.380,0.330,0.370,0.330,0.430
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings1,,,,,,-30000.000,,,,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncomeLoss,,,,,,117000.000,,,,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPurchasesSalesIssuancesSettlements,,,,,,-55000.000,,,,,,,,,,,,,,,
FederalDepositInsuranceCorporationPremiumExpense,303000.000,86000.000,133000.000,168000.000,165000.000,140000.000,196000.000,201000.000,212000.000,237000.000,266000.000,257000.000,261000.000,314000.000,363000.000,355000.000,344000.000,382000.000,401000.000,442000.000,320000.000
FeesAndCommissionsDepositorAccounts,635000.000,558000.000,501000.000,472000.000,486000.000,440000.000,457000.000,485000.000,,454000.000,463000.000,412000.000,,582000.000,634000.000,629000.000,,842000.000,817000.000,829000.000,
