,2012-09-04,2013-03-19,2013-06-11,2013-09-03,2014-03-25,2014-06-17,2014-09-09,2015-03-24,2015-06-16,2015-09-08,2016-03-22,2016-06-14,2016-09-06,2017-03-21,2017-06-13
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,228000.000,,,573000.000,,,580000.000,,,653000.000,,,533000.000,
AllocatedShareBasedCompensationExpense,,,,401000.000,573000.000,581000.000,596000.000,580000.000,802000.000,764000.000,653000.000,735000.000,638000.000,533000.000,792000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,396047.000,692523.000,708047.000,728303.000,768227.000,760457.000,844392.000,,,,,
AssetImpairmentCharges,,,,,,,,,,3338000.000,,,,,
BusinessExitCosts1,,,,,,,,,,,21000.000,20000.000,49000.000,-2000.000,540000.000
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,1954000.000,,,730000.000,,,787000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-954000.000,,,2624000.000,,,3315000.000,,,-3123000.000,,,-5895000.000,
ComprehensiveIncomeNetOfTax,-2422000.000,3569000.000,4431000.000,-380000.000,4522000.000,4769000.000,1785000.000,5394000.000,3713000.000,-1035000.000,5411000.000,4444000.000,786000.000,3310000.000,2090000.000
CostOfRevenue,14526000.000,18420000.000,18113000.000,16187000.000,20052000.000,20292000.000,18693000.000,21662000.000,21276000.000,19901000.000,23218000.000,22637000.000,20236000.000,23781000.000,23433000.000
CostsAndExpenses,,,,,,,,,,,,,,,79676000.000
DepreciationAndAmortization,2051000.000,2442000.000,2564000.000,2631000.000,2955000.000,3001000.000,3098000.000,3577000.000,3613000.000,3811000.000,4285000.000,4163000.000,4305000.000,4816000.000,4997000.000
DepreciationDepletionAndAmortization,,,,,2955000.000,,,3577000.000,,,4285000.000,,,4816000.000,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,-844000.000,,,,,,,,,,,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,-216000.000,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,182000.000,,,,,,,,,,,,,,
EarningsPerShareBasic,,,0.190,-0.020,0.190,0.200,0.080,0.230,0.160,-0.040,0.230,0.190,0.030,0.140,0.100
EarningsPerShareBasicAndDiluted,-0.120,0.150,,,,,,,,,,,,,
EarningsPerShareDiluted,,,0.190,-0.020,0.190,0.200,0.080,0.230,0.160,-0.040,0.230,0.190,0.030,0.140,0.090
EffectiveIncomeTaxRateContinuingOperations,0.440,0.269,0.359,-0.538,-0.327,0.307,0.248,0.298,0.312,-0.519,0.311,0.294,-0.123,0.247,0.283
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.350,,,0.350,,,0.350,,,0.350,,,0.350,0.350
GainLossOnSaleOfPropertyPlantEquipment,,,,,-17000.000,,,-3000.000,,,0.000,,,-5000.000,
GeneralAndAdministrativeExpense,3292000.000,3775000.000,4163000.000,4174000.000,4686000.000,4844000.000,4673000.000,5478000.000,5908000.000,5225000.000,5750000.000,6030000.000,5172000.000,6311000.000,5921000.000
IncomeLossFromContinuingOperations,-1794000.000,3569000.000,4431000.000,-380000.000,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-3205000.000,4880000.000,6911000.000,-823000.000,6717000.000,6882000.000,2373000.000,7686000.000,5399000.000,-2152000.000,7848000.000,6296000.000,700000.000,4396000.000,2914000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.090,0.150,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicShare,,,0.190,-0.020,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,,,0.190,-0.020,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTax,-628000.000,,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,-0.030,,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,0.000,0.000,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,0.000,0.000,,,,,,,,,,,
IncomeTaxExpenseBenefit,-1411000.000,,2480000.000,-443000.000,2195000.000,2113000.000,588000.000,2292000.000,1686000.000,-1117000.000,2437000.000,1852000.000,-86000.000,1086000.000,824000.000
