,2011-06-26,2011-09-25,2012-03-02,2012-03-25,2012-06-24,2012-09-23,2012-12-30,2013-03-31,2013-06-30,2013-09-29,2013-12-29,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27,2015-12-27,2016-03-27
AccountsPayableCurrent,75852000.000,75078000.000,,49488000.000,56699000.000,64757000.000,68929000.000,61554000.000,71983000.000,67051000.000,67203000.000,53861000.000,59475000.000,56376000.000,48928000.000,36523000.000,41122000.000,40602000.000,50647000.000,39078000.000
AccountsReceivableNetCurrent,197310000.000,191285000.000,,166819000.000,173506000.000,179034000.000,177173000.000,141505000.000,138705000.000,158531000.000,167864000.000,142059000.000,140791000.000,127900000.000,131720000.000,100696000.000,109643000.000,112182000.000,113698000.000,95778000.000
AccountsReceivableNetNoncurrent,,,,,,,6000000.000,,,,3500000.000,,,,1400000.000,,,,300000.000,
AccruedIncomeTaxesCurrent,46000.000,,,,0.000,0.000,2560000.000,0.000,0.000,0.000,2439000.000,0.000,0.000,0.000,1278000.000,0.000,0.000,511000.000,1824000.000,4219000.000
AccruedLiabilitiesCurrent,70056000.000,59338000.000,,62636000.000,62474000.000,54286000.000,54425000.000,45528000.000,45508000.000,47957000.000,41580000.000,41935000.000,39799000.000,37464000.000,44204000.000,37208000.000,36860000.000,45740000.000,46458000.000,58338000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,151627000.000,,,,145054000.000,,,,141160000.000,,,,139270000.000,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,-1385000.000,-429000.000,,-950000.000,1540000.000,741000.000,21000.000,-136000.000,-132000.000,0.000,0.000,,,,0.000,,,,-125000.000,-435000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,,,17538000.000,,,,16794000.000,,,,35036000.000,,,,18232000.000,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,,,18312000.000,,,,19039000.000,,,,352000.000,,,,-20856000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,30801000.000,20404000.000,,16322000.000,5782000.000,11370000.000,795000.000,-2254000.000,-2609000.000,2084000.000,2245000.000,2928000.000,3675000.000,-6879000.000,-34684000.000,-45152000.000,-44610000.000,-51089000.000,-40227000.000,-38339000.000
AdditionalPaidInCapital,414143000.000,417393000.000,,420581000.000,421732000.000,423165000.000,424715000.000,427323000.000,430535000.000,431960000.000,434336000.000,435046000.000,437635000.000,439654000.000,441882000.000,420955000.000,424067000.000,425198000.000,427089000.000,428264000.000
AllowanceForDoubtfulAccountsReceivableCurrent,11161000.000,11665000.000,,13983000.000,15246000.000,15107000.000,13242000.000,12366000.000,13512000.000,12684000.000,12404000.000,12933000.000,12049000.000,10525000.000,8526000.000,7917000.000,7642000.000,6472000.000,6059000.000,6273000.000
