,2015-11-30,2016-02-29
CashPeriodIncreaseDecrease,22879.000,
DepreciationNonproduction,49.000,49.000
EarningsPerShareBasicAndDiluted,-0.000,0.000
GeneralAndAdministrativeExpense,37703.000,45290.000
IncreaseDecreaseInAccountsPayable,-5450.000,
IncreaseDecreaseInAccruedLiabilities,474.000,
IncreaseDecreaseInDepositOtherAssets,1578.000,
IncreaseDecreaseInOperatingCapital,-462132.000,
IncreaseDecreaseInPrepaidExpense,-5658.000,
InterestExpense,5630.000,5547.000
InterestExpenseDebt,4923.000,
InterestPaid,4600.000,
NetCashProvidedByUsedInFinancingActivities,100000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,100000.000,
NetCashProvidedByUsedInOperatingActivities,-77121.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-77121.000,
NetIncomeLoss,-99956.000,-105737.000
NonoperatingIncomeExpense,-5630.000,-5547.000
OperatingExpenses,94326.000,100190.000
OperatingIncomeLoss,-94326.000,-100190.000
ProceedsFromIssuanceOfCommonStock,100000.000,
ProfessionalFees,56574.000,54851.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,24587051.000,25052106.000
