,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,644000.000,,,,601000.000,,
AllocatedShareBasedCompensationExpense,,,,856000.000,799000.000,,769000.000,1001000.000,809000.000
AmortizationOfFinancingCosts,,,176000.000,90000.000,90000.000,90000.000,90000.000,88000.000,84000.000
AmortizationOfIntangibleAssets,,,,,,,3015000.000,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,587000.000,587000.000,,1008000.000,924000.000,921000.000
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,420000.000
CapitalLeaseObligationsIncurred,,,,,,,188000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,508000.000,,
CommonStockDividendsPerShareCashPaid,,,0.060,,,,0.087,,
ComprehensiveIncomeNetOfTax,,,-629000.000,1234000.000,1644000.000,2723000.000,3047000.000,1213000.000,1457000.000
CostOfGoodsAndServicesSoldDepreciationAndAmortization,10913000.000,10568000.000,10437000.000,10393000.000,10706000.000,10643000.000,10623000.000,10729000.000,10878000.000
CostOfGoodsSold,3001000.000,3144000.000,3197000.000,2651000.000,2827000.000,3075000.000,2334000.000,2933000.000,3665000.000
CostOfRevenue,66674000.000,65716000.000,68600000.000,66318000.000,66133000.000,68349000.000,67013000.000,67340000.000,68468000.000
CostOfServices,52760000.000,52004000.000,54966000.000,53274000.000,52600000.000,54631000.000,54056000.000,53678000.000,53925000.000
DeferredIncomeTaxExpenseBenefit,,,4000.000,,,,-224000.000,,
DepreciationAndAmortization,406000.000,425000.000,201000.000,209000.000,216000.000,208000.000,195000.000,181000.000,178000.000
DepreciationDepletionAndAmortization,,,10638000.000,,,,10818000.000,,
DividendsCommonStockCash,,,876000.000,,,,1279000.000,,
EarningsPerShareBasic,0.040,0.040,-0.050,0.070,0.100,0.180,0.200,0.080,0.100
EarningsPerShareDiluted,0.030,0.040,-0.050,0.070,0.100,0.170,0.190,0.080,0.090
EffectiveIncomeTaxRateContinuingOperations,,,,0.420,0.430,,0.400,0.400,0.400
GainLossOnDispositionOfAssets,65000.000,13000.000,-14000.000,54000.000,57000.000,71000.000,34000.000,121000.000,114000.000
GainLossOnSaleOfPropertyPlantEquipment,,,-14000.000,,,,34000.000,,
GainsLossesOnExtinguishmentOfDebt,,,-3762000.000,,,,,-54000.000,
GeneralAndAdministrativeExpense,4669000.000,4759000.000,6692000.000,4511000.000,4303000.000,4644000.000,4527000.000,4841000.000,4261000.000
GrossProfit,11915000.000,12776000.000,15636000.000,11509000.000,11740000.000,13834000.000,14580000.000,11881000.000,11043000.000
IncomeLossFromContinuingOperations,3226000.000,604000.000,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,781000.000,1119000.000,-1336000.000,1802000.000,2575000.000,4258000.000,4860000.000,2023000.000,2418000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,504000.000,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicShare,0.040,0.040,,,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,0.030,0.040,,,,,,,
IncomeTaxExpenseBenefit,277000.000,515000.000,-569000.000,750000.000,1104000.000,1704000.000,1942000.000,811000.000,961000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,-4117000.000,,,,-568000.000,,
IncreaseDecreaseInAccountsReceivable,,,114000.000,,,,-666000.000,,
IncreaseDecreaseInInventories,,,497000.000,,,,888000.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,703000.000,,,,1434000.000,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,690000.000,687000.000,,475000.000,608000.000,690000.000
InterestExpense,2445000.000,3463000.000,,,,,1756000.000,1215000.000,1063000.000
InterestExpenseLongTermDebt,,,,2018000.000,1966000.000,,,,
NetCashProvidedByUsedInContinuingOperations,,,-74000.000,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,1142000.000,,,,-878000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,1142000.000,,,,-878000.000,,
NetCashProvidedByUsedInInvestingActivities,,,-7698000.000,,,,-10661000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-7698000.000,,,,-10661000.000,,
NetCashProvidedByUsedInOperatingActivities,,,6482000.000,,,,12047000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,6482000.000,,,,12047000.000,,
NetIncomeLossAvailableToCommonStockholdersBasic,,604000.000,-767000.000,1052000.000,1471000.000,2554000.000,2918000.000,1212000.000,1457000.000
OperatingExpenses,8689000.000,8194000.000,9868000.000,7745000.000,7234000.000,7743000.000,8055000.000,8516000.000,7478000.000
OperatingIncomeLoss,,4582000.000,5768000.000,3764000.000,4506000.000,6091000.000,6525000.000,3365000.000,3565000.000
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPortionAttributableToParent,,,138000.000,,173000.000,,129000.000,1000.000,
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesTaxPortionAttributableToParent,,,95000.000,,,,,,
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,,,,182000.000,,,,,
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax,,,,,,,79000.000,,
PaymentsForRepurchaseOfCommonStock,,,2000000.000,,,,,,
PaymentsOfDebtIssuanceCosts,,,1497000.000,,,,,,
PaymentsOfDividendsCommonStock,,,876000.000,,,,1279000.000,,
PaymentsToAcquireBusinessesNetOfCashAcquired,,,,,,,2018000.000,,
PaymentsToAcquireProductiveAssets,,,7734000.000,,,,8677000.000,,
ProceedsFromIssuanceOfCommonStock,,,140000.000,,,,120000.000,,
ProceedsFromLinesOfCredit,,,211998000.000,,,,,,
ProceedsFromLongTermLinesOfCredit,,,18799000.000,,,,20120000.000,,
ProceedsFromSaleOfProductiveAssets,,,36000.000,,,,34000.000,,
ProceedsFromStockOptionsExercised,,,163000.000,,,,49000.000,,
ProfitLoss,504000.000,,,,,,,,
RepaymentsOfLinesOfCredit,,,13303000.000,,,,,,
RepaymentsOfLongTermCapitalLeaseObligations,,,362000.000,,,,341000.000,,
RepaymentsOfLongTermDebt,,,18750000.000,,,,,,
RepaymentsOfLongTermLinesOfCredit,,,93170000.000,,,,19547000.000,,
RepaymentsOfSeniorDebt,,,100000000.000,,,,,,
Revenues,78589000.000,78492000.000,84236000.000,77827000.000,77873000.000,82183000.000,81593000.000,79221000.000,79511000.000
SalesRevenueGoodsNet,3630000.000,4205000.000,3931000.000,3188000.000,3501000.000,3466000.000,2801000.000,3658000.000,4509000.000
SalesRevenueNet,78589000.000,78492000.000,84236000.000,77827000.000,77873000.000,82183000.000,81593000.000,79221000.000,79511000.000
SalesRevenueServicesNet,74959000.000,74287000.000,80305000.000,74639000.000,74372000.000,78717000.000,78792000.000,75563000.000,75002000.000
SellingAndMarketingExpense,3435000.000,3023000.000,2878000.000,2785000.000,2772000.000,2962000.000,3310000.000,2902000.000,2733000.000
ShareBasedCompensation,,,644000.000,,,,601000.000,,
StockGrantedDuringPeriodValueSharebasedCompensation,,,351000.000,,,,325000.000,,
StockIssuedDuringPeriodValueEmployeeStockPurchasePlan,,,140000.000,,,,120000.000,,
StockIssuedDuringPeriodValueStockOptionsExercised,,,163000.000,,,,49000.000,,
StockOptionPlanExpense,,,351000.000,,,,325000.000,,
TreasuryStockValueAcquiredCostMethod,,,2000000.000,,,,,,
UnrealizedGainLossOnCommodityContracts,,,250000.000,,,,53000.000,,
UnrealizedGainLossOnDerivatives,,,89000.000,146000.000,125000.000,193000.000,181000.000,15000.000,
WeightedAverageNumberOfDilutedSharesOutstanding,15033000.000,15000000.000,14375000.000,15055000.000,15134000.000,-29480000.000,15018000.000,15251000.000,15405000.000
WeightedAverageNumberOfSharesOutstandingBasic,14244000.000,14286000.000,14375000.000,14365000.000,14447000.000,-28764000.000,14543000.000,14643000.000,14715000.000
WriteOffOfDeferredDebtIssuanceCost,,,1220000.000,,,,,,
