,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
AccountsPayableCurrent,467.000,1176.000,7242.000,4126.000,5874.000,5532.000,9917.000,10598.000,3466.000
AccountsReceivableNetCurrent,16000.000,13000.000,12500.000,17000.000,15500.000,5000.000,,,
AccountsReceivableRelatedParties,16000.000,13000.000,12500.000,17000.000,,,,,
AdditionalPaidInCapitalCommonStock,,,99750.000,99750.000,99750.000,145750.000,145750.000,145750.000,145750.000
AllowanceForDoubtfulAccountsReceivableCurrent,0.000,,,,,,,,
Assets,25192.000,46434.000,108304.000,102040.000,84582.000,60084.000,51791.000,45030.000,18881.000
AssetsCurrent,25192.000,46434.000,108304.000,102040.000,84582.000,60084.000,51791.000,45030.000,18881.000
CashAndCashEquivalentsAtCarryingValue,9192.000,6784.000,95804.000,85040.000,69082.000,60084.000,51791.000,45030.000,18881.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000
CommonStockSharesIssued,15490000.000,15490000.000,17990000.000,17990000.000,17990000.000,17990000.000,17990000.000,17990000.000,17990000.000
CommonStockSharesOutstanding,15490000.000,15490000.000,17990000.000,17990000.000,17990000.000,17990000.000,17990000.000,17990000.000,17990000.000
CommonStockSharesSubscriptions,,26650.000,,,,,,,
CommonStockValue,1549.000,1549.000,1799.000,1799.000,1799.000,1799.000,1799.000,1799.000,1799.000
DeferredTaxAssetsOperatingLossCarryforwards,,20119.000,,,,50782.000,,,
DeferredTaxAssetsValuationAllowance,,20119.000,,,,50782.000,,,
DueToRelatedPartiesCurrent,79559.000,76233.000,68152.000,68834.000,67334.000,56084.000,52616.000,52601.000,38601.000
InterestPayableCurrent,,,,,114.000,277.000,,,156.000
Liabilities,80026.000,77409.000,75394.000,72960.000,73322.000,61893.000,62533.000,63199.000,42223.000
LiabilitiesAndStockholdersEquity,25192.000,46434.000,108304.000,102040.000,84582.000,60084.000,51791.000,45030.000,18881.000
LiabilitiesCurrent,80026.000,77409.000,75394.000,72960.000,73322.000,61893.000,62533.000,63199.000,42223.000
OperatingLossCarryforwards,,59174.000,,,,149358.000,,,
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
PreferredStockSharesIssued,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000
RestrictedCashAndCashEquivalents,,26650.000,,,,,,,
RetainedEarningsAccumulatedDeficit,-56383.000,-59174.000,-68639.000,-72469.000,-90289.000,-149358.000,-158291.000,-165718.000,-170891.000
StockholdersEquity,-54834.000,-30975.000,32910.000,29080.000,11260.000,-1809.000,-10742.000,-18169.000,-23342.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-54834.000,-30975.000,32910.000,29080.000,11260.000,-1809.000,-10742.000,-18169.000,-23342.000
