,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccretionOfDiscount,126566.000,,,,52082.000,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,76548.000,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,,,122460.000,,,,
AllocatedShareBasedCompensationExpense,,,,,170048.000,152088.000,229918.000,351530.000,396646.000
AllowanceForDoubtfulAccountsReceivableRecoveries,,50000.000,11000.000,,,,,,
AllowanceForDoubtfulAccountsReceivableWriteOffs,16146.000,,,,,,,,
AmortizationOfDebtDiscountPremium,126566.000,51180.000,51481.000,51786.000,,,,,50124.000
AmortizationOfFinancingCosts,18615.000,14322.000,4523.000,7206.000,7431.000,,,,
AmortizationOfFinancingCostsAndDiscounts,,,,,,,,,122583.000
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLoss,,,,,39351.000,4522.000,-2836.000,,
CapitalExpendituresIncurredButNotYetPaid,,,,,1030174.000,,,,44256.000
CapitalizedComputerSoftwareAmortization,0.000,0.000,0.000,0.000,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-2049148.000,,,,1628713.000,,,,-4739879.000
ComprehensiveIncomeNetOfTax,,,-5144670.000,,-6987073.000,-6847081.000,-6491278.000,-5673851.000,-5815920.000
CostOfGoodsAndServicesSoldDepreciation,151493.000,147916.000,174390.000,188763.000,,,,,
CostOfRevenue,894627.000,834949.000,809015.000,796920.000,843470.000,932976.000,1125009.000,1234429.000,1295302.000
DepreciationAndAmortization,151493.000,,,,357023.000,371805.000,357924.000,387026.000,296045.000
Dividends,0.000,,,,,,,,
EarningsPerShareBasicAndDiluted,-14.990,-1.730,-0.760,12.450,-1.020,-0.980,-0.920,-0.740,-0.730
FairValueAdjustmentOfWarrants,-388960.000,628643.000,0.000,0.000,,0.000,0.000,,
FairValueAssumptionsExpectedDividendRate,0.000,,,,,,,,
FairValueAssumptionsExpectedVolatilityRate,0.750,,,,,,,,
FairValueAssumptionsRiskFreeInterestRate,0.017,,,,,,,,
FairValueInputsDiscountRate,0.025,,,,0.025,,,,
FairValueMeasurementWithUnobservableInputsReconciliationLiabilityTransfersIntoLevel3,,,0.000,,0.000,0.000,0.000,0.000,0.000
FairValueMeasurementWithUnobservableInputsReconciliationLiabilityTransfersOutOfLevel3,,,0.000,,0.000,0.000,0.000,0.000,0.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersIntoLevel3,,,0.000,,0.000,0.000,0.000,0.000,0.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersOutOfLevel3,,,0.000,,0.000,0.000,0.000,0.000,0.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityIssues,741828.000,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityPeriodIncreaseDecrease,-388960.000,,,,,,,,
GainLossOnDispositionOfAssets1,-49341.000,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,-705217.000,,,,,,,
GrossProfit,129688.000,-44398.000,201941.000,418833.000,21762.000,962840.000,-211108.000,223352.000,75867.000
