,2012-03-31,2013-03-31,2014-03-31,2015-03-31,2016-03-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,24452.000,45866.000,82947.000,260047.000,333363.000,357955.000
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,-342169.000,240144.000,,16365.000,84102.000,121587.000
AllocatedShareBasedCompensationExpense,,,,260045.000,333362.000,357955.000
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,,,117095.000,0.000
AmortizationOfIntangibleAssets,,0.000,0.000,,,
AssetRetirementObligationAccretionExpense,1276.000,1356.000,1438.000,1526.000,1621.000,1721.000
BusinessCombinationConsiderationTransferred1,,,10000000.000,10000000.000,10000000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-1157451.000,-299384.000,6572754.000,522403.000,4047999.000,-917486.000
ContractsRevenue,655857.000,382889.000,82937.000,5000.000,0.000,0.000
ConversionOfStockAmountConverted1,,3170671.000,7953591.000,0.000,0.000,
ConversionOfStockAmountIssued1,,29864.000,9825066.000,2272500.000,0.000,23571430.000
ConversionOfStockSharesConverted1,,2475.000,3175.000,4.242,,
ConversionOfStockSharesIssued1,,29863556.000,91796043.000,6060000.000,,
CostOfRevenue,1013674.000,2315154.000,3236106.000,3013592.000,4484162.000,5898405.000
CurrentFederalTaxExpenseBenefit,,0.000,0.000,0.000,0.000,0.000
CurrentStateAndLocalTaxExpenseBenefit,,-6099.000,3099.000,-3248.000,-4048000.000,-2500.000
DebtConversionConvertedInstrumentAmount1,,,600000.000,0.000,0.000,
DebtConversionOriginalDebtAmount1,,,1000.000,1000.000,1000.000,
DebtInstrumentConvertibleNumberOfEquityInstruments,,,14286.000,14286.000,14286.000,
DebtInstrumentInterestRateStatedPercentageRateRangeMaximum,,,,0.131,0.122,
DebtInstrumentInterestRateStatedPercentageRateRangeMinimum,,,,0.057,0.068,
DeferredFederalIncomeTaxExpenseBenefit,,0.000,0.000,0.000,0.000,0.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,,,,0.000,0.000
Depreciation,,,,567679.000,,700351.000
DepreciationAndAmortization,206248.000,116921.000,500906.000,616995.000,665647.000,352369.000
DepreciationDepletionAndAmortization,484151.000,423340.000,453746.000,581855.000,666461.000,714530.000
EarningsPerShareBasic,,0.000,-0.210,0.050,-0.010,0.030
EarningsPerShareBasicAndDiluted,-0.060,,,,,
EarningsPerShareDiluted,,0.000,-0.210,-0.020,-0.010,-0.010
FairValueAdjustmentOfWarrants,,,,,,-9525103.000
FinitelivedIntangibleAssetsAcquired1,,,,31853.000,30025.000,
ForeignIncomeTaxExpenseBenefitContinuingOperations,,359817.000,-295710.000,0.000,524500000.000,1870114.000
GainLossOnSaleOfDerivatives,,,,,7394006.000,
GainOnSaleOfInvestments,,,,1670685.000,0.000,0.000
GainsLossesOnExtinguishmentOfDebt,0.000,,,,,
GeneralAndAdministrativeExpense,1410192.000,1513468.000,2105725.000,2904114.000,2903178.000,2083226.000
GrossProfit,1410444.000,1088372.000,1365270.000,2001654.000,8014170.000,3739310.000
ImpairmentOfIntangibleAssetsFinitelived,0.000,0.000,0.000,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,1134210.000,-96867882.000,28926426.000,-1203464.000,1943567.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-15542226.000,,,,,
IncomeTaxCreditsAndAdjustments,-483952.000,-353718.000,-292611.000,3248.000,520452000.000,1867614.000
IncomeTaxExpenseBenefit,,,,-3248.000,-520452.000,-1867614.000
IncomeTaxesPaid,2849.000,6099.000,3099.000,2500.000,4048.000,2500.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-133749.000,251611.000,883446.000,1811258.000,-2211414.000,-925088.000
IncreaseDecreaseInAccountsReceivable,,268305.000,66922.000,714365.000,-33240.000,-596237.000
IncreaseDecreaseInDeferredLiabilities,11090.000,9112.000,-49439.000,23703.000,-22996.000,
IncreaseDecreaseInInventories,-311480.000,1053264.000,574340.000,1099518.000,261727.000,3122237.000
IncreaseDecreaseInReceivables,-174820.000,,,,,
IncreaseDecreaseInRestrictedCash,-10835.000,-12765.000,-2777.000,123916.000,0.000,122.000
IncreaseDecreaseInSecurityDeposits,13464.000,,,,,
IncrementalCommonSharesAttributableToConversionOfPreferredStock,,0.000,148917143.000,142857143.000,,
InterestExpense,229592.000,253745.000,859328.000,287231.000,280670.000,238223.000
InterestExpenseDebt,,,,,,87307.000
InterestPaid,228317.000,237874.000,289494.000,89336.000,215878.000,142351.000
InvestmentIncomeInterest,,,,,9802.000,12620.000
IssuanceOfStockAndWarrantsForServicesOrClaims,,,,959737.000,1139071.000,896112.000
LeaseAndRentalExpense,,90338.000,33820.000,153430.000,180854.000,
LicenseAndServicesRevenue,,,1536039.000,1139789.000,4495466.000,2310756.000
LineOfCreditFacilityDecreaseRepayments,,0.000,,,,
LineOfCreditFacilityIncreaseDecreaseForPeriodNet,,600000.000,,,,
NetCashProvidedByUsedInFinancingActivities,-105580.000,1835847.000,11347299.000,12746424.000,8762249.000,8071351.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-105580.000,1835847.000,11347299.000,12746424.000,8762249.000,8071351.000
NetCashProvidedByUsedInInvestingActivities,-657790.000,-191822.000,-557669.000,2879213.000,-1948829.000,-1104976.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-657790.000,-191822.000,-557669.000,2879213.000,-1948829.000,-1104976.000
NetCashProvidedByUsedInOperatingActivities,-394082.000,-1943409.000,-4216875.000,-15103233.000,-2765421.000,-7883861.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-394082.000,-1943409.000,-4216875.000,-15103233.000,-2765421.000,-7883861.000
NetIncomeLoss,-15058274.000,1487928.000,-96575271.000,28929674.000,-683012.000,3811181.000
NetIncomeLossAvailableToCommonStockholdersBasic,,1487928.000,,,-9968727.000,24525467.000
NetIncomeLossAvailableToCommonStockholdersDiluted,,-1900660.000,,-15117272.000,,-5713922.000
NoncashOrPartNoncashAcquisitionDebtAssumed1,13200.000,0.000,107960.000,804861.000,442399.000,308834.000
NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired1,0.000,,5597317.000,0.000,0.000,
NoninterestExpenseDirectorsFees,,,,,100071.000,200000.000
NonoperatingIncomeExpense,-13576088.000,2697343.000,-91584258.000,45433397.000,7113336.000,
OfficersCompensation,,50072.000,,,1039000.000,
OperatingExpenses,3376582.000,2651505.000,6648894.000,18508626.000,16330970.000,11095243.000
OperatingIncomeLoss,-1966138.000,-1563133.000,-5283624.000,-16506971.000,-8316800.000,-7355933.000
OtherIncome,,,,0.000,,
OtherNoncashExpense,,,,,1513433.000,
OtherNonoperatingIncomeExpense,,,19831.000,,0.000,9299500.000
PaidInKindInterest,636179.000,182684.000,68089.000,,0.000,
PaymentsForCapitalImprovements,421556.000,33519.000,46945.000,419887.000,,
PaymentsOfStockIssuanceCosts,,-240144.000,47987.000,16365.000,0.000,38624.000
PaymentsToAcquireIntangibleAssets,45292.000,51578.000,58178.000,31853.000,30025.000,7292.000
PaymentsToAcquireOtherPropertyPlantAndEquipment,201777.000,119489.000,455323.000,1545131.000,1918804.000,1097562.000
ProceedsFromIssuanceOfCommonStock,,,10000000.000,13236624.000,6199643.000,7593289.000
ProceedsFromIssuanceOfDebt,,415500.000,,,,
ProceedsFromIssuanceOfPrivatePlacement,-342169.000,,,,,
ProceedsFromIssuanceOfWarrants,,564500.000,,,,
ProceedsFromRepaymentsOfLinesOfCredit,,,528750.000,54322.000,135238.000,-718309.000
ProceedsFromSaleOfLongtermInvestments,,,,5000000.000,0.000,0.000
ProceedsFromSaleOfMachineryAndEquipment,0.000,,,,,
ProceedsFromWarrantExercises,,564500.000,868050.000,800853.000,3041499.000,1856480.000
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,,31354.000,30835.000,7937.000,,
RelatedPartyTransactionPurchasesFromRelatedParty,,465181.000,69512.000,7937.000,,
RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,,362347.000,29668.000,,,
RepaymentsOfLongTermDebt,,,,1110000.000,210000.000,220000.000
RepaymentsOfShortTermDebt,13411.000,6297.000,1515.000,219010.000,404131.000,401485.000
ResearchAndDevelopmentExpense,1735689.000,975250.000,3959316.000,14727472.000,12428783.000,8301693.000
RevenueOtherManufacturedProducts,1120050.000,2214271.000,2982400.000,3870457.000,8002866.000,7326959.000
Revenues,2424118.000,3403526.000,4601376.000,5015246.000,12498332.000,9637715.000
RoyaltyRevenue,648211.000,806365.000,,,,
SalariesWagesAndOfficersCompensation,,,,,,815251.000
SalesRevenueNet,2424118.000,3403526.000,4601376.000,5015246.000,12498332.000,9637715.000
ShareBasedCompensation,213230.000,146119.000,478233.000,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,,,,0.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMaximum,,,,,1.200,1.210
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMinimum,,,,,1.190,1.200
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,,,,,0.022,0.025
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum,,,,,0.021,0.015
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,,,,,22173.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,,45000.000,1195000.000,160166.000,280000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,,1.590,1.600,0.180,0.600,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,985000.000,3000000.000,2590000.000,360000.000,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,0.000,0.080,0.120,0.210,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,0.120,0.070,0.310,0.380,
StockIssuedDuringPeriodSharesIssuedForCash,,358663.000,,,,
StockIssuedDuringPeriodSharesStockOptionsExercised,,0.000,308333.000,223334.000,112500.000,
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,17164181.000,,,2272500.000,,23571430.000
StockIssuedDuringPeriodValueIssuedForServices,,,18836.000,23999.000,24000.000,24167.000
StockIssuedDuringPeriodValueNewIssues,,,10000000.000,13236624.000,6199643.000,7593289.000
StockIssuedDuringPeriodValueOther,,,,0.000,,
StockIssuedDuringPeriodValueShareBasedCompensation,636179.000,182684.000,,,,
StockIssuedDuringPeriodValueStockOptionsExercised,,,24300.000,26000.000,23751.000,8800.000
StockOptionPlanExpense,24452.000,45866.000,82947.000,260047.000,333363.000,357955.000
