,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,,,3720000.000,,,,5626000.000,,,,3992000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,5182000.000,,,,4069000.000,,,,108000.000,,,,
AllocatedShareBasedCompensationExpense,1059000.000,1345000.000,1697000.000,2238000.000,2456000.000,5731000.000,3037000.000,4065000.000,3720000.000,4227000.000,4320000.000,8115000.000,5626000.000,4946000.000,8399000.000,2618000.000,3992000.000
AmortizationOfDebtDiscountPremium,,,,,,,,,,,,,,,,,347000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,292275.000,,,,792252.000,,,,3419359.000,,,,74665.000
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,,,,,,,,2702000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,325000.000,,,,-5372000.000,,,,11968000.000,,,,-5695000.000,,,,-36269000.000
ComprehensiveIncomeNetOfTax,,,,,7640000.000,9478000.000,11490000.000,9345000.000,8051000.000,7293000.000,26178000.000,16826000.000,2600000.000,4425000.000,32000.000,383000.000,-6449000.000
ConcentrationRiskPercentage1,,1.000,1.000,,,,,,1.000,1.000,1.000,-2.000,1.000,1.000,1.000,,
CostOfRevenue,1764000.000,2594000.000,3096000.000,5211000.000,4773000.000,6555000.000,5390000.000,5860000.000,6375000.000,8305000.000,7707000.000,6467000.000,4638000.000,6273000.000,4677000.000,9805000.000,4639000.000
DepreciationAndAmortization,429000.000,,,,523000.000,,,,1175000.000,,,,1527000.000,,,,1774000.000
EarningsPerShareBasic,0.020,0.270,0.540,1.510,0.230,0.280,0.330,0.260,0.230,0.100,0.360,0.130,0.030,0.060,0.000,0.020,-0.090
EarningsPerShareDiluted,0.010,0.260,0.510,1.330,0.210,0.260,0.310,0.260,0.210,0.100,0.340,0.120,0.030,0.060,0.000,0.010,-0.090
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,,5182000.000,,,,4069000.000,,,,108000.000,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,,5182000.000,,,,4069000.000,,,,108000.000,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,,,5182000.000,,,,4069000.000,,,,108000.000,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings1,,,,,,,,,,,,,,,,,18000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPurchases,,,,,,,,,,,,,,500000.000,,,
GainLossOnDispositionOfAssets1,,,,,,,,,-41000.000,,,,,,,,
GainLossOnInvestments,,,,,,,,,,0.000,0.000,,,,,,
GainLossRelatedToLitigationSettlement,,,,,,,,,,,,,,,,,3400000.000
GeneralAndAdministrativeExpense,2362000.000,2787000.000,4274000.000,6949000.000,8568000.000,10689000.000,10790000.000,14236000.000,21246000.000,15284000.000,13681000.000,13838000.000,14698000.000,13924000.000,17653000.000,15817000.000,15042000.000
GrossProfit,9295000.000,16227000.000,26115000.000,34987000.000,36863000.000,49141000.000,52891000.000,60652000.000,64395000.000,69328000.000,83552000.000,84668000.000,57324000.000,60848000.000,50503000.000,48207000.000,31323000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,,,,,-11850000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,143000.000,4922000.000,12119000.000,14393000.000,12688000.000,15212000.000,20065000.000,16211000.000,11756000.000,12093000.000,39212000.000,29907000.000,2565000.000,4595000.000,-47000.000,,
IncomeTaxExpenseBenefit,,375000.000,532000.000,,5030000.000,5747000.000,8560000.000,6862000.000,3733000.000,4779000.000,13084000.000,12896000.000,131000.000,240000.000,-237000.000,700000.000,-5326000.000
IncomeTaxesPaid,,,,,0.000,,,,0.000,,,,2500000.000,,,,14000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,2150000.000,,,,9026000.000,,,,17197000.000,,,,-22361000.000,,,,-16039000.000
