,2011-06-30,2011-09-30,2011-12-31
AccountsPayableCurrent,11680000.000,14538000.000,15771000.000
AccruedIncomeTaxesCurrent,1337000.000,2401000.000,5165000.000
AccruedLiabilitiesCurrent,32684000.000,31209000.000,29653000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1483000.000,-1886000.000,-1547000.000
AdditionalPaidInCapitalCommonStock,288062000.000,288194000.000,288647000.000
Assets,412946000.000,424057000.000,485924000.000
AssetsCurrent,254502000.000,266314000.000,318776000.000
CashAndCashEquivalentsAtCarryingValue,19668000.000,35978000.000,35292000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010
CommonStockSharesAuthorized,250000000.000,250000000.000,250000000.000
CommonStockSharesIssued,96821000.000,96821000.000,96821000.000
CommonStockSharesOutstanding,62404000.000,62452000.000,62435000.000
CommonStockValue,968000.000,968000.000,968000.000
DeferredRevenueNoncurrent,125000.000,,
DeferredTaxAssetsNetCurrent,18615000.000,18615000.000,22527000.000
DeferredTaxLiabilitiesNoncurrent,23148000.000,23148000.000,24678000.000
Goodwill,127055000.000,126955000.000,132416000.000
IntangibleAssetsNetExcludingGoodwill,1843000.000,1602000.000,5980000.000
Liabilities,158259000.000,158818000.000,197295000.000
LiabilitiesAndStockholdersEquity,412946000.000,424057000.000,485924000.000
LiabilitiesCurrent,50625000.000,53242000.000,68233000.000
LoansAndLeasesReceivableAllowance,4392000.000,4552000.000,5092000.000
LongTermDebtCurrent,532000.000,542000.000,12552000.000
LongTermDebtNoncurrent,3329000.000,3190000.000,3048000.000
LongTermLineOfCredit,80945000.000,79122000.000,101193000.000
OtherAssetsCurrent,16688000.000,14557000.000,14397000.000
OtherAssetsNoncurrent,2733000.000,2562000.000,4266000.000
OtherLiabilitiesNoncurrent,87000.000,116000.000,143000.000
PreferredStockParOrStatedValuePerShare,0.010,0.010,0.010
PreferredStockSharesAuthorized,25000000.000,25000000.000,25000000.000
PreferredStockSharesIssued,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000
PropertyPlantAndEquipmentNet,23151000.000,22975000.000,21712000.000
RestrictedCashAndCashEquivalentsNoncurrent,3662000.000,3649000.000,2774000.000
RetainedEarningsAccumulatedDeficit,221842000.000,232508000.000,255106000.000
StockholdersEquity,,265239000.000,288629000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,254687000.000,265239000.000,288629000.000
TreasuryStockShares,34417000.000,34369000.000,34386000.000
TreasuryStockValue,254702000.000,254545000.000,254545000.000
