,2015-12-31,2016-12-31
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,547000.000,2546000.000
AllocatedShareBasedCompensationExpense,800000.000,
AmortizationOfAboveAndBelowMarketLeases,1191000.000,2463000.000
AmortizationOfDebtDiscountPremium,0.000,0.000
AmortizationOfFinancingCosts,5936000.000,7117000.000
AssetManagementCosts,10535000.000,12376000.000
BusinessAcquisitionProFormaEarningsPerShareBasic,-0.230,
BusinessAcquisitionProFormaEarningsPerShareDiluted,-0.230,
BusinessAcquisitionsProFormaNetIncomeLoss,-14505000.000,
BusinessAcquisitionsProFormaRevenue,173137000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,281744000.000,-217536000.000
ComprehensiveIncomeNetOfTax,-136090000.000,-115737000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,-1082000.000,-1991000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-137172000.000,-117728000.000
CostOfRealEstateRevenue,26559000.000,35892000.000
CostsAndExpenses,258002000.000,226166000.000
CurrentForeignTaxExpenseBenefit,2300000.000,7700000.000
DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,1808000.000,0.000
DeferredForeignIncomeTaxExpenseBenefit,3000000.000,5000000.000
DeferredIncomeTaxExpenseBenefit,-2992000.000,-4952000.000
Depreciation,35800000.000,45200000.000
DepreciationDepletionAndAmortization,56283000.000,
DisposalGroupIncludingDiscontinuedOperationDepreciationAndAmortization,,1600000.000
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,-800000.000
DisposalGroupIncludingDiscontinuedOperationRevenue,,3000000.000
Dividends,9584000.000,
DividendsCommonStockCash,,35184000.000
EarlyRepaymentOfSeniorDebt,,273028000.000
EarningsPerShareBasic,-2.300,-1.070
EarningsPerShareDiluted,-2.300,-1.070
EffectOfExchangeRateOnCashAndCashEquivalents,890000.000,-6434000.000
EffectiveIncomeTaxRateContinuingOperations,0.010,0.050
ForeignCurrencyTransactionLossBeforeTax,,0.000
GainLossOnSaleOfInvestments,1376000.000,26448000.000
GeneralAndAdministrativeExpense,4352000.000,8077000.000
GoodwillAcquiredDuringPeriod,24491000.000,
