,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31
AccountsPayableAndAccruedLiabilitiesCurrent,73474.000,107863.000,129169.000,133092.000,147115.000
AccountsReceivableNetCurrent,3074.000,2455.000,2105.000,533.000,400.000
AccountsReceivableRelatedParties,,,,,0.000
AccruedIncomeTaxesCurrent,0.000,,,,
AdditionalPaidInCapital,6400.000,36204.000,47978.000,48578.000,49178.000
Assets,29338.000,55803.000,88468.000,46172.000,41005.000
AssetsCurrent,20250.000,47894.000,81739.000,40624.000,36637.000
Cash,,25251.000,51962.000,10252.000,6398.000
CashAndCashEquivalentsAtCarryingValue,1489.000,25251.000,51962.000,10251.000,6398.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
CommonStockSharesIssued,5000000.000,5596000.000,5824038.000,5000000.000,5824038.000
CommonStockSharesOutstanding,5000000.000,5596000.000,5824038.000,5000000.000,5824038.000
CommonStockSharesSubscribedButUnissued,,228038.000,,,
CommonStockSharesSubscriptions,,11401.000,,,
CommonStockValue,5000.000,5596.000,5824.000,5824.000,5824.000
DeferredTaxAssetsNetCurrent,15687.000,20188.000,27672.000,29839.000,29839.000
DeferredTaxLiabilitiesNoncurrent,1801.000,1801.000,1801.000,1801.000,1801.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,,,,165623.000,185413.000
FurnitureAndFixturesGross,,,,,12542.000
Liabilities,97775.000,132164.000,153470.000,157393.000,171416.000
LiabilitiesAndStockholdersEquity,29338.000,55803.000,88468.000,46172.000,41005.000
LiabilitiesCurrent,95974.000,130363.000,151669.000,155592.000,169615.000
NotesPayable,22500.000,22500.000,22500.000,22500.000,22500.000
OperatingLossCarryforwards,,,,,26000.000
OtherReceivables,0.000,,,0.000,
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,,0.000,0.000
PreferredStockValue,0.000,,0.000,0.000,0.000
PropertyPlantAndEquipmentGross,,,,,15248.000
PropertyPlantAndEquipmentNet,9088.000,7909.000,6729.000,5548.000,4368.000
PropertyPlantAndEquipmentOther,,,,,2706.000
PropertyPlantAndEquipmentOtherAccumulatedDepreciation,,,,,10880.000
RetainedEarningsAccumulatedDeficit,-79837.000,-129562.000,-118804.000,,185413.000
StockholdersEquity,-68437.000,-76361.000,-65002.000,-111221.000,-130411.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-68437.000,-76361.000,-65002.000,-111221.000,-130411.000
