,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2014-12-27,2015-03-28,2015-06-27,2015-09-26
AllocatedShareBasedCompensationExpense,,,,,841000.000,860000.000,842000.000,797000.000,729000.000,751000.000,717000.000,595000.000,709000.000,950000.000,1210000.000,1102000.000,960000.000
AllocatedShareBasedCompensationExpenseNetOfTax,,,,,564000.000,576000.000,565000.000,534000.000,491000.000,505000.000,482000.000,404000.000,479000.000,636000.000,804000.000,730000.000,639000.000
AmortizationOfIntangibleAssets,,,,,776000.000,772000.000,775000.000,777000.000,785000.000,747000.000,732000.000,736000.000,725000000.000,721000.000,717000.000,-723538000.000,721000.000
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,,,,,471000.000,-222000.000,-97000.000,-1157000.000,307000.000,-2000.000,271000.000,349000.000,-174000.000,-128000.000,254000.000,-231000.000,-148000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,,,,,,,114000.000,,,,104000.000,,,,53000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,,,,,,,,,543000.000,,,,179000.000,,,,327000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,,,,,,,429000.000,,,,75000.000,,,,274000.000
AvailableForSaleSecuritiesGrossUnrealizedGains,,,,,,,,,225000.000,,,,305000.000,,,,201000.000
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,,,,,,,543000.000,,,,179000.000,,,,327000.000
AvailableforsaleSecuritiesGrossUnrealizedGainLoss1,,,,,,,,,-318000.000,,,,126000.000,,,,-126000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-3526000.000,,,,7281000.000,,,,-5881000.000,,,,-5433000.000,,,,2771000.000
CommonStockDividendsPerShareDeclared,,,,,,,,,,,,,,,0.060,,
ComprehensiveIncomeNetOfTax,,,,,2137000.000,-4962000.000,-1286000.000,-16862000.000,1498000.000,911000.000,750000.000,1915000.000,1978000.000,1095000.000,3286000.000,3311000.000,-1337000.000
ConversionOfStockAmountConverted1,,,,,,,,,,,,,,,,,17.000
CostOfGoodsSold,22795000.000,19504000.000,21789000.000,24396000.000,22838000.000,19239000.000,19521000.000,19790000.000,19800000.000,19820000.000,18175000.000,19188000.000,19179000.000,18427000.000,17054000.000,16361000.000,17229000.000
DebtInstrumentInterestRateStatedPercentageRateRangeMaximum,,,,,0.015,,,,,,,,,,,,
DebtInstrumentInterestRateStatedPercentageRateRangeMinimum,,,,,0.013,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,-74000.000,,,,-77000.000,,,,-103000.000,,,,50000.000,,,,441000.000
DeferredTaxExpenseFromStockOptionsExercised,,,,,,,,,109000.000,,,,293000.000,,,,797000.000
DepreciationDepletionAndAmortization,3070000.000,,,,2860000.000,,,,2695000.000,,,,2260000.000,,,,2297000.000
EarningsPerShareBasic,0.020,-0.010,-0.010,-0.090,0.050,-0.230,-0.030,-0.720,0.020,0.050,0.070,0.040,0.110,0.170,0.110,0.140,0.160
EarningsPerShareDiluted,0.020,-0.010,-0.010,-0.090,0.050,-0.230,-0.030,-0.720,0.020,0.050,0.070,0.040,0.110,0.160,0.110,0.140,0.160
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,-332000.000,,,,657000.000,,,,166000.000,,,,-219000.000,,,,-1824000.000
EffectiveIncomeTaxRateReconciliationTaxCreditsForeign,,,,,,,,,,,,,0.290,,,,0.130
EffectiveIncomeTaxRateReconciliationTaxSettlements,,,,,0.320,,,,0.410,,,,,,,,
EntityWideRevenueMajorCustomerPercentage,,,,,1.000,1.000,1.000,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,,,,,,,,,,29000.000,,,,220000.000
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,,,,,,,,,,,29000.000,,,,220000.000
GainLossOnDispositionOfAssets,,,,,22000.000,,,,,,,,,,,,
GainLossOnDispositionOfAssets1,,,,,,,,,-42000.000,,,,-301000.000,,,,
GainLossOnSaleOfInvestments,295000.000,,,,252000.000,,,,44000.000,,,,-6000.000,,,,-37000.000
GoodwillAndIntangibleAssetImpairment,,,,,0.000,,,,0.000,,,,0.000,,,,0.000
GoodwillTranslationAdjustments,,,,,-25000.000,,,,,,,,,,,,
GrossProfit,12537000.000,10977000.000,11589000.000,13548000.000,13911000.000,11194000.000,10845000.000,11917000.000,12808000.000,12220000.000,12506000.000,13551000.000,14080000.000,14828000.000,14703000.000,14203000.000,14341000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,952000.000,-722000.000,-347000.000,1012000.000,1584000.000,-640000.000,-307000.000,-16243000.000,562000.000,867000.000,1207000.000,1126000.000,3466000.000,4691000.000,3063000.000,3195000.000,4068000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,418000.000,,,,,,,,,,,,,,,,
IncomeLossFromEquityMethodInvestments,27000.000,52000.000,4000.000,51000.000,108000.000,57000.000,21000.000,-401000.000,43000.000,27000.000,13000.000,49000.000,39000.000,74000.000,35000.000,27000.000,26000.000
IncomeTaxExpenseBenefit,534000.000,-335000.000,-76000.000,2974000.000,500000.000,4756000.000,395000.000,572000.000,231000.000,-331000.000,-421000.000,291000.000,1010000.000,1113000.000,635000.000,7000.000,535000.000
IncreaseDecreaseInAccountsPayable,-3104000.000,,,,-2188000.000,,,,-2227000.000,,,,371000.000,,,,2651000.000
IncreaseDecreaseInAccountsReceivable,-5058000.000,,,,134000.000,,,,2276000.000,,,,1033000.000,,,,3962000.000
IncreaseDecreaseInAccruedLiabilities,358000.000,,,,1173000.000,,,,501000.000,,,,-41000.000,,,,-1701000.000
IncreaseDecreaseInInventories,-2940000.000,,,,788000.000,,,,-341000.000,,,,-370000.000,,,,2103000.000
IncreaseDecreaseInOtherNoncurrentLiabilities,-166000.000,,,,-327000.000,,,,17000.000,,,,,,,,-3000.000
IncreaseDecreaseInOtherOperatingAssets,117000.000,,,,263000.000,,,,-144000.000,,,,-11000.000,,,,-13000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,241000.000,,,,196000.000,,,,212000.000,,,,-1400000.000,,,,-77000.000
IncreaseDecreaseInRestrictedCash,4774000.000,,,,,,,,,,,,,,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,197.000,,,,,,,,,,,,
InterestAndOtherIncome,1070000.000,638000.000,847000.000,1129000.000,635000.000,795000.000,1318000.000,1295000.000,486000.000,1047000.000,802000.000,457000.000,1274000.000,1935000.000,547000.000,696000.000,3245000.000
MarketableSecuritiesRealizedGainLoss,,,,,,,,,,,,,,,,,37000.000
NetCashProvidedByUsedInFinancingActivities,-4573000.000,,,,765000.000,,,,-765000.000,,,,-775000.000,,,,-6868000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-4573000.000,,,,765000.000,,,,-765000.000,,,,-775000.000,,,,-6868000.000
NetCashProvidedByUsedInInvestingActivities,-7563000.000,,,,3945000.000,,,,-5329000.000,,,,-11563000.000,,,,8580000.000
