,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31
AccountsPayableCurrent,886000.000,902000.000,903000.000,1097000.000,1230000.000,1603000.000,1508000.000,1310000.000,1004000.000,1286000.000,1079000.000,1180000.000,1155000.000
AccountsPayableOtherCurrent,,,,,133000.000,,,,13000.000,,,,173000.000
AccountsReceivableGrossCurrent,2140000.000,,,,3033000.000,,,,2020000.000,,,,2306000.000
AccountsReceivableNetCurrent,1960000.000,2469000.000,2351000.000,2401000.000,2479000.000,2632000.000,3217000.000,2411000.000,2020000.000,2371000.000,2599000.000,2604000.000,2306000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,9135000.000,,,,9224000.000,,,,9310000.000,,,,5417000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1537000.000,,,,-1537000.000,,,,-1537000.000,,,,-1537000.000
AdditionalPaidInCapitalCommonStock,133712000.000,,,,153208000.000,,,,154882000.000,,,,155468000.000
AllowanceForDoubtfulAccountsReceivableCurrent,180000.000,,,,554000.000,,,,,,,,
Assets,17614000.000,16451000.000,15847000.000,15656000.000,34823000.000,35113000.000,35440000.000,34223000.000,32847000.000,32183000.000,32194000.000,31845000.000,19758000.000
AssetsCurrent,4826000.000,3662000.000,3072000.000,2894000.000,3112000.000,3674000.000,4283000.000,3340000.000,3623000.000,3199000.000,3381000.000,3210000.000,3207000.000
AssetsFairValueDisclosure,2316000.000,598000.000,133000.000,17000.000,457000.000,810000.000,,,4658.000,3707.000,620000.000,379000.000,3025000.000
AssetsNoncurrent,12788000.000,12789000.000,12775000.000,12762000.000,31711000.000,31439000.000,31157000.000,30883000.000,29224000.000,28984000.000,28813000.000,28635000.000,16551000.000
BusinessAcquisitionCostOfAcquiredEntityTransactionCosts,,,,,348000.000,348000.000,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,,,,,18776000.000,18776000.000,18776000.000,18776000.000,18776000.000,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,,,,,14000.000,14000.000,14000.000,14000.000,14000.000,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsOther,,,,,187000.000,187000.000,187000.000,187000.000,187000.000,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,,,,,1094000.000,1094000.000,1094000.000,1094000.000,1094000.000,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,,,,,-640000.000,640000.000,640000.000,640000.000,640000.000,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesDeferredRevenue,,,,,-388000.000,388000.000,388000.000,388000.000,388000.000,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentAssets,,,,,14000.000,14000.000,14000.000,14000.000,14000.000,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilities,,,,,-40000.000,40000.000,40000.000,40000.000,40000.000,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,,,,,72000.000,72000.000,72000.000,72000.000,72000.000,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,,,,,,13302000.000,13302000.000,13302000.000,13302000.000,,,,
CashAndCashEquivalentsAtCarryingValue,2592000.000,871000.000,387000.000,223000.000,449000.000,806000.000,760000.000,697000.000,1479000.000,690000.000,366000.000,125000.000,410000.000
CashAndCashEquivalentsFairValueDisclosure,2592000.000,871000.000,387000.000,223000.000,449000.000,806000.000,,,1479.000,686.000,366000.000,125000.000,410000.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,1.560,,,,1.560,,,,
ClassOfWarrantOrRightOutstanding,102343.000,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.040,,,,0.040,,,,,,,,
CommonStockSharesAuthorized,17500000.000,,,,25000000.000,,,,25000000.000,,,,25000000.000
CommonStockSharesIssued,11460530.000,,,,17877333.000,,,,18602041.000,,,,19086159.000
CommonStockValue,105000.000,,,,170000.000,,,,172000.000,,,,173000.000
DebtInstrumentInterestRateEffectivePercentage,,,,,,,,,0.020,,,,
DeferredRevenueCurrent,719000.000,394000.000,407000.000,179000.000,546000.000,848000.000,531000.000,454000.000,925000.000,462000.000,1382000.000,687000.000,324000.000
DeferredTaxAssetsGross,29520000.000,,,,30600000.000,,,,32358000.000,,,,34989000.000
DeferredTaxAssetsOperatingLossCarryforwards,29446000.000,,,,30539000.000,,,,32303000.000,,,,34924000.000
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsOther,74000.000,,,,61000.000,,,,55000.000,,,,65000.000
DeferredTaxAssetsValuationAllowance,29520000.000,,,,30600000.000,,,,32358000.000,,,,34989000.000
DepositsAssetsCurrent,24000.000,,,,19000.000,,,,11000.000,,,,
DerivativeLiabilities,311000.000,285000.000,266000.000,218000.000,,,,,,,,,
DerivativeLiabilitiesNoncurrent,311000.000,285000.000,266000.000,218000.000,,,,,,,,,
EmployeeRelatedLiabilitiesCurrent,745000.000,,,,452000.000,,,,669000.000,,,,493000.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,1000000.000,,,,700000.000,,,,400000.000,,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,51234000.000,,,,51234000.000,,,,53646000.000,,,,54460000.000
FiniteLivedIntangibleAssetsGross,51234000.000,,,,56821000.000,,,,56821000.000,,,,56821000.000
Goodwill,12501000.000,12501000.000,12501000.000,12501000.000,25803000.000,25803000.000,25803000.000,25803000.000,25803000.000,25803000.000,25803000.000,25803000.000,14157000.000
GoodwillGross,54316000.000,54316000.000,54316000.000,54316000.000,67618000.000,,,,67618000.000,67618000.000,67618000.000,25803000.000,67618000.000
GoodwillImpairedAccumulatedImpairmentLoss,-41815000.000,41815000.000,41815000.000,41815000.000,-41815000.000,,,,-41815000.000,-41815000.000,-41815000.000,-41815000.000,-53461000.000
IntangibleAssetsNetExcludingGoodwill,,,,,5587000.000,5333000.000,5079000.000,4825000.000,3175000.000,3017000.000,2859000.000,2701000.000,2361000.000
Liabilities,3310000.000,2813000.000,2797000.000,3288000.000,4417000.000,,,,6174000.000,5925000.000,6442000.000,5835000.000,5457000.000
LiabilitiesAndStockholdersEquity,17614000.000,16451000.000,15847000.000,15656000.000,34823000.000,35113000.000,35440000.000,34223000.000,32847000.000,32183000.000,32194000.000,31845000.000,19758000.000
LiabilitiesCurrent,2547000.000,2090000.000,2102000.000,2701000.000,4034000.000,5395000.000,5716000.000,5681000.000,5624000.000,5355000.000,5877000.000,5307000.000,3179000.000
LiabilitiesNoncurrent,763000.000,723000.000,695000.000,587000.000,383000.000,599000.000,612000.000,556000.000,550000.000,570000.000,565000.000,528000.000,2278000.000
LongTermDebt,202000.000,,,,154000.000,,,,,,,,2807000.000
LongTermDebtCurrent,-40000.000,,,,-40000.000,,,,-34000.000,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,40000.000,,,,40000.000,,,,34000.000,,,,785000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,40000.000,,,,40000.000,,,,34000.000,,,,1990000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,40000.000,,,,40000.000,,,,254000.000,,,,32000.000
LongTermDebtNoncurrent,162000.000,162000.000,162000.000,114000.000,114000.000,114000.000,114000.000,68000.000,288000.000,288000.000,288000.000,254000.000,2022000.000
MinorityInterest,332000.000,,,,5000.000,,,,-422000.000,,,,-1201000.000
NoncurrentAssets,287000.000,,,,321000.000,,,,246000.000,,,,33000.000
NotesPayableCurrent,,,,,220000.000,,,,,,,,
OperatingLossCarryforwards,86000000.000,,,,90000000.000,,,,119000000.000,,,,120000000.000
OtherAssetsCurrent,239000.000,310000.000,322000.000,258000.000,176000.000,232000.000,302000.000,228000.000,120000.000,134000.000,162000.000,227000.000,237000.000
OtherIntangibleAssetsNet,,,,,,,,,3175.000,,,,2361000.000
OtherLiabilitiesCurrent,902000.000,754000.000,752000.000,814000.000,989000.000,725000.000,875000.000,803000.000,959000.000,1150000.000,959000.000,849000.000,915000.000
OtherLiabilitiesNoncurrent,,,,,40000.000,257000.000,255000.000,252000.000,30000.000,27000.000,24000.000,21000.000,18000.000
OtherLongTermDebt,,,,,,,,,322000.000,,,,
PostemploymentBenefitsLiabilityCurrent,773000.000,,,,447000.000,,,,-323000.000,,,,
PostemploymentBenefitsLiabilityCurrentAndNoncurrent,1063000.000,,,,676000.000,,,,555000.000,,,,
PostemploymentBenefitsLiabilityNoncurrent,290000.000,276000.000,267000.000,255000.000,229000.000,228000.000,243000.000,236000.000,232000.000,255000.000,253000.000,253000.000,238000.000
PreferredStockSharesAuthorized,,,,,,,,,1000000.000,,,,1000000.000
PreferredStockSharesIssued,,,,,,,,,500000.000,,,,540000.000
PreferredStockValue,,,,,,,,,1164000.000,,,,1247000.000
PrepaidExpenseCurrent,114000.000,,,,105000.000,,,,53000.000,,,,148000.000
PropertyPlantAndEquipmentGross,9422000.000,,,,9545000.000,,,,9556000.000,,,,5450000.000
PropertyPlantAndEquipmentNet,287000.000,288000.000,274000.000,261000.000,321000.000,303000.000,275000.000,255000.000,246000.000,164000.000,151000.000,131000.000,33000.000
RegulatoryAssetsCurrent,101000.000,,,,52000.000,,,,56000.000,,,,89000.000
RestrictedCashAndCashEquivalentsAtCarryingValue,35000.000,12000.000,12000.000,12000.000,8000.000,4000.000,4000.000,4000.000,4000.000,4000.000,254000.000,254000.000,254000.000
RetainedEarningsAccumulatedDeficit,-116224000.000,,,,-119619000.000,,,,-125765000.000,,,,-138028000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,235760.000,,,,345517.000,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,229000.000,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,441589.000,,,,393850.000,,,,,,,,
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfExercisableOptions,235760.000,,,,345517.000,,,,,,,,
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions,441589.000,,,,393850.000,,,,,,,,
ShortTermBorrowings,40000.000,40000.000,40000.000,611000.000,1269000.000,2219000.000,2802000.000,3114000.000,2736000.000,2457000.000,2457000.000,2591000.000,785000.000
StockholdersEquity,13972000.000,,,,30401000.000,29119000.000,29112000.000,27986000.000,27095000.000,,,,15502000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,14304000.000,13638000.000,13050000.000,12368000.000,30406000.000,,,,26673000.000,26258000.000,25752000.000,26010000.000,14301000.000
TradingSecurities,35000.000,12000.000,12000.000,12000.000,8000.000,4000.000,,,4.000,,,,254000.000
TreasuryStockNumberOfSharesHeld,56070.000,,,,33239.000,,,,33239.000,,,,
TreasuryStockShares,56070.000,,,,33239.000,,,,33239.000,,,,33239.000
TreasuryStockValue,2084000.000,,,,1821000.000,,,,1821000.000,,,,1821000.000
UnbilledReceivablesCurrent,1200000.000,,,,2500000.000,,,,1100000.000,,,,1500000.000
WarrantsAndRightsOutstanding,311000.000,,,,,,,,,,,,
