,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31
AllocatedShareBasedCompensationExpense,,,,,503000.000,481000.000
AmortizationOfIntangibleAssets,,,,,100000.000,100000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,62500.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-3360000.000,,,,7313000.000,
ComprehensiveIncomeNetOfTax,,,,,503000.000,345000.000
CostOfServices,1357000.000,1491000.000,1457000.000,1769000.000,1729000.000,1761000.000
DeferredIncomeTaxesAndTaxCredits,49000.000,,,,139000.000,
DepreciationDepletionAndAmortization,356000.000,,,,322000.000,
EarningsPerShareBasic,0.010,0.030,0.030,0.040,0.030,0.030
EarningsPerShareDiluted,0.010,0.030,0.030,0.030,0.030,0.030
EffectOfExchangeRateOnCashAndCashEquivalents,-10000.000,,,,47000.000,
GeneralAndAdministrativeExpense,1753000.000,1526000.000,1381000.000,1311000.000,1251000.000,1256000.000
IncomeTaxExpenseBenefit,64000.000,60000.000,156000.000,403000.000,188000.000,145000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-652000.000,,,,-442000.000,
IncreaseDecreaseInAccountsReceivable,-467000.000,,,,545000.000,
IncreaseDecreaseInDeferredRevenue,52000.000,,,,-748000.000,
IncreaseDecreaseInOtherDeferredLiability,,,,,-32000.000,
IncreaseDecreaseInOtherOperatingAssets,-2000.000,,,,-1000.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-333000.000,,,,478000.000,
InterestIncomeExpenseNonoperatingNet,16000.000,18000.000,18000.000,17000.000,10000.000,9000.000
LicenseCosts,368000.000,349000.000,368000.000,368000.000,449000.000,378000.000
LicensesRevenue,7617000.000,7229000.000,8086000.000,8224000.000,8395000.000,7784000.000
NetCashProvidedByUsedInFinancingActivities,203000.000,,,,818000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,203000.000,,,,818000.000,
NetCashProvidedByUsedInInvestingActivities,-4786000.000,,,,7133000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-4786000.000,,,,7133000.000,
NetCashProvidedByUsedInOperatingActivities,1233000.000,,,,-685000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,1233000.000,,,,-685000.000,
NetIncomeLoss,183000.000,506000.000,519000.000,447000.000,446000.000,445000.000
OperatingExpenses,11496000.000,11332000.000,12121000.000,11942000.000,12055000.000,11933000.000
OperatingIncomeLoss,231000.000,548000.000,657000.000,833000.000,624000.000,581000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,53000.000,-91000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,,,4000.000,-9000.000
OtherNoncashExpense,,,,,150000.000,
PaymentsForProceedsFromInvestments,4430000.000,,,,-7276000.000,
PaymentsForRepurchaseOfCommonStock,188000.000,,,,3000.000,
PaymentsToAcquirePropertyPlantAndEquipment,358000.000,,,,144000.000,
ProceedsFromStockOptionsExercised,391000.000,,,,821000.000,
ResearchAndDevelopmentExpense,3086000.000,3033000.000,3274000.000,3304000.000,3362000.000,3219000.000
Revenues,11727000.000,11880000.000,12778000.000,12775000.000,12679000.000,12514000.000
SalesRevenueNet,11727000.000,11880000.000,12778000.000,12775000.000,12679000.000,12514000.000
SalesRevenueServicesGross,4110000.000,4651000.000,4692000.000,4551000.000,4284000.000,4730000.000
SellingAndMarketingExpense,4932000.000,4933000.000,5641000.000,5190000.000,5118000.000,4886000.000
ShareBasedCompensation,445000.000,,,,503000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod,,,,,5000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeituresWeightedAverageGrantDateFairValue,,,,,5.660,
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,,,,,17000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,,,,8.290,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,,,,,0.333,0.339
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,,,,,0.007,0.007
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,,,,,45500.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,,,65500.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,,,,2.340,2.470
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,,,,5.010,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice,,,,,6.130,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,,,,8.290,
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeLowerRangeLimit,,,,,3.600,
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeUpperRangeLimit,,,,,8.290,
StockIssuedDuringPeriodSharesStockOptionsExercised,,,,,163925.000,
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount,,,,,1400000.000,
StockRepurchasedDuringPeriodShares,,,,,438.000,
UnsolicitedTenderOfferCosts,,,,,146000.000,433000.000
WeightedAverageNumberDilutedSharesOutstandingAdjustment,,,,,928000.000,923000.000
WeightedAverageNumberOfDilutedSharesOutstanding,,,,,16570000.000,16747000.000
WeightedAverageNumberOfSharesOutstandingBasic,,,,,15642000.000,15824000.000
