,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
AccountsAndNotesReceivableNet,,,,,,,,,87237000.000,144029000.000,67350000.000,83588000.000,93115000.000,173356000.000,76467000.000,88756000.000,102393000.000,161208000.000,77795000.000
AccountsPayableAndAccruedLiabilitiesCurrent,7921000.000,15260000.000,11954000.000,6866000.000,7851000.000,12804000.000,15023000.000,8963000.000,11798000.000,27787000.000,17321000.000,16819000.000,9166000.000,15506000.000,11664000.000,9590000.000,8505000.000,22259000.000,12953000.000
AccountsReceivableGrossCurrent,13101000.000,31869000.000,41856000.000,24116000.000,20749000.000,43749000.000,43122000.000,30737000.000,28407000.000,50020000.000,46121000.000,33460000.000,30610000.000,59865000.000,49908000.000,38561000.000,37967000.000,63013000.000,54723000.000
AccountsReceivableNetCurrent,,,,,,,,,,,,,,,,,,0.000,
AccruedIncomeTaxesCurrent,,,5897000.000,0.000,0.000,0.000,9676000.000,0.000,0.000,0.000,2147000.000,187000.000,0.000,0.000,3581000.000,0.000,0.000,0.000,6442000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,17709000.000,18286000.000,19006000.000,19695000.000,20355000.000,21229000.000,22311000.000,23763000.000,24936000.000,12467000.000,18951000.000,17665000.000,18799000.000,19825000.000,21052000.000,23826000.000,24746000.000,25681000.000,25972000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,387000.000,619000.000,1148000.000,,0.000,0.000,0.000,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,0.000,,,220000.000,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,807000.000,666000.000,491000.000,-349000.000,66000.000,184000.000,-103000.000,-1442000.000,-697000.000,,,-2060000.000,-1148000.000,-1580000.000,-1850000.000,-1660000.000,-2059000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,790000.000,810000.000,1194000.000,1285000.000,1639000.000,-129000.000,66000.000,184000.000,-103000.000,-1171000.000,-697000.000,-1455000.000,-1572000.000,-2430000.000,-1698000.000,-1580000.000,-1850000.000,-1673000.000,-2084000.000
AdditionalPaidInCapital,6632000.000,6752000.000,1920000.000,7220000.000,7818000.000,9053000.000,9411000.000,6599000.000,1365000.000,2049000.000,4082000.000,4049000.000,4115000.000,6385000.000,7153000.000,7897000.000,7781000.000,7862000.000,8371000.000
AllowanceForDoubtfulAccountsReceivable,,,,,,5410000.000,6850000.000,7105000.000,7145000.000,7099000.000,7355000.000,8141000.000,8075000.000,7331000.000,8850000.000,8623000.000,8991000.000,10242000.000,12020000.000
AllowanceForDoubtfulAccountsReceivableCurrent,7337000.000,7310000.000,6684000.000,6420000.000,6048000.000,4636000.000,5596000.000,5684000.000,5437000.000,,,,,,7355000.000,,,,
AllowanceForDoubtfulAccountsReceivableNoncurrent,,,,,,774000.000,1254000.000,1421000.000,1708000.000,1339000.000,1663000.000,1933000.000,1891000.000,1338000.000,2010000.000,2339000.000,2139000.000,1713000.000,1968000.000
AllowanceForNotesAndLoansReceivableNoncurrent,2082000.000,2082000.000,1101000.000,1939000.000,1100000.000,,,,,,,,,,,,,,
Assets,203530000.000,288472000.000,169530000.000,158654000.000,174761000.000,255972000.000,198763000.000,163465000.000,186623000.000,271805000.000,184146000.000,171326000.000,192313000.000,303800000.000,193331000.000,190286000.000,213305000.000,297751000.000,204268000.000
AssetsCurrent,97298000.000,172869000.000,103133000.000,76246000.000,95828000.000,168726000.000,125532000.000,91022000.000,105029000.000,176624000.000,105865000.000,92401000.000,108644000.000,203682000.000,100848000.000,103818000.000,122696000.000,199602000.000,115667000.000
AssetsFairValueDisclosure,,,,,,,,,,5000.000,36805000.000,13728000.000,9872000.000,12992000.000,33530000.000,,,10418000.000,38994000.000
AssetsHeldForSaleAtCarryingValue,,,,,,,4413000.000,,,,,,,,,,,,
AssetsHeldForSaleCurrent,,,,,,,,5425000.000,5398000.000,,,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,,5613000.000,,,,,,,,,
AvailableForSaleSecurities,,,3619000.000,4001000.000,4606000.000,0.000,0.000,0.000,0.000,,,,,,,,,,
AvailableForSaleSecuritiesEquitySecurities,,,,,,,,,,,,,,,5000000.000,,,,
