,2015-03-31,2016-03-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,20000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,131448.000,-131448.000,617.000
CostOfGoodsAndServicesSold,0.000,,
EarningsPerShareBasic,,,-0.000
EarningsPerShareBasicAndDiluted,-0.010,-0.000,
EffectiveIncomeTaxRateContinuingOperations,0.000,0.000,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,0.390,-0.350,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,-0.050,,
EffectiveIncomeTaxRateReconciliationTaxCredits,-0.340,0.350,
GainsLossesOnExtinguishmentOfDebt,,46750.000,
GeneralAndAdministrativeExpense,139752.000,101674.000,56265.000
GrossProfit,0.000,,
IncomeTaxesPaidNet,0.000,0.000,
IncreaseDecreaseDueFromOtherRelatedParties,,,58762.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,105000.000,,
IncreaseDecreaseInAccountsPayableRelatedParties,4032.000,-4032.000,-1879.000
IncreaseDecreaseInAccruedLiabilities,,-93566.000,
IncreaseDecreaseInNotesPayableRelatedParties,,-110000.000,
InterestIncomeExpenseNet,-4032.000,-525.000,
InterestPaid,0.000,0.000,
NetCashProvidedByUsedInFinancingActivities,146200.000,21599.000,58762.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,146200.000,21599.000,58762.000
NetCashProvidedByUsedInInvestingActivities,0.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000,,
NetCashProvidedByUsedInOperatingActivities,-14752.000,-153047.000,-58144.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-14752.000,-153047.000,-58144.000
NetIncomeLoss,,-55449.000,-56265.000
OperatingExpenses,139752.000,,-56265.000
OperatingIncomeLoss,-139752.000,-101674.000,
PaymentsToAcquireOtherPropertyPlantAndEquipment,0.000,,
ProceedsFromContributedCapital,,131599.000,
ProceedsFromIssuanceOfCommonStock,36200.000,0.000,
ProceedsFromIssuanceOfDebt,110000.000,,
ProfitLoss,-143784.000,-55449.000,-56265.000
Revenues,0.000,0.000,
SalesRevenueNet,0.000,0.000,
ShareBasedCompensation,20000.000,0.000,
StockIssuedDuringPeriodSharesIssuedForServices,20050000.000,3050000.000,
StockIssuedDuringPeriodSharesNewIssues,36200.000,,
StockIssuedDuringPeriodValueIssuedForServices,,20000.000,
StockIssuedDuringPeriodValueNewIssues,362600.000,,
StockRepurchasedDuringPeriodValue,,0.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,19412000.000,
WeightedAverageNumberOfSharesOutstandingBasic,20117656.000,,19412000.000
