,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30
AccountsPayableCurrent,156983.000,154575.000,159070.000,170085.000,191125.000,191047.000,183485.000,193019.000,198022.000
AccruedLiabilitiesCurrent,245.000,1106.000,250.000,6958.000,310.000,280.000,347.000,31441.000,260.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-33069.000,-67182.000,-16917.000,-72351.000,-62449.000,-14293.000,6707278.000,6973627.000,22727.000
AdditionalPaidInCapital,6374879.000,6434329.000,6707278.000,6707278.000,6707278.000,6707278.000,,,6973627.000
Assets,194382.000,184337.000,223951.000,244116.000,231415.000,202159.000,111719.000,262702.000,291458.000
AssetsCurrent,126389.000,114421.000,157125.000,172639.000,160805.000,134403.000,110319.000,62230.000,61197.000
Cash,,,,,151118.000,126928.000,103439.000,43124.000,47614.000
CashAndCashEquivalentsAtCarryingValue,113675.000,101558.000,144686.000,170303.000,151118.000,126928.000,,,
CashEquivalentsAtCarryingValue,,101558.000,144686.000,,,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,31702016.000,31702016.000,32553016.000,32553016.000,32553016.000,32553016.000,32553016.000,33203016.000,33203016.000
CommonStockSharesOutstanding,31702016.000,31702016.000,32553016.000,32553016.000,32553016.000,32553016.000,32553016.000,33203016.000,33203016.000
CommonStockSharesSubscribedButUnissued,,,,,,,,,111796.000
CommonStockSharesSubscribedButUnissuedValue,,,6750.000,,,,,,
CommonStockSharesSubscriptions,6750.000,26750.000,,6750.000,6750.000,6750.000,6750.000,6750.000,
CommonStockValue,31702.000,31702.000,32553.000,32553.000,32553.000,32553.000,32553.000,33203.000,33203.000
DebtInstrumentInterestRateStatedPercentage,,,,0.000,,,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-6478893.000,-6553041.000,-6751536.000,-6763841.000,-6822416.000,-6910060.000,,,-7352113.000
DueToRelatedPartiesCurrent,85785.000,106098.000,86003.000,106684.000,128264.000,138604.000,155381.000,195517.000,253936.000
IntangibleAssetsCurrent,,,,,,,,193730.000,193204.000
InterestPayableCurrent,,,,8932.000,9942.000,10940.000,11961.000,12982.000,13992.000
Liabilities,293013.000,311779.000,295323.000,333727.000,369699.000,379931.000,389213.000,469976.000,502218.000
LiabilitiesAndStockholdersEquity,194382.000,184337.000,223951.000,244116.000,231415.000,202159.000,111719.000,,291458.000
NotesPayable,,,,50000.000,50000.000,,,,
NotesPayableCurrent,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000
OtherReceivablesNetCurrent,7452.000,9763.000,11557.000,2228.000,2178.000,3916.000,5742.000,7530.000,9951.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
PreferredStockSharesOutstanding,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
PreferredStockValue,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseCurrent,5262.000,3100.000,882.000,108.000,7509.000,3559.000,1138.000,11576.000,3632.000
PropertyPlantAndEquipmentNet,67993.000,69916.000,66826.000,71477.000,70610.000,67756.000,1400.000,6742.000,37057.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,,,,1650000.000,1650000.000,1650000.000,1650000.000,1650000.000,
SharesOutstanding,,,,,,,-277494.000,,
StockholdersEquity,-98631.000,-127442.000,-71372.000,-89611.000,-138284.000,-177772.000,-277494.000,-207275.000,-210760.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-98631.000,-127442.000,-71372.000,-89611.000,-138284.000,-177772.000,-277494.000,,-210760.000
StockholdersEquityNoteSubscriptionsReceivable,,,-49500.000,,,,,,
