,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31
AdditionsToNoncurrentAssets,,,,,,296372000.000,296774000.000,,237520000.000,258510000.000,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,,,,,,,4682000.000,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,13315000.000,10330000.000,,,13712000.000,13746000.000,,16054000.000,12276000.000,12252000.000,12133000.000,11906000.000,10695000.000,10317000.000,11066000.000,11911000.000,15939000.000,17422000.000,20014000.000,14697000.000
AmortizationOfFinancingCostsAndDiscounts,12487000.000,,,,10693000.000,,,,6612000.000,,,,5677000.000,,,,5858000.000,,,,6118000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,12617000.000,,,,,,100000.000,,,,,,,,,,
AssetImpairmentCharges,,,,,,,,,,,,,0.000,,,,0.000,,,,0.000
CapitalExpendituresIncurredButNotYetPaid,,,,,74630000.000,,,,38470000.000,,,,41236000.000,,,,26785000.000,,,,67383000.000
CapitalLeaseObligationsIncurred,39000.000,,,,,,,,11331000.000,,,,14100000.000,,,,990000.000,,,,0.000
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,0.000,,,,0.000,,,,-36913000.000,,,,0.000,,,,,,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,0.000,,,,0.000,,,,-12844000.000,,,,37000.000,,,,-30000.000,,,,0.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,0.000,,,,-72000.000,,,,54809000.000,,,,-177000.000,,,,5000.000,,,,-21000000.000
CommonStockDividendsPerShareDeclared,0.125,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.000,0.000
ComprehensiveIncomeNetOfTax,104383000.000,87481000.000,39538000.000,64854000.000,57296000.000,63682000.000,-3691000.000,106941000.000,-15931000.000,135569000.000,294880000.000,39212000.000,84939000.000,98601000.000,74094000.000,54264000.000,54620000.000,82697000.000,14701000.000,27994000.000,91467000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,21000.000,288000.000,285000.000,-170000.000,-143000.000,260000.000,-73000.000,46000.000,-257000.000,358000.000,433000.000,-554000.000,-63000.000,328000.000,331000.000,169000.000,-234000.000,81000.000,-78000.000,30000.000,-66000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,104362000.000,87769000.000,39823000.000,,,63942000.000,-3764000.000,,-16188000.000,135927000.000,295313000.000,38658000.000,84876000.000,98929000.000,74425000.000,54433000.000,54386000.000,82778000.000,14623000.000,28024000.000,91401000.000
CostOfServices,822466000.000,746159000.000,766135000.000,633780000.000,784615000.000,810064000.000,816253000.000,912723000.000,803567000.000,764343000.000,767377000.000,743939000.000,772983000.000,788317000.000,787628000.000,787880000.000,795888000.000,805596000.000,800879000.000,795831000.000,810961000.000
CostsAndExpenses,1545826000.000,1376240000.000,1393387000.000,1156716000.000,1408693000.000,1436949000.000,1465633000.000,1634676000.000,1432375000.000,1371856000.000,1342410000.000,1386287000.000,1368503000.000,1372244000.000,1373741000.000,1425200000.000,1391020000.000,1408929000.000,1429485000.000,1431838000.000,1389502000.000
DeferredIncomeTaxExpenseBenefit,62344000.000,,,,37820000.000,,,,-13864000.000,,,,23227000.000,,,,36759000.000,,,,55065000.000
DepreciationDepletionAndAmortization,270109000.000,247605000.000,256545000.000,240715000.000,253347000.000,258403000.000,269931000.000,297276000.000,236382000.000,229269000.000,203405000.000,240091000.000,214285000.000,221088000.000,209069000.000,222060000.000,218900000.000,213929000.000,217288000.000,215135000.000,212453000.000
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,-8320000.000,82910000.000,,,,,,,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,,,462000.000,180279000.000,410415000.000,-20033000.000,-735000.000,6190000.000,,,,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,,,,,210000.000,72784000.000,175129000.000,-15316000.000,-301000.000,2680000.000,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,,,130282000.000,146909000.000,0.000,12439000.000,0.000,0.000,,,,,,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,161000.000,,,,,,,,,,,,,,,,,,,,
EarningsPerShareBasic,0.370,0.320,0.140,0.230,0.210,0.240,-0.010,0.450,-0.060,0.520,1.130,0.200,0.340,0.360,0.270,0.210,0.170,0.280,0.090,0.110,0.350
EarningsPerShareDiluted,0.360,0.310,0.140,0.210,0.210,0.240,-0.010,0.430,-0.060,0.510,1.100,0.200,0.330,0.350,0.260,0.210,0.160,0.270,0.080,0.120,0.340
EffectiveIncomeTaxRateContinuingOperations,0.430,0.460,0.470,,0.370,0.390,,,,0.420,0.360,,-0.430,0.400,0.400,,0.410,0.510,0.380,,0.400
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,124000.000,,,,,,,,,,,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,,,,,,,,,,488000.000,,,,275000.000,,,,0.000
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,,,,,,,,,,,488000.000,,,,275000.000,,,,0.000
GainLossOnDerivativeInstrumentsNetPretax,-40058000.000,-2823000.000,81737000.000,-37402000.000,-111194000.000,-16137000.000,-57082000.000,-26922000.000,-71716000.000,19206000.000,-40750000.000,-105428000.000,38649000.000,-32613000.000,13679000.000,-64770000.000,46166000.000,-22693000.000,66143000.000,15311000.000,-48012000.000
GainLossOnInterestRateDerivativeInstrumentsNotDesignatedAsHedgingInstruments,-4189000.000,-5497000.000,1173000.000,540000.000,-1645000.000,-183000.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,
GainLossOnInvestments,59072000.000,13312000.000,-95362000.000,60362000.000,135325000.000,42113000.000,81619000.000,35178000.000,99458000.000,-2789000.000,70222000.000,146276000.000,-41775000.000,78612000.000,2151000.000,90671000.000,-33071000.000,78818000.000,-66388000.000,-9567000.000,100365000.000
GainOnDerivativeInstrumentsPretax,-40058000.000,,,,,,,,,,,,,,,,,,,,
