,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
EarningsPerShareBasic,,-0.000,-0.000,0.000,0.000,-0.000,
EarningsPerShareBasicAndDiluted,-0.000,,,,,,0.000
GeneralAndAdministrativeExpense,,1667.000,1167.000,1850.000,2550.000,3567.000,1996.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,1267.000,
IncreaseDecreaseInDueFromRelatedParties,,,,,,2300.000,
IncreaseDecreaseInDueToRelatedPartiesCurrent,1533.000,,,,,,
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,667.000,,,,,
NetCashProvidedByUsedInFinancingActivities,1533.000,1000.000,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,1533.000,1000.000,,,,,
NetCashProvidedByUsedInOperatingActivities,-1533.000,-1000.000,,,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-1533.000,-1000.000,,,,,
NetIncomeLoss,-1533.000,-1667.000,-1167.000,-1850.000,-2550.000,-3567.000,-1996.000
OperatingExpenses,1533.000,1667.000,1167.000,1850.000,2550.000,3567.000,1996.000
ProceedsFromContributedCapital,,1000.000,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,10000000.000
WeightedAverageNumberOfSharesOutstandingBasic,10000000.000,10000000.000,10000000.000,10000000.000,-20000000.000,10000000.000,
