,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-04-01,2016-07-01,2016-09-30,2016-12-30,2017-03-31
AccountsPayableCurrent,35167000.000,22429000.000,24254000.000,26740000.000,30484000.000,24826000.000,30371000.000,40749000.000,44267000.000,49374000.000,32072000.000,40449000.000,49626000.000,41027000.000,42063000.000,40696000.000
AccountsReceivableNetCurrent,40379000.000,39246000.000,33781000.000,30737000.000,39344000.000,40610000.000,39221000.000,31442000.000,51676000.000,57137000.000,43660000.000,33874000.000,56687000.000,58615000.000,61617000.000,50393000.000
AccruedIncomeTaxesCurrent,2099000.000,1999000.000,2469000.000,2091000.000,1920000.000,1116000.000,1405000.000,747000.000,4087000.000,2960000.000,1949000.000,333000.000,3156000.000,3186000.000,4490000.000,3882000.000
AccruedLiabilitiesCurrent,10165000.000,12052000.000,12451000.000,9453000.000,10423000.000,11962000.000,12128000.000,11075000.000,20055000.000,22444000.000,23234000.000,12801000.000,20503000.000,22703000.000,28612000.000,24799000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,10341000.000,10944000.000,11589000.000,12258000.000,13042000.000,13855000.000,14767000.000,15706000.000,16658000.000,17741000.000,18905000.000,20175000.000,21410000.000,22728000.000,24248000.000,26004000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,22000.000,12000.000,-15000.000,-9000.000,-6000.000,-144000.000,-406000.000,-472000.000,-468000.000,-1223000.000,-1953000.000,-1119000.000,-1161000.000,-1348000.000,-2193000.000,-941000.000
AdditionalPaidInCapitalCommonStock,50297000.000,86963000.000,87788000.000,90826000.000,93122000.000,95629000.000,97006000.000,94630000.000,95804000.000,95478000.000,102860000.000,104276000.000,105254000.000,106298000.000,108049000.000,111837000.000
AllowanceForDoubtfulAccountsReceivableCurrent,452000.000,352000.000,366000.000,373000.000,388000.000,383000.000,348000.000,358000.000,379000.000,531000.000,531000.000,483000.000,609000.000,483000.000,397000.000,431000.000
Assets,174475000.000,167788000.000,157729000.000,223775000.000,236286000.000,229293000.000,258437000.000,265187000.000,298593000.000,305595000.000,278497000.000,282400000.000,318777000.000,324575000.000,335600000.000,345250000.000
AssetsCurrent,99717000.000,94991000.000,84385000.000,99254000.000,112514000.000,106758000.000,112609000.000,120853000.000,154320000.000,160150000.000,131941000.000,132712000.000,163342000.000,170837000.000,182912000.000,189579000.000
AssetsFairValueDisclosureRecurring,,,,,,,,,,,,,,,,10000000.000
BusinessCombinationContingentConsiderationArrangementsRangeOfOutcomesValueHigh,,,,,,,46195000.000,44700000.000,36945000.000,35693000.000,32263000.000,26198000.000,11250000.000,11250000.000,,
BusinessCombinationContingentConsiderationAsset,,,,,,702000.000,,,,,,,,,,
BusinessCombinationContingentConsiderationLiability,,,,,,,,,,6124000.000,,2162000.000,3543000.000,4842000.000,,0.000
BusinessCombinationContingentConsiderationLiabilityCurrent,,,,,,7212000.000,7704000.000,7854000.000,7150000.000,6950000.000,6950000.000,6889000.000,6600000.000,6000000.000,5532000.000,5382000.000
BusinessCombinationContingentConsiderationLiabilityNoncurrent,,,,,,11686000.000,13548000.000,13450000.000,6300000.000,6300000.000,5700000.000,6000000.000,0.000,0.000,0.000,
